"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",2791.47452987631,2835.63589893145,2838.23355633143
"P-0078-1",2253.54008791936,2295.51852642857,2310.28342127014
"P-0078-2",2250.34901680789,2291.62467787434,2305.66646067695
"P-0078-3",2261.73917919109,2302.3440391617,2316.72857135471
"P-0078-4",2241.46241098911,2286.27713241283,2303.82807736614
"P-0078-5",2258.13049307682,2293.26074718023,2316.50595373414
"P-0078-6",2251.42384911379,2292.66573719001,2309.15281719888
"P-0078-7",2254.60251054761,2289.71173754322,2310.63728778376
"SAC-2",2424.35360093012,2457.84806564333,2467.30242981862
"ALKCRM-1",2220.11149982558,2258.98300367603,2258.50588492975
"ALKCRM-2",2223.29862647973,2261.48975536023,2261.01416728379
"ALKCRM-3",2217.95395168315,2251.54730513255,2257.55025490884
