"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.497,208.7,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.517,210,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.537,211.3,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.557,212.5,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.577,213.7,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.597,214.9,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.617,216,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.637,217.1,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.657,218,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.677,219.1,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.697,220,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.717,221,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.737,221.7,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.757,222.5,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.777,223.3,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.797,224.1,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.817,224.8,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.837,225.6,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.857,226.3,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.877,227.1,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.897,227.7,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.917,228.3,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.937,229,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.957,229.6,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.977,230.2,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
1.997,230.8,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.017,231.3,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.037,231.9,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.057,232.5,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.077,233.1,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.097,233.6,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.117,234.1,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.137,234.6,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.157,235.1,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.177,235.6,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
2.197,236.1,17.9,"ALKCRM-1",53.366,33.525,18,7.4,7,207.565,236.16
