"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.5595,208.4,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.5795,209.7,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.5995,211,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.6195,212.3,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.6395,213.4,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.6595,214.6,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.6795,215.6,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.6995,216.7,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.7195,217.7,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.7395,218.7,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.7595,219.6,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.7795,220.5,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.7995,221.3,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.8195,222.1,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.8395,222.9,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.8595,223.6,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.8795,224.5,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.8995,225.2,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.9195,225.9,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.9395,226.7,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.9595,227.4,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.9795,228,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
1.9995,228.6,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.0195,229.2,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.0395,229.8,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.0595,230.4,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.0795,231,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.0995,231.6,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.1195,232.2,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.1395,232.7,17.9,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.1595,233.2,18,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.1795,233.7,18,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.1995,234.2,18,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.2195,234.6,18,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.2395,235.2,18,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.2595,235.7,18,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
2.2795,236.1,18,"SAC-2",51.559,30,17,7.4,7,207.565,236.16
