Titration Data Only,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,,,,,
,Time,,,,,Meas. value,,,,,,Temp.,,,dE,,,,,,,,,,
,[s],,,,,[mV],,,,,,[°C],,,[mV],,,,,,,,,,
,1,,,,,-27.0,,,,,,19.5,,,,,,,,,,,,,
,2,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,3,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,4,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,5,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,6,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,7,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,8,,,,,-27.0,,,,,,19.5,,,0.0,,,,,,,,,,
,9,,,,,-27.1,,,,,,19.5,,,-0.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,,,,,,,,
,Time,,V,,,,Meas. value,,dV,,,,Temp.,dE,,,,,,EP,,,,,
,[s],,[mL],,,,[mV],,[mL],,,,[°C],[mV],,,,,,,,,,,
,0,,0.0000,,,,-27.2,,,,,,19.5,,,,,,,,,,,,
,1,,0.0010,,,,-27.2,,0.0010,,,,19.5,0.0,,,,,,,,,,,
,2,,0.0050,,,,-27.0,,0.0040,,,,19.5,0.2,,,,,,,,,,,
,3,,0.0110,,,,-26.3,,0.0060,,,,19.5,0.7,,,,,,,,,,,
,4,,0.0200,,,,-24.3,,0.0090,,,,19.5,2.0,,,,,,,,,,,
,5,,0.0340,,,,-20.0,,0.0140,,,,19.5,4.3,,,,,,,,,,,
,6,,0.0550,,,,-12.5,,0.0210,,,,19.5,7.5,,,,,,,,,,,
,7,,0.0800,,,,-0.8,,0.0250,,,,19.5,11.7,,,,,,,,,,,
,8,,0.1145,,,,13.9,,0.0345,,,,19.5,14.7,,,,,,,,,,,
,9,,0.1570,,,,29.0,,0.0425,,,,19.5,15.1,,,,,,,,,,,
,10,,0.2085,,,,41.9,,0.0515,,,,19.5,12.9,,,,,,,,,,,
,11,,0.2705,,,,54.9,,0.0620,,,,19.5,13.0,,,,,,,,,,,
,12,,0.3445,,,,65.2,,0.0740,,,,19.5,10.3,,,,,,,,,,,
,13,,0.4210,,,,76.7,,0.0765,,,,19.5,11.5,,,,,,,,,,,
,14,,0.5200,,,,90.1,,0.0990,,,,19.5,13.4,,,,,,,,,,,
,15,,0.6060,,,,108.5,,0.0860,,,,19.5,18.4,,,,,,,,,,,
,16,,0.6160,,,,108.8,,0.0100,,,,19.5,0.3,,,,,,,,,,,
,17,,0.6240,,,,105.3,,0.0080,,,,19.5,-3.5,,,,,,,,,,,
,18,,0.6360,,,,104.1,,0.0120,,,,19.5,-1.2,,,,,,,,,,,
,19,,0.6500,,,,105.8,,0.0140,,,,19.5,1.7,,,,,,,,,,,
,20,,0.6715,,,,110.9,,0.0215,,,,19.6,5.1,,,,,,,,,,,
,21,,0.6965,,,,117.1,,0.0250,,,,19.6,6.2,,,,,,,,,,,
,22,,0.7240,,,,125.4,,0.0275,,,,19.6,8.3,,,,,,,,,,,
,23,,0.7495,,,,132.7,,0.0255,,,,19.6,7.3,,,,,,,,,,,
,24,,0.7720,,,,139.2,,0.0225,,,,19.6,6.5,,,,,,,,,,,
,25,,0.7925,,,,144.5,,0.0205,,,,19.6,5.3,,,,,,,,,,,
,26,,0.8115,,,,152.0,,0.0190,,,,19.6,7.5,,,,,,,,,,,
,27,,0.8195,,,,157.3,,0.0080,,,,19.6,5.3,,,,,,,,,,,
,28,,0.8245,,,,160.1,,0.0050,,,,19.6,2.8,,,,,,,,,,,
,29,,0.8305,,,,161.9,,0.0060,,,,19.6,1.8,,,,,,,,,,,
,30,,0.8390,,,,164.2,,0.0085,,,,19.6,2.3,,,,,,,,,,,
,31,,0.8480,,,,166.5,,0.0090,,,,19.6,2.3,,,,,,,,,,,
,32,,0.8595,,,,169.1,,0.0115,,,,19.6,2.6,,,,,,,,,,,
,33,,0.8715,,,,172.2,,0.0120,,,,19.6,3.1,,,,,,,,,,,
,34,,0.8805,,,,175.0,,0.0090,,,,19.6,2.8,,,,,,,,,,,
,35,,0.8860,,,,177.0,,0.0055,,,,19.6,2.0,,,,,,,,,,,
,36,,0.8920,,,,178.3,,0.0060,,,,19.6,1.3,,,,,,,,,,,
,37,,0.8985,,,,179.5,,0.0065,,,,19.6,1.2,,,,,,,,,,,
,38,,0.9060,,,,181.0,,0.0075,,,,19.6,1.5,,,,,,,,,,,
,39,,0.9145,,,,182.5,,0.0085,,,,19.6,1.5,,,,,,,,,,,
,40,,0.9215,,,,184.0,,0.0070,,,,19.6,1.5,,,,,,,,,,,
,41,,0.9255,,,,185.2,,0.0040,,,,19.6,1.2,,,,,,,,,,,
,42,,0.9290,,,,185.8,,0.0035,,,,19.6,0.6,,,,,,,,,,,
,43,,0.9330,,,,186.5,,0.0040,,,,19.6,0.7,,,,,,,,,,,
,44,,0.9385,,,,187.1,,0.0055,,,,19.6,0.6,,,,,,,,,,,
,45,,0.9445,,,,187.8,,0.0060,,,,19.6,0.7,,,,,,,,,,,
,46,,0.9505,,,,188.7,,0.0060,,,,19.6,0.9,,,,,,,,,,,
,47,,0.9545,,,,189.5,,0.0040,,,,19.6,0.8,,,,,,,,,,,
,48,,0.9565,,,,189.8,,0.0020,,,,19.6,0.3,,,,,,,,,,,
,49,,0.9595,,,,190.2,,0.0030,,,,19.6,0.4,,,,,,,,,,,
,50,,0.9630,,,,190.6,,0.0035,,,,19.6,0.4,,,,,,,,,,,
,51,,0.9670,,,,190.9,,0.0040,,,,19.6,0.3,,,,,,,,,,,
,52,,0.9705,,,,191.4,,0.0035,,,,19.6,0.5,,,,,,,,,,,
,53,,0.9730,,,,191.8,,0.0025,,,,19.6,0.4,,,,,,,,,,,
,54,,0.9755,,,,192.1,,0.0025,,,,19.6,0.3,,,,,,,,,,,
,55,,0.9780,,,,192.2,,0.0025,,,,19.6,0.1,,,,,,,,,,,
,56,,0.9805,,,,192.4,,0.0025,,,,19.6,0.2,,,,,,,,,,,
,57,,0.9830,,,,192.7,,0.0025,,,,19.6,0.3,,,,,,,,,,,
,58,,0.9845,,,,192.8,,0.0015,,,,19.6,0.1,,,,,,,,,,,
,59,,0.9870,,,,193.2,,0.0025,,,,19.6,0.4,,,,,,,,,,,
,60,,0.9875,,,,193.2,,0.0005,,,,19.6,0.0,,,,,,,,,,,
,61,,0.9900,,,,193.4,,0.0025,,,,19.6,0.2,,,,,,,,,,,
,62,,0.9925,,,,193.6,,0.0025,,,,19.6,0.2,,,,,,,,,,,
,63,,0.9930,,,,193.8,,0.0005,,,,19.6,0.2,,,,,,,,,,,
,64,,0.9945,,,,193.9,,0.0015,,,,19.6,0.1,,,,,,,,,,,
,,,0.996000,,,,194.0,,,,,,,,,,,,,EP,,,,,
