Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-50.0,,,,,,17.0,,,,,,,
,2,,,,-50.0,,,,,,17.0,,,,0.0,,,
,3,,,,-50.0,,,,,,17.0,,,,0.0,,,
,4,,,,-50.0,,,,,,17.0,,,,0.0,,,
,5,,,,-50.0,,,,,,17.0,,,,0.0,,,
,6,,,,-50.0,,,,,,17.0,,,,0.0,,,
,7,,,,-50.0,,,,,,17.0,,,,0.0,,,
,8,,,,-50.0,,,,,,17.0,,,,0.0,,,
,9,,,,-50.0,,,,,,17.0,,,,0.0,,,
,10,,,,-50.0,,,,,,17.0,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-50.0,,,,,,17.0,,,,,,
,1,0.0010,,,,-50.0,,,0.0010,,,17.0,,0.0,,,,
,2,0.0050,,,,-49.9,,,0.0040,,,17.0,,0.1,,,,
,3,0.0110,,,,-49.7,,,0.0060,,,17.0,,0.2,,,,
,4,0.0195,,,,-48.7,,,0.0085,,,17.0,,1.0,,,,
,5,0.0335,,,,-46.1,,,0.0140,,,17.0,,2.6,,,,
,6,0.0540,,,,-42.0,,,0.0205,,,17.0,,4.1,,,,
,7,0.0780,,,,-34.0,,,0.0240,,,17.0,,8.0,,,,
,8,0.1120,,,,-22.2,,,0.0340,,,17.0,,11.8,,,,
,9,0.1535,,,,-8.8,,,0.0415,,,17.0,,13.4,,,,
,10,0.2045,,,,5.2,,,0.0510,,,17.0,,14.0,,,,
,11,0.2670,,,,18.2,,,0.0625,,,17.0,,13.0,,,,
,12,0.3410,,,,29.9,,,0.0740,,,17.0,,11.7,,,,
,13,0.4180,,,,41.6,,,0.0770,,,17.0,,11.7,,,,
,14,0.5170,,,,53.1,,,0.0990,,,17.0,,11.5,,,,
,15,0.6290,,,,64.6,,,0.1120,,,17.0,,11.5,,,,
,16,0.7540,,,,76.3,,,0.1250,,,17.0,,11.7,,,,
,17,0.8910,,,,87.8,,,0.1370,,,17.0,,11.5,,,,
,18,1.0225,,,,100.9,,,0.1315,,,17.0,,13.1,,,,
,19,1.0730,,,,107.6,,,0.0505,,,17.0,,6.7,,,,
,20,1.1025,,,,106.1,,,0.0295,,,17.0,,-1.5,,,,
,21,1.1385,,,,107.2,,,0.0360,,,17.0,,1.1,,,,
,22,1.1820,,,,111.7,,,0.0435,,,17.0,,4.5,,,,
,23,1.2300,,,,119.0,,,0.0480,,,17.0,,7.3,,,,
,24,1.2750,,,,126.2,,,0.0450,,,17.0,,7.2,,,,
,25,1.3220,,,,136.3,,,0.0470,,,17.0,,10.1,,,,
,26,1.3390,,,,143.4,,,0.0170,,,17.0,,7.1,,,,
,27,1.3460,,,,145.6,,,0.0070,,,17.1,,2.2,,,,
,28,1.3555,,,,147.6,,,0.0095,,,17.1,,2.0,,,,
,29,1.3690,,,,150.3,,,0.0135,,,17.1,,2.7,,,,
,30,1.3830,,,,153.6,,,0.0140,,,17.1,,3.3,,,,
,31,1.4010,,,,158.0,,,0.0180,,,17.1,,4.4,,,,
,32,1.4190,,,,163.0,,,0.0180,,,17.1,,5.0,,,,
,33,1.4315,,,,167.5,,,0.0125,,,17.1,,4.5,,,,
,34,1.4385,,,,170.1,,,0.0070,,,17.1,,2.6,,,,
,35,1.4450,,,,172.0,,,0.0065,,,17.1,,1.9,,,,
,36,1.4525,,,,173.6,,,0.0075,,,17.1,,1.6,,,,
,37,1.4620,,,,175.3,,,0.0095,,,17.1,,1.7,,,,
,38,1.4730,,,,177.5,,,0.0110,,,17.1,,2.2,,,,
,39,1.4840,,,,179.7,,,0.0110,,,17.1,,2.2,,,,
,40,1.4940,,,,181.7,,,0.0100,,,17.1,,2.0,,,,
,41,1.5015,,,,183.4,,,0.0075,,,17.1,,1.7,,,,
,42,1.5075,,,,184.5,,,0.0060,,,17.1,,1.1,,,,
,43,1.5140,,,,185.5,,,0.0065,,,17.1,,1.0,,,,
,44,1.5215,,,,186.7,,,0.0075,,,17.1,,1.2,,,,
,45,1.5285,,,,187.8,,,0.0070,,,17.1,,1.1,,,,
,46,1.5345,,,,188.8,,,0.0060,,,17.1,,1.0,,,,
,47,1.5400,,,,189.6,,,0.0055,,,17.1,,0.8,,,,
,48,1.5440,,,,190.2,,,0.0040,,,17.1,,0.6,,,,
,49,1.5490,,,,190.9,,,0.0050,,,17.1,,0.7,,,,
,50,1.5535,,,,191.3,,,0.0045,,,17.1,,0.4,,,,
,51,1.5585,,,,191.9,,,0.0050,,,17.1,,0.6,,,,
,52,1.5630,,,,192.4,,,0.0045,,,17.1,,0.5,,,,
,53,1.5660,,,,192.9,,,0.0030,,,17.1,,0.5,,,,
,54,1.5680,,,,193.2,,,0.0020,,,17.1,,0.3,,,,
,55,1.5705,,,,193.5,,,0.0025,,,17.1,,0.3,,,,
,56,1.5730,,,,193.7,,,0.0025,,,17.1,,0.2,,,,
,57,1.5755,,,,194.0,,,0.0025,,,17.1,,0.3,,,,
,58,1.5785,,,,194.2,,,0.0030,,,17.1,,0.2,,,,
,59,1.5810,,,,194.5,,,0.0025,,,17.1,,0.3,,,,
,60,1.5830,,,,194.7,,,0.0020,,,17.1,,0.2,,,,
,61,1.5845,,,,194.9,,,0.0015,,,17.1,,0.2,,,,
,62,1.5855,,,,195.1,,,0.0010,,,17.1,,0.2,,,,
,63,1.5870,,,,195.2,,,0.0015,,,17.1,,0.1,,,,
,64,1.5900,,,,195.3,,,0.0030,,,17.1,,0.1,,,,
,65,1.5910,,,,195.6,,,0.0010,,,17.1,,0.3,,,,
,66,1.5925,,,,195.7,,,0.0015,,,17.1,,0.1,,,,
,67,1.5950,,,,195.9,,,0.0025,,,17.1,,0.2,,,,
,68,1.5965,,,,196.0,,,0.0015,,,17.1,,0.1,,,,
,,1.5965,,,,196.0,,,,,,,,,,,,EP
,69,1.5970,,,,196.2,,,0.0005,,,17.1,,0.2,,,,
,70,1.5970,,,,196.3,,,0.0000,,,17.1,,0.1,,,,
,71,1.5970,,,,196.2,,,0.0000,,,17.1,,-0.1,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,195.1,,,,,17.5,,,,,
,3,,0.0200,,,,,196.6,,0.0200,,,17.5,,,,1.5,
,6,,0.0400,,,,,198.5,,0.0200,,,17.5,,,,1.9,
,9,,0.0600,,,,,200.4,,0.0200,,,17.5,,,,1.9,
,12,,0.0800,,,,,202.3,,0.0200,,,17.5,,,,1.9,
,15,,0.1000,,,,,204.0,,0.0200,,,17.5,,,,1.7,
,18,,0.1200,,,,,205.6,,0.0200,,,17.5,,,,1.6,
