Titration Data Only,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,,
,1,,,,-50,,,,,,17,,,,,,,,
,2,,,,-50,,,,,,17,,,,0,,,,
,3,,,,-50,,,,,,17,,,,0,,,,
,4,,,,-50,,,,,,17,,,,0,,,,
,5,,,,-50,,,,,,17,,,,0,,,,
,6,,,,-50,,,,,,17,,,,0,,,,
,7,,,,-50,,,,,,17,,,,0,,,,
,8,,,,-50,,,,,,17,,,,0,,,,
,9,,,,-50,,,,,,17,,,,0,,,,
,10,,,,-50,,,,,,17,,,,0,,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,,dV,,Temp.,,dE,,,,EP
,[s],,[mL],,,,,[mV],,,[mL],,[°C],,[mV],,,,
,0,,0,,,,,-50,,,,,17,,,,,,
,1,,0.001,,,,,-50,,,0.001,,17,,0,,,,
,2,,0.005,,,,,-49.9,,,0.004,,17,,0.1,,,,
,3,,0.011,,,,,-49.7,,,0.006,,17,,0.2,,,,
,4,,0.0195,,,,,-48.7,,,0.0085,,17,,1,,,,
,5,,0.0335,,,,,-46.1,,,0.014,,17,,2.6,,,,
,6,,0.054,,,,,-42,,,0.0205,,17,,4.1,,,,
,7,,0.078,,,,,-34,,,0.024,,17,,8,,,,
,8,,0.112,,,,,-22.2,,,0.034,,17,,11.8,,,,
,9,,0.1535,,,,,-8.8,,,0.0415,,17,,13.4,,,,
,10,,0.2045,,,,,5.2,,,0.051,,17,,14,,,,
,11,,0.267,,,,,18.2,,,0.0625,,17,,13,,,,
,12,,0.341,,,,,29.9,,,0.074,,17,,11.7,,,,
,13,,0.418,,,,,41.6,,,0.077,,17,,11.7,,,,
,14,,0.517,,,,,53.1,,,0.099,,17,,11.5,,,,
,15,,0.629,,,,,64.6,,,0.112,,17,,11.5,,,,
,16,,0.754,,,,,76.3,,,0.125,,17,,11.7,,,,
,17,,0.891,,,,,87.8,,,0.137,,17,,11.5,,,,
,18,,1.0225,,,,,100.9,,,0.1315,,17,,13.1,,,,
,19,,1.073,,,,,107.6,,,0.0505,,17,,6.7,,,,
,20,,1.1025,,,,,106.1,,,0.0295,,17,,-1.5,,,,
,21,,1.1385,,,,,107.2,,,0.036,,17,,1.1,,,,
,22,,1.182,,,,,111.7,,,0.0435,,17,,4.5,,,,
,23,,1.23,,,,,119,,,0.048,,17,,7.3,,,,
,24,,1.275,,,,,126.2,,,0.045,,17,,7.2,,,,
,25,,1.322,,,,,136.3,,,0.047,,17,,10.1,,,,
,26,,1.339,,,,,143.4,,,0.017,,17,,7.1,,,,
,27,,1.346,,,,,145.6,,,0.007,,17.1,,2.2,,,,
,28,,1.3555,,,,,147.6,,,0.0095,,17.1,,2,,,,
,29,,1.369,,,,,150.3,,,0.0135,,17.1,,2.7,,,,
,30,,1.383,,,,,153.6,,,0.014,,17.1,,3.3,,,,
,31,,1.401,,,,,158,,,0.018,,17.1,,4.4,,,,
,32,,1.419,,,,,163,,,0.018,,17.1,,5,,,,
,33,,1.4315,,,,,167.5,,,0.0125,,17.1,,4.5,,,,
