Titration Samples Only,,,,,,,,,
Method,,,,,,,,,
Method ID,,Alk EQPoint 20201110,,,"Release state
",,Released,,
Name,,Alk EQPoint 20201110,,,Modified by,,SystemInternal,,
Version,,28,,,,,,,
Modified on,,11/10/2020 12:07:46 PM,,,,,,,
Comment,,,,,,,,,
Summary,,,,,,,,,
Samples,,,,,,,,,
,Sample ID,,,Name,,Result,,,State
1,SAC-1,,,Sample size,,51.515 g,,,
,,,,pH Start R1,,-50.000 pH,,,OK
,,,,Total HCl R2,,1.597 mL,,,OK
2,P-0078-1,,,Sample size,,57.487 g,,,
,,,,pH Start R1,,-58.500 pH,,,OK
,,,,Total HCl R2,,1.478 mL,,,OK
3,P-0078-2,,,Sample size,,54.193 g,,,
,,,,pH Start R1,,-59.200 pH,,,OK
,,,,Total HCl R2,,1.400 mL,,,OK
4,P-0078-3,,,Sample size,,55.293 g,,,
,,,,pH Start R1,,-59.300 pH,,,OK
,,,,Total HCl R2,,1.431 mL,,,OK
5,P-0078-4,,,Sample size,,52.950 g,,,
,,,,pH Start R1,,-59.300 pH,,,OK
,,,,Total HCl R2,,1.368 mL,,,OK
6,P-0078-5,,,Sample size,,54.037 g,,,
,,,,pH Start R1,,-59.500 pH,,,OK
,,,,Total HCl R2,,1.398 mL,,,OK
7,P-0078-6,,,Sample size,,53.170 g,,,
,,,,pH Start R1,,-59.700 pH,,,OK
,,,,Total HCl R2,,1.372 mL,,,OK
8,P-0078-7,,,Sample size,,53.729 g,,,
,,,,pH Start R1,,-59.700 pH,,,OK
,,,,Total HCl R2,,1.388 mL,,,OK
9,SAC-2,,,Sample size,,51.559 g,,,
,,,,pH Start R1,,-78.300 pH,,,OK
,,,,Total HCl R2,,1.419 mL,,,OK
10,ALKCRM-1,,,Sample size,,53.366 g,,,
,,,,pH Start R1,,-66.900 pH,,,OK
,,,,Total HCl R2,,1.357 mL,,,OK
11,ALKCRM-2,,,Sample size,,53.985 g,,,
,,,,pH Start R1,,-67.400 pH,,,OK
,,,,Total HCl R2,,1.378 mL,,,OK
12,ALKCRM-3,,,Sample size,,52.065 g,,,
,,,,pH Start R1,,-67.400 pH,,,OK
,,,,Total HCl R2,,1.330 mL,,,OK
11/10/2020 4:01:41 PM,,,SystemInternal,,,,,1/1,
