"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.44,209.6,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.46,210.8,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.48,212.1,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.5,213.3,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.52,214.5,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.54,215.6,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.56,216.6,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.58,217.7,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.6,218.7,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.62,219.7,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.64,220.6,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.66,221.4,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.68,222.2,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.7,223,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.72,223.7,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.74,224.5,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.76,225.3,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.78,226.1,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.8,226.8,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.82,227.5,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.84,228.1,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.86,228.7,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.88,229.3,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.9,229.9,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.92,230.6,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.94,231.2,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.96,231.8,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
1.98,232.3,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2,232.9,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2.02,233.4,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2.04,234,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2.06,234.5,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2.08,234.9,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2.1,235.4,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2.12,235.9,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2.14,236.4,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
2.16,236.9,19.3,"B-0041-2",52.144,26.958,19.818,8.2,7,208.54,237.16
