"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.437,209.7,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.457,211,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.477,212.2,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.497,213.5,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.517,214.7,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.537,215.8,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.557,216.9,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.577,218,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.597,219,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.617,220,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.637,220.9,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.657,221.7,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.677,222.5,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.697,223.3,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.717,224.2,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.737,225,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.757,225.8,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.777,226.5,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.797,227.3,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.817,228,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.837,228.6,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.857,229.2,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.877,229.8,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.897,230.4,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.917,231.1,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.937,231.7,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.957,232.3,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.977,232.9,19.9,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
1.997,233.4,20,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
2.017,233.9,20,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
2.037,234.5,20,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
2.057,235,20,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
2.077,235.5,20,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
2.097,236,20,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
2.117,236.5,20,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
2.137,237,20,"BAYSTD1-1",51.829,27.53,11.92,8.2,7,208.54,237.16
