"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.479,208.9,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.499,210.3,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.519,211.4,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.539,212.6,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.559,213.7,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.579,214.8,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.599,215.9,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.619,216.9,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.639,218,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.659,218.9,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.679,219.8,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.699,220.6,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.719,221.4,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.739,222.2,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.759,223,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.779,223.8,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.799,224.6,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.819,225.3,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.839,226,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.859,226.7,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.879,227.4,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.899,228.1,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.919,228.6,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.939,229.2,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.959,229.7,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.979,230.3,17.9,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
1.999,230.9,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.019,231.5,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.039,232,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.059,232.5,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.079,233,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.099,233.6,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.119,234.1,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.139,234.6,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.159,235,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.179,235.5,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.199,236,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.219,236.4,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
2.239,236.9,18,"P-0023-1",54.069,27.1,16.4,8.2,7,208.54,237.16
