Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/14",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/14",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-40.5,,,,,,17.4,,,,,,,
,2,,,,-40.6,,,,,,17.4,,,,-0.1,,,
,3,,,,-40.6,,,,,,17.4,,,,0.0,,,
,4,,,,-40.6,,,,,,17.4,,,,0.0,,,
,5,,,,-40.6,,,,,,17.4,,,,0.0,,,
,6,,,,-40.6,,,,,,17.4,,,,0.0,,,
,7,,,,-40.6,,,,,,17.4,,,,0.0,,,
,8,,,,-40.7,,,,,,17.4,,,,-0.1,,,
,9,,,,-40.7,,,,,,17.4,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/14",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/14",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-40.8,,,,,,17.4,,,,,,
,1,0.0010,,,,-40.9,,,0.0010,,,17.4,,-0.1,,,,
,2,0.0050,,,,-40.8,,,0.0040,,,17.4,,0.1,,,,
,3,0.0110,,,,-40.2,,,0.0060,,,17.4,,0.6,,,,
,4,0.0200,,,,-38.1,,,0.0090,,,17.4,,2.1,,,,
,5,0.0345,,,,-34.2,,,0.0145,,,17.4,,3.9,,,,
,6,0.0555,,,,-27.5,,,0.0210,,,17.4,,6.7,,,,
,7,0.0805,,,,-16.5,,,0.0250,,,17.4,,11.0,,,,
,8,0.1145,,,,-2.4,,,0.0340,,,17.4,,14.1,,,,
,9,0.1570,,,,13.6,,,0.0425,,,17.4,,16.0,,,,
,10,0.2095,,,,28.0,,,0.0525,,,17.4,,14.4,,,,
,11,0.2730,,,,41.6,,,0.0635,,,17.4,,13.6,,,,
,12,0.3405,,,,54.0,,,0.0675,,,17.4,,12.4,,,,
,13,0.4265,,,,67.1,,,0.0860,,,17.4,,13.1,,,,
,14,0.5265,,,,77.6,,,0.1000,,,17.4,,10.5,,,,
,15,0.6400,,,,91.6,,,0.1135,,,17.4,,14.0,,,,
,16,0.7230,,,,107.1,,,0.0830,,,17.4,,15.5,,,,
,17,0.7340,,,,103.6,,,0.0110,,,17.4,,-3.5,,,,
,18,0.7465,,,,98.4,,,0.0125,,,17.4,,-5.2,,,,
,19,0.7630,,,,96.2,,,0.0165,,,17.4,,-2.2,,,,
,20,0.7860,,,,98.2,,,0.0230,,,17.4,,2.0,,,,
,21,0.8150,,,,103.4,,,0.0290,,,17.4,,5.2,,,,
,22,0.8475,,,,110.2,,,0.0325,,,17.4,,6.8,,,,
,23,0.8820,,,,116.6,,,0.0345,,,17.4,,6.4,,,,
,24,0.9150,,,,122.9,,,0.0330,,,17.4,,6.3,,,,
,25,0.9520,,,,132.4,,,0.0370,,,17.4,,9.5,,,,
,26,0.9725,,,,139.1,,,0.0205,,,17.4,,6.7,,,,
,27,0.9865,,,,143.1,,,0.0140,,,17.4,,4.0,,,,
,28,1.0025,,,,147.1,,,0.0160,,,17.4,,4.0,,,,
,29,1.0205,,,,152.5,,,0.0180,,,17.4,,5.4,,,,
,30,1.0360,,,,157.3,,,0.0155,,,17.4,,4.8,,,,
,31,1.0480,,,,162.2,,,0.0120,,,17.4,,4.9,,,,
,32,1.0580,,,,165.2,,,0.0100,,,17.4,,3.0,,,,
,33,1.0685,,,,167.9,,,0.0105,,,17.4,,2.7,,,,
,34,1.0800,,,,171.0,,,0.0115,,,17.4,,3.1,,,,
,35,1.0920,,,,173.9,,,0.0120,,,17.4,,2.9,,,,
,36,1.1020,,,,176.1,,,0.0100,,,17.4,,2.2,,,,
,37,1.1130,,,,178.5,,,0.0110,,,17.4,,2.4,,,,
,38,1.1235,,,,180.9,,,0.0105,,,17.4,,2.4,,,,
,39,1.1310,,,,182.7,,,0.0075,,,17.4,,1.8,,,,
,40,1.1380,,,,183.9,,,0.0070,,,17.4,,1.2,,,,
,41,1.1455,,,,185.1,,,0.0075,,,17.4,,1.2,,,,
,42,1.1525,,,,186.2,,,0.0070,,,17.4,,1.1,,,,
,43,1.1615,,,,187.4,,,0.0090,,,17.4,,1.2,,,,
,44,1.1700,,,,188.6,,,0.0085,,,17.4,,1.2,,,,
,45,1.1770,,,,189.5,,,0.0070,,,17.4,,0.9,,,,
,46,1.1820,,,,190.5,,,0.0050,,,17.4,,1.0,,,,
,47,1.1860,,,,191.1,,,0.0040,,,17.4,,0.6,,,,
,48,1.1905,,,,191.7,,,0.0045,,,17.4,,0.6,,,,
,49,1.1955,,,,192.3,,,0.0050,,,17.4,,0.6,,,,
,50,1.2005,,,,192.8,,,0.0050,,,17.4,,0.5,,,,
,51,1.2040,,,,193.4,,,0.0035,,,17.4,,0.6,,,,
,52,1.2065,,,,193.8,,,0.0025,,,17.4,,0.4,,,,
,53,1.2095,,,,194.1,,,0.0030,,,17.4,,0.3,,,,
,54,1.2125,,,,194.4,,,0.0030,,,17.4,,0.3,,,,
,55,1.2155,,,,194.8,,,0.0030,,,17.4,,0.4,,,,
,56,1.2180,,,,195.1,,,0.0025,,,17.4,,0.3,,,,
,57,1.2205,,,,195.4,,,0.0025,,,17.4,,0.3,,,,
,58,1.2220,,,,195.7,,,0.0015,,,17.4,,0.3,,,,
,59,1.2235,,,,195.9,,,0.0015,,,17.4,,0.2,,,,
,60,1.2255,,,,195.9,,,0.0020,,,17.4,,0.0,,,,
,61,1.2260,,,,196.2,,,0.0005,,,17.4,,0.3,,,,
,62,1.2280,,,,196.3,,,0.0020,,,17.4,,0.1,,,,
,63,1.2305,,,,196.3,,,0.0025,,,17.4,,0.0,,,,
,64,1.2335,,,,196.7,,,0.0030,,,17.4,,0.4,,,,
,65,1.2340,,,,196.9,,,0.0005,,,17.4,,0.2,,,,
,,1.2345,,,,197.0,,,,,,,,,,,,EP
,66,1.2350,,,,197.1,,,0.0010,,,17.4,,0.2,,,,
,67,1.2350,,,,197.1,,,0.0000,,,17.4,,0.0,,,,
,68,1.2350,,,,197.2,,,0.0000,,,17.4,,0.1,,,,
,68,1.2350,,,,197.2,,,0.0000,,,17.4,,0.0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/14",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/14",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,195.5,,,,,17.6,,,,,
,3,,0.0200,,,,,197.1,,0.0200,,,17.6,,,,1.6,
,6,,0.0400,,,,,199.0,,0.0200,,,17.6,,,,1.9,
,9,,0.0600,,,,,200.9,,0.0200,,,17.6,,,,1.9,
,12,,0.0800,,,,,202.6,,0.0200,,,17.6,,,,1.7,
,15,,0.1000,,,,,204.3,,0.0200,,,17.6,,,,1.7,
,18,,0.1200,,,,,206.0,,0.0200,,,17.6,,,,1.7,
,21,,0.1400,,,,,207.4,,0.0200,,,17.6,,,,1.4,
,24,,0.1600,,,,,208.7,,0.0200,,,17.6,,,,1.3,
,27,,0.1800,,,,,209.9,,0.0200,,,17.6,,,,1.2,
