Titration Samples Only,,,,,,,,,
Method,,,,,,,,,
Method ID,,Alk EQPoint 20201117,,,"Release state
",,Released,,
Name,,Alk EQPoint 20201117,,,Modified by,,SystemInternal,,
Version,,29,,,,,,,
Modified on,,11/17/2020 1:49:34 PM,,,,,,,
Comment,,,,,,,,,
Summary,,,,,,,,,
Samples,,,,,,,,,
,Sample ID,,,Name,,Result,,,State
1,SAC-1,,,Sample size,,0 g,,,
,,,,pH Start R1,,-40.600 pH,,,OK
,,,,Total HCl R2,,1.235 mL,,,OK
2,P-0023-1,,,Sample size,,0 g,,,
,,,,pH Start R1,,-65.200 pH,,,OK
,,,,Total HCl R2,,1.339 mL,,,OK
3,P-0023-2,,,Sample size,,0 g,,,
,,,,pH Start R1,,-65.500 pH,,,OK
,,,,Total HCl R2,,1.334 mL,,,OK
4,P-0023-3,,,Sample size,,0 g,,,
,,,,pH Start R1,,-65.800 pH,,,OK
,,,,Total HCl R2,,1.302 mL,,,OK
5,B-0041-1,,,Sample size,,0 g,,,
,,,,pH Start R1,,-68.700 pH,,,OK
,,,,Total HCl R2,,1.328 mL,,,OK
6,B-0041-2,,,Sample size,,0 g,,,
,,,,pH Start R1,,-68.500 pH,,,OK
,,,,Total HCl R2,,1.300 mL,,,OK
7,B-0041-3,,,Sample size,,0 g,,,
,,,,pH Start R1,,-68.200 pH,,,OK
,,,,Total HCl R2,,1.275 mL,,,OK
8,P-0034-1,,,Sample size,,0 g,,,
,,,,pH Start R1,,-65.300 pH,,,OK
,,,,Total HCl R2,,1.259 mL,,,OK
9,P-0034-2,,,Sample size,,0 g,,,
,,,,pH Start R1,,-65.900 pH,,,OK
,,,,Total HCl R2,,1.296 mL,,,OK
10,P-0034-3,,,Sample size,,0 g,,,
,,,,pH Start R1,,-65.900 pH,,,OK
,,,,Total HCl R2,,1.284 mL,,,OK
11,SAC-2,,,Sample size,,0 g,,,
,,,,pH Start R1,,-80.400 pH,,,OK
,,,,Total HCl R2,,1.108 mL,,,OK
12,BAYSTD1-1,,,Sample size,,0 g,,,
,,,,pH Start R1,,-62.000 pH,,,OK
,,,,Total HCl R2,,1.297 mL,,,OK
13,BAYSTD1-2,,,Sample size,,0 g,,,
,,,,pH Start R1,,-61.100 pH,,,OK
,,,,Total HCl R2,,1.291 mL,,,OK
14,BAYSTD1-3,,,Sample size,,0 g,,,
,,,,pH Start R1,,-61.400 pH,,,OK
,,,,Total HCl R2,,1.311 mL,,,OK
11/17/2020 6:01:46 PM,,,SystemInternal,,,,,1/1,
