Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-73.3,,,,,,19.5,,,,,,,
,2,,,,-73.3,,,,,,19.5,,,,0,,,
,3,,,,-73.4,,,,,,19.5,,,,-0.1,,,
,4,,,,-73.4,,,,,,19.5,,,,0,,,
,5,,,,-73.5,,,,,,19.5,,,,-0.1,,,
,6,,,,-73.5,,,,,,19.5,,,,0,,,
,7,,,,-73.5,,,,,,19.5,,,,0,,,
,8,,,,-73.5,,,,,,19.5,,,,0,,,
,9,,,,-73.6,,,,,,19.5,,,,-0.1,,,
,10,,,,-73.7,,,,,,19.5,,,,-0.1,,,
,11,,,,-73.7,,,,,,19.5,,,,0,,,
,12,,,,-73.7,,,,,,19.5,,,,0,,,
,13,,,,-73.7,,,,,,19.5,,,,0,,,
,14,,,,-73.8,,,,,,19.5,,,,-0.1,,,
,15,,,,-73.8,,,,,,19.5,,,,0,,,
,16,,,,-73.8,,,,,,19.5,,,,0,,,
,17,,,,-73.8,,,,,,19.5,,,,0,,,
,18,,,,-73.9,,,,,,19.5,,,,-0.1,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-74,,,,,,19.5,,,,,,
,1,0.001,,,,-68.3,,,0.001,,,19.5,,5.7,,,,
,2,0.005,,,,-83.3,,,0.004,,,19.5,,-15,,,,
,3,0.011,,,,-74.6,,,0.006,,,19.5,,8.7,,,,
,4,0.02,,,,-73,,,0.009,,,19.5,,1.6,,,,
,5,0.034,,,,-71.6,,,0.014,,,19.5,,1.4,,,,
,6,0.055,,,,-69.4,,,0.021,,,19.5,,2.2,,,,
,7,0.08,,,,-66.3,,,0.025,,,19.5,,3.1,,,,
,8,0.1145,,,,-60.8,,,0.0345,,,19.5,,5.5,,,,
,9,0.157,,,,-53.3,,,0.0425,,,19.5,,7.5,,,,
,10,0.21,,,,-42.4,,,0.053,,,19.5,,10.9,,,,
,11,0.2725,,,,-28.8,,,0.0625,,,19.5,,13.6,,,,
,12,0.348,,,,-16.3,,,0.0755,,,19.5,,12.5,,,,
,13,0.4265,,,,0.2,,,0.0785,,,19.5,,16.5,,,,
,14,0.526,,,,17.1,,,0.0995,,,19.5,,16.9,,,,
,15,0.639,,,,36.1,,,0.113,,,19.5,,19,,,,
,16,0.7655,,,,56.4,,,0.1265,,,19.5,,20.3,,,,
,17,0.903,,,,80.9,,,0.1375,,,19.5,,24.5,,,,
,18,0.961,,,,107.4,,,0.058,,,19.5,,26.5,,,,
,19,0.962,,,,106.2,,,0.001,,,19.5,,-1.2,,,,
,20,0.9655,,,,103.6,,,0.0035,,,19.5,,-2.6,,,,
,21,0.9705,,,,103.9,,,0.005,,,19.5,,0.3,,,,
,22,0.979,,,,106.3,,,0.0085,,,19.5,,2.4,,,,
,23,0.99,,,,110,,,0.011,,,19.5,,3.7,,,,
,24,1.0035,,,,114.2,,,0.0135,,,19.5,,4.2,,,,
,25,1.0205,,,,120,,,0.017,,,19.5,,5.8,,,,
,26,1.039,,,,127,,,0.0185,,,19.5,,7,,,,
,27,1.0555,,,,135.7,,,0.0165,,,19.5,,8.7,,,,
,28,1.0635,,,,140.2,,,0.008,,,19.5,,4.5,,,,
,29,1.0705,,,,142.2,,,0.007,,,19.5,,2,,,,
,30,1.079,,,,145.7,,,0.0085,,,19.5,,3.5,,,,
,31,1.0895,,,,150.5,,,0.0105,,,19.5,,4.8,,,,
,32,1.096,,,,161.5,,,0.0065,,,19.5,,11,,,,
,33,1.097,,,,145,,,0.001,,,19.5,,-16.5,,,,
,34,1.0975,,,,154.2,,,0.0005,,,19.5,,9.2,,,,
,35,1.0985,,,,157.5,,,0.001,,,19.6,,3.3,,,,
,36,1.101,,,,158.5,,,0.0025,,,19.6,,1,,,,
,37,1.1045,,,,159.5,,,0.0035,,,19.5,,1,,,,
,38,1.11,,,,161,,,0.0055,,,19.6,,1.5,,,,
,39,1.1175,,,,163.5,,,0.0075,,,19.6,,2.5,,,,
,40,1.125,,,,166.2,,,0.0075,,,19.6,,2.7,,,,
,41,1.1305,,,,168.5,,,0.0055,,,19.6,,2.3,,,,
,42,1.133,,,,170.2,,,0.0025,,,19.6,,1.7,,,,
,43,1.136,,,,171.1,,,0.003,,,19.6,,0.9,,,,
,44,1.1395,,,,172,,,0.0035,,,19.6,,0.9,,,,
,45,1.1445,,,,173,,,0.005,,,19.6,,1,,,,
,46,1.1505,,,,174.2,,,0.006,,,19.6,,1.2,,,,
,47,1.156,,,,175.8,,,0.0055,,,19.6,,1.6,,,,
,48,1.158,,,,177,,,0.002,,,19.6,,1.2,,,,
,49,1.16,,,,177.6,,,0.002,,,19.6,,0.6,,,,
,50,1.163,,,,178.2,,,0.003,,,19.6,,0.6,,,,
,51,1.167,,,,178.8,,,0.004,,,19.6,,0.6,,,,
,52,1.1705,,,,179.6,,,0.0035,,,19.6,,0.8,,,,
,53,1.1735,,,,180.3,,,0.003,,,19.6,,0.7,,,,
,54,1.1755,,,,180.6,,,0.002,,,19.6,,0.3,,,,
,55,1.178,,,,181.2,,,0.0025,,,19.6,,0.6,,,,
,56,1.1805,,,,181.5,,,0.0025,,,19.6,,0.3,,,,
,57,1.183,,,,181.9,,,0.0025,,,19.6,,0.4,,,,
,58,1.184,,,,182.4,,,0.001,,,19.6,,0.5,,,,
,59,1.1855,,,,182.5,,,0.0015,,,19.6,,0.1,,,,
,60,1.1875,,,,182.8,,,0.002,,,19.6,,0.3,,,,
,61,1.1885,,,,183.1,,,0.001,,,19.6,,0.3,,,,
,62,1.189,,,,183.3,,,0.0005,,,19.6,,0.2,,,,
,63,1.191,,,,183.3,,,0.002,,,19.6,,0,,,,
,64,1.193,,,,183.7,,,0.002,,,19.6,,0.4,,,,
,65,1.193,,,,183.8,,,0,,,19.6,,0.1,,,,
,66,1.1955,,,,184,,,0.0025,,,19.6,,0.2,,,,
,,1.1955,,,,184,,,,,,,,,,,,EP
,67,1.1965,,,,184.3,,,0.001,,,19.6,,0.3,,,,
,68,1.1965,,,,184.4,,,0,,,19.6,,0.1,,,,
,69,1.1965,,,,184.4,,,0,,,19.6,,0,,,,
,69,1.1965,,,,184.4,,,0,,,19.6,,0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,148.6,,,,,,19.9,,,,,,
,3,0.02,,,,157.1,,0.02,,,,19.9,,,,8.5,,
,6,0.04,,,,166,,0.02,,,,19.9,,,,8.9,,
,9,0.06,,,,173.2,,0.02,,,,19.9,,,,7.2,,
,12,0.08,,,,179,,0.02,,,,19.9,,,,5.8,,
,15,0.1,,,,183.7,,0.02,,,,19.9,,,,4.7,,
