"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.276,197,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.296,199.7,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.316,202,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.336,204.2,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.356,206,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.376,207.7,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.396,209.4,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.416,211.1,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.436,212.6,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.456,214,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.476,215.4,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.496,216.6,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.516,218,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.536,219.1,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.556,220.2,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.576,221.1,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.596,222.1,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.616,223.1,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.636,224,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
1.656,224.9,20.6,"P-0084-1",51.55,29.8,12,-5.9,7,196.12,224.98
