"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.263,196.9,20.5,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.283,199.6,20.5,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.303,201.9,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.323,204,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.343,205.8,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.363,207.6,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.383,209.3,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.403,210.9,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.423,212.4,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.443,213.8,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.463,215.2,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.483,216.5,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.503,217.8,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.523,218.9,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.543,219.9,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.563,220.9,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.583,222,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.603,222.9,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.623,223.9,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
1.643,224.8,20.6,"BAY-STD-1",51.372,27.53,11.92,-5.9,7,196.12,224.98
