"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",2380.62359454091,2399.17645392725,2380.62359454091
"DIC-CRM-1",2250.75756233559,2263.25250640058,2250.75756233559
"DIC-CRM-2",2203.22618654695,2214.3217183373,2203.22618654695
"DIC-CRM-3",2200.2796088885,2211.19974598145,2200.2796088885
"SAC-2",2398.03141835029,2410.34834289242,2398.03141835029
"BAYSTD1-1",2188.05481174172,2197.73369555041,2219.20762857998
"BAYSTD1-2",2182.16332682794,2191.56931198814,2215.07200452482
"BAYSTD1-3",2179.90383521822,2188.76367730336,2213.77345780112
"SAC-3",2110.58691424631,2117.88687965472,2110.58691424631
"BAYSTD2-1",2253.49247123941,2261.04877891639,2280.04377582599
"BAYSTD2-2",2256.35866385955,2263.97028021399,2281.55541428897
"BAYSTD2-3",2252.45391352166,2258.03737850253,2275.99313793123
