"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.238,197.4,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.258,200,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.278,202.3,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.298,204.6,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.318,206.4,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.338,208.2,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.358,209.8,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.378,211.5,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.398,212.9,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.418,214.4,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.438,215.7,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.458,217.1,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.478,218.3,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.498,219.5,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.518,220.6,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.538,221.6,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.558,222.6,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
1.578,223.6,21.2,"BAYSTD1-1",50.262,27.5,11.2,-5.3,7,195.635,224.34
