"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.3615,196.9,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.3815,199.3,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.4015,201.7,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.4215,203.7,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.4415,205.6,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.4615,207.2,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.4815,208.9,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.5015,210.5,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.5215,212,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.5415,213.4,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.5615,214.7,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.5815,216,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.6015,217.2,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.6215,218.4,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.6415,219.4,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.6615,220.4,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.6815,221.4,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.7015,222.4,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.7215,223.3,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
1.7415,224.3,20.4,"DIC-CRM-2",55.424,33.525,25,-5.3,7,195.635,224.34
