"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2385,197.8,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.2585,200,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.2785,202.1,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.2985,204.1,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.3185,206.1,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.3385,207.8,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.3585,209.5,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.3785,211.1,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.3985,212.5,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.4185,214,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.4385,215.2,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.4585,216.4,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.4785,217.5,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.4985,218.6,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.5185,219.7,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.5385,220.7,21.6,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.5585,221.7,21.7,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.5785,222.7,21.7,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
1.5985,223.6,21.7,"SAC-3",51.403,30,25,-5.3,7,195.635,224.34
