Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-111.3,,,,,,20.1,,,,,,,
,2,,,,-111.5,,,,,,20.1,,,,-0.2,,,
,3,,,,-111.6,,,,,,20.1,,,,-0.1,,,
,4,,,,-111.7,,,,,,20.1,,,,-0.1,,,
,5,,,,-111.8,,,,,,20.1,,,,-0.1,,,
,6,,,,-111.9,,,,,,20.1,,,,-0.1,,,
,7,,,,-112,,,,,,20.1,,,,-0.1,,,
,8,,,,-112.1,,,,,,20.1,,,,-0.1,,,
,9,,,,-112.2,,,,,,20.1,,,,-0.1,,,
,10,,,,-112.2,,,,,,20.1,,,,0,,,
,11,,,,-112.3,,,,,,20.1,,,,-0.1,,,
,12,,,,-112.4,,,,,,20.1,,,,-0.1,,,
,13,,,,-112.5,,,,,,20.1,,,,-0.1,,,
,14,,,,-112.6,,,,,,20.1,,,,-0.1,,,
,15,,,,-112.7,,,,,,20.1,,,,-0.1,,,
,16,,,,-112.8,,,,,,20.1,,,,-0.1,,,
,17,,,,-112.8,,,,,,20.1,,,,0,,,
,18,,,,-112.9,,,,,,20.1,,,,-0.1,,,
,19,,,,-113,,,,,,20.1,,,,-0.1,,,
,20,,,,-113.1,,,,,,20.1,,,,-0.1,,,
,21,,,,-113.1,,,,,,20.1,,,,0,,,
,22,,,,-113.2,,,,,,20.1,,,,-0.1,,,
,23,,,,-113.3,,,,,,20.1,,,,-0.1,,,
,24,,,,-113.3,,,,,,20.1,,,,0,,,
,25,,,,-113.4,,,,,,20.1,,,,-0.1,,,
,26,,,,-113.5,,,,,,20.1,,,,-0.1,,,
,27,,,,-113.5,,,,,,20.1,,,,0,,,
,28,,,,-113.6,,,,,,20.1,,,,-0.1,,,
,29,,,,-113.7,,,,,,20.1,,,,-0.1,,,
,30,,,,-113.7,,,,,,20.1,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-114.2,,,,,,20.1,,,,,,
,1,0.001,,,,-114.6,,,0.001,,,20.2,,-0.4,,,,
,2,0.005,,,,-114.7,,,0.004,,,20.2,,-0.1,,,,
,3,0.011,,,,-114.7,,,0.006,,,20.2,,0,,,,
,4,0.02,,,,-114.8,,,0.009,,,20.2,,-0.1,,,,
,5,0.034,,,,-114.9,,,0.014,,,20.2,,-0.1,,,,
,6,0.055,,,,-114.9,,,0.021,,,20.2,,0,,,,
,7,0.08,,,,-114.9,,,0.025,,,20.2,,0,,,,
,8,0.114,,,,-115,,,0.034,,,20.2,,-0.1,,,,
,9,0.1565,,,,-115.1,,,0.0425,,,20.2,,-0.1,,,,
,10,0.208,,,,-115.1,,,0.0515,,,20.2,,0,,,,
,11,0.2705,,,,-115.2,,,0.0625,,,20.2,,-0.1,,,,
,12,0.345,,,,-115.3,,,0.0745,,,20.2,,-0.1,,,,
,13,0.422,,,,-115.3,,,0.077,,,20.2,,0,,,,
,14,0.521,,,,-115.4,,,0.099,,,20.2,,-0.1,,,,
,15,0.632,,,,-115.4,,,0.111,,,20.2,,0,,,,
,16,0.7555,,,,-115.5,,,0.1235,,,20.2,,-0.1,,,,
,17,0.8925,,,,-115.5,,,0.137,,,20.2,,0,,,,
,18,1.0405,,,,-115.6,,,0.148,,,20.2,,-0.1,,,,
,19,1.2,,,,-115.6,,,0.1595,,,20.2,,0,,,,
,20,1.356,,,,-115.6,,,0.156,,,20.2,,0,,,,
,21,1.543,,,,-115.7,,,0.187,,,20.2,,-0.1,,,,
,22,1.746,,,,-115.8,,,0.203,,,20.2,,-0.1,,,,
,23,1.9685,,,,-115.8,,,0.2225,,,20.2,,0,,,,
,24,2.2085,,,,-115.9,,,0.24,,,20.2,,-0.1,,,,
,25,2.4595,,,,-115.9,,,0.251,,,20.2,,0,,,,
,26,2.6865,,,,-115.9,,,0.227,,,20.2,,0,,,,
,27,2.938,,,,-116,,,0.2515,,,20.2,,-0.1,,,,
,28,3.1895,,,,-116,,,0.2515,,,20.2,,0,,,,
,29,3.4415,,,,-116,,,0.252,,,20.2,,0,,,,
,30,3.6935,,,,-116.1,,,0.252,,,20.2,,-0.1,,,,
,31,3.9205,,,,-116,,,0.227,,,20.2,,0.1,,,,
,32,4.1715,,,,-116.1,,,0.251,,,20.2,,-0.1,,,,
,33,4.4225,,,,-116.1,,,0.251,,,20.2,,0,,,,
,34,4.674,,,,-116.1,,,0.2515,,,20.2,,0,,,,
,35,4.926,,,,-116.2,,,0.252,,,20.2,,-0.1,,,,
,36,5.1775,,,,-116.2,,,0.2515,,,20.2,,0,,,,
,37,5.404,,,,-116.2,,,0.2265,,,20.2,,0,,,,
,38,5.6555,,,,-116.3,,,0.2515,,,20.2,,-0.1,,,,
,39,5.907,,,,-116.3,,,0.2515,,,20.2,,0,,,,
,40,6.1585,,,,-116.3,,,0.2515,,,20.2,,0,,,,
,41,6.4095,,,,-116.3,,,0.251,,,20.2,,0,,,,
,42,6.661,,,,-116.4,,,0.2515,,,20.2,,-0.1,,,,
,43,6.9125,,,,-116.4,,,0.2515,,,20.2,,0,,,,
,44,7.138,,,,-116.5,,,0.2255,,,20.2,,-0.1,,,,
,45,7.39,,,,-116.4,,,0.252,,,20.2,,0.1,,,,
,46,7.6415,,,,-106.4,,,0.2515,,,20.2,,10,,,,
,47,7.8925,,,,-41.8,,,0.251,,,20.2,,64.6,,,,
,48,8.144,,,,94.9,,,0.2515,,,20.2,,136.7,,,,
,49,8.219,,,,180.5,,,0.075,,,20.2,,85.6,,,,
,50,8.219,,,,211.3,,,0,,,20.2,,30.8,,,,
,51,8.219,,,,218.6,,,0,,,20.2,,7.3,,,,
,52,8.219,,,,220.7,,,0,,,20.2,,2.1,,,,
,52,8.219,,,,221,,,0,,,20.2,,0.3,,,,
,,8.219,,,,191,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/4",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,209.7,,,,,,20.6,,,,,,
,3,0.02,,,,210,,0.02,,,,20.6,,,,0.3,,
,6,0.04,,,,211.2,,0.02,,,,20.6,,,,1.2,,
,9,0.06,,,,212.5,,0.02,,,,20.6,,,,1.3,,
,12,0.08,,,,213.7,,0.02,,,,20.6,,,,1.2,,
,15,0.1,,,,215,,0.02,,,,20.6,,,,1.3,,
,18,0.12,,,,216.1,,0.02,,,,20.7,,,,1.1,,
,21,0.14,,,,217.2,,0.02,,,,20.7,,,,1.1,,
,24,0.16,,,,218.3,,0.02,,,,20.7,,,,1.1,,
,27,0.18,,,,219.2,,0.02,,,,20.7,,,,0.9,,
,30,0.2,,,,220.2,,0.02,,,,20.7,,,,1,,
,33,0.22,,,,221.2,,0.02,,,,20.7,,,,1,,
