Titration Samples Only,,,,,,,,,
Method,,,,,,,,,
Method ID,,Alk EQPoint 08APR2022,,,"Release state
",,Released,,
Name,,Alk EQPoint 08APR2022,,,Modified by,,SystemInternal,,
Version,,48,,,,,,,
Modified on,,4/8/2022 11:26:15 AM,,,,,,,
Comment,,,,,,,,,
Summary,,,,,,,,,
Samples,,,,,,,,,
,Sample ID,,,Name,,Result,,,State
1,SAC-1,,,Sample size,,51.241 g,,,
,,,,pH Start R1,,-113.400 pH,,,OK
,,,,Total HCl R2,,8.219 mL,,,OK
2,P-001-1,,,Sample size,,53.091 g,,,
,,,,pH Start R1,,-66.200 pH,,,OK
,,,,Total HCl R2,,1.428 mL,,,OK
3,P-001-2,,,Sample size,,54.085 g,,,
,,,,pH Start R1,,-65.700 pH,,,OK
,,,,Total HCl R2,,1.390 mL,,,OK
4,P-001-3,,,Sample size,,55.700 g,,,
,,,,pH Start R1,,-66.500 pH,,,OK
,,,,Total HCl R2,,1.522 mL,,,OK
4/8/2022 2:01:16 PM,,,SystemInternal,,,,,1/1,
