Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-38.8,,,,,,18.7,,,,,,,
,2,,,,-38.9,,,,,,18.7,,,,-0.1,,,
,3,,,,-38.9,,,,,,18.7,,,,0.0,,,
,4,,,,-39.0,,,,,,18.7,,,,-0.1,,,
,5,,,,-39.0,,,,,,18.7,,,,0.0,,,
,6,,,,-39.1,,,,,,18.7,,,,-0.1,,,
,7,,,,-39.1,,,,,,18.7,,,,0.0,,,
,8,,,,-39.2,,,,,,18.7,,,,-0.1,,,
,9,,,,-39.2,,,,,,18.7,,,,0.0,,,
,10,,,,-39.3,,,,,,18.7,,,,-0.1,,,
,11,,,,-39.3,,,,,,18.7,,,,0.0,,,
,12,,,,-39.4,,,,,,18.7,,,,-0.1,,,
,13,,,,-39.4,,,,,,18.7,,,,0.0,,,
,14,,,,-39.5,,,,,,18.7,,,,-0.1,,,
,15,,,,-39.5,,,,,,18.7,,,,0.0,,,
,16,,,,-39.6,,,,,,18.7,,,,-0.1,,,
,17,,,,-39.6,,,,,,18.7,,,,0.0,,,
,18,,,,-39.7,,,,,,18.7,,,,-0.1,,,
,19,,,,-39.7,,,,,,18.7,,,,0.0,,,
,20,,,,-39.8,,,,,,18.7,,,,-0.1,,,
,21,,,,-39.8,,,,,,18.7,,,,0.0,,,
,22,,,,-39.9,,,,,,18.7,,,,-0.1,,,
,23,,,,-39.9,,,,,,18.7,,,,0.0,,,
,24,,,,-40.0,,,,,,18.7,,,,-0.1,,,
,25,,,,-40.0,,,,,,18.7,,,,0.0,,,
,26,,,,-40.1,,,,,,18.7,,,,-0.1,,,
,27,,,,-40.1,,,,,,18.7,,,,0.0,,,
,28,,,,-40.2,,,,,,18.7,,,,-0.1,,,
,29,,,,-40.2,,,,,,18.7,,,,0.0,,,
,30,,,,-40.3,,,,,,18.7,,,,-0.1,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-40.6,,,,,,18.7,,,,,,
,1,0.0010,,,,-41.0,,,0.0010,,,18.7,,-0.4,,,,
,2,0.0050,,,,-41.1,,,0.0040,,,18.7,,-0.1,,,,
,3,0.0110,,,,-41.1,,,0.0060,,,18.7,,0.0,,,,
,4,0.0195,,,,-41.2,,,0.0085,,,18.7,,-0.1,,,,
,5,0.0335,,,,-41.2,,,0.0140,,,18.7,,0.0,,,,
,6,0.0535,,,,-41.3,,,0.0200,,,18.7,,-0.1,,,,
,7,0.0775,,,,-41.3,,,0.0240,,,18.7,,0.0,,,,
,8,0.1115,,,,-41.3,,,0.0340,,,18.7,,0.0,,,,
,9,0.1530,,,,-41.4,,,0.0415,,,18.7,,-0.1,,,,
,10,0.2045,,,,-41.5,,,0.0515,,,18.7,,-0.1,,,,
,11,0.2670,,,,-41.5,,,0.0625,,,18.7,,0.0,,,,
,12,0.3415,,,,-41.6,,,0.0745,,,18.7,,-0.1,,,,
,13,0.4185,,,,-38.8,,,0.0770,,,18.7,,2.8,,,,
,14,0.5170,,,,-19.5,,,0.0985,,,18.7,,19.3,,,,
,15,0.6290,,,,15.4,,,0.1120,,,18.7,,34.9,,,,
,16,0.7540,,,,47.1,,,0.1250,,,18.7,,31.7,,,,
,17,0.8915,,,,72.7,,,0.1375,,,18.7,,25.6,,,,
,18,1.0055,,,,95.4,,,0.1140,,,18.7,,22.7,,,,
,19,1.0090,,,,98.1,,,0.0035,,,18.8,,2.7,,,,
,20,1.0120,,,,90.7,,,0.0030,,,18.8,,-7.4,,,,
,21,1.0160,,,,85.1,,,0.0040,,,18.8,,-5.6,,,,
,22,1.0220,,,,82.8,,,0.0060,,,18.8,,-2.3,,,,
,23,1.0305,,,,83.2,,,0.0085,,,18.8,,0.4,,,,
,24,1.0425,,,,85.0,,,0.0120,,,18.8,,1.8,,,,
,25,1.0600,,,,89.4,,,0.0175,,,18.8,,4.4,,,,
,26,1.0825,,,,94.5,,,0.0225,,,18.8,,5.1,,,,
,27,1.1080,,,,99.5,,,0.0255,,,18.8,,5.0,,,,
,28,1.1365,,,,105.0,,,0.0285,,,18.8,,5.5,,,,
,29,1.1670,,,,111.2,,,0.0305,,,18.8,,6.2,,,,
,30,1.1965,,,,116.3,,,0.0295,,,18.8,,5.1,,,,
,31,1.2300,,,,124.4,,,0.0335,,,18.8,,8.1,,,,
,32,1.2535,,,,131.0,,,0.0235,,,18.8,,6.6,,,,
,33,1.2675,,,,134.3,,,0.0140,,,18.8,,3.3,,,,
,34,1.2835,,,,137.4,,,0.0160,,,18.8,,3.1,,,,
,35,1.3025,,,,142.4,,,0.0190,,,18.8,,5.0,,,,
,36,1.3180,,,,148.1,,,0.0155,,,18.8,,5.7,,,,
,37,1.3250,,,,152.0,,,0.0070,,,18.8,,3.9,,,,
,38,1.3300,,,,154.3,,,0.0050,,,18.8,,2.3,,,,
,39,1.3360,,,,156.0,,,0.0060,,,18.8,,1.7,,,,
,40,1.3445,,,,158.2,,,0.0085,,,18.8,,2.2,,,,
,41,1.3540,,,,160.9,,,0.0095,,,18.8,,2.7,,,,
,42,1.3625,,,,163.5,,,0.0085,,,18.8,,2.6,,,,
,43,1.3700,,,,166.2,,,0.0075,,,18.8,,2.7,,,,
,44,1.3745,,,,167.8,,,0.0045,,,18.8,,1.6,,,,
,45,1.3785,,,,168.9,,,0.0040,,,18.8,,1.1,,,,
,46,1.3840,,,,170.0,,,0.0055,,,18.8,,1.1,,,,
,47,1.3910,,,,171.4,,,0.0070,,,18.8,,1.4,,,,
,48,1.3970,,,,172.9,,,0.0060,,,18.8,,1.5,,,,
,49,1.4005,,,,174.1,,,0.0035,,,18.8,,1.2,,,,
,50,1.4035,,,,174.9,,,0.0030,,,18.8,,0.8,,,,
,51,1.4065,,,,175.5,,,0.0030,,,18.8,,0.6,,,,
,52,1.4105,,,,176.3,,,0.0040,,,18.8,,0.8,,,,
,53,1.4150,,,,177.1,,,0.0045,,,18.8,,0.8,,,,
,54,1.4180,,,,177.9,,,0.0030,,,18.8,,0.8,,,,
,55,1.4205,,,,178.5,,,0.0025,,,18.8,,0.6,,,,
,56,1.4230,,,,179.0,,,0.0025,,,18.8,,0.5,,,,
,57,1.4255,,,,179.4,,,0.0025,,,18.8,,0.4,,,,
,58,1.4280,,,,180.0,,,0.0025,,,18.8,,0.6,,,,
,59,1.4305,,,,180.3,,,0.0025,,,18.8,,0.3,,,,
,60,1.4325,,,,180.8,,,0.0020,,,18.8,,0.5,,,,
,61,1.4350,,,,181.2,,,0.0025,,,18.8,,0.4,,,,
,62,1.4360,,,,181.5,,,0.0010,,,18.8,,0.3,,,,
,63,1.4375,,,,181.7,,,0.0015,,,18.8,,0.2,,,,
,64,1.4400,,,,182.0,,,0.0025,,,18.8,,0.3,,,,
,65,1.4405,,,,182.3,,,0.0005,,,18.8,,0.3,,,,
,66,1.4420,,,,182.3,,,0.0015,,,18.8,,0.0,,,,
,67,1.4450,,,,182.6,,,0.0030,,,18.8,,0.3,,,,
,68,1.4455,,,,183.0,,,0.0005,,,18.8,,0.4,,,,
,,1.4455,,,,183.0,,,,,,,,,,,,EP
,69,1.4460,,,,183.0,,,0.0005,,,18.8,,0.0,,,,
,70,1.4460,,,,183.0,,,0.0000,,,18.8,,0.0,,,,
,71,1.4465,,,,183.0,,,0.0005,,,18.8,,0.0,,,,
,72,1.4465,,,,183.0,,,0.0000,,,18.8,,0.0,,,,
,73,1.4475,,,,183.0,,,0.0010,,,18.8,,0.0,,,,
,74,1.4480,,,,183.1,,,0.0005,,,18.8,,0.1,,,,
,75,1.4480,,,,183.1,,,0.0000,,,18.8,,0.0,,,,
,76,1.4480,,,,183.1,,,0.0000,,,18.8,,0.0,,,,
,76,1.4480,,,,183.0,,,0.0000,,,18.8,,-0.1,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/10",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,157.9,,,,,19.2,,,,,
,3,,0.0200,,,,,163.8,,0.0200,,,19.2,,,,5.9,
,6,,0.0400,,,,,169.6,,0.0200,,,19.2,,,,5.8,
,9,,0.0600,,,,,175.1,,0.0200,,,19.2,,,,5.5,
,12,,0.0800,,,,,179.7,,0.0200,,,19.2,,,,4.6,
,15,,0.1000,,,,,184.0,,0.0200,,,19.2,,,,4.3,
,18,,0.1200,,,,,187.5,,0.0200,,,19.2,,,,3.5,
,21,,0.1400,,,,,190.8,,0.0200,,,19.2,,,,3.3,
,24,,0.1600,,,,,193.5,,0.0200,,,19.2,,,,2.7,
,27,,0.1800,,,,,195.9,,0.0200,,,19.2,,,,2.4,
,30,,0.2000,,,,,198.1,,0.0200,,,19.2,,,,2.2,
,33,,0.2200,,,,,200.3,,0.0200,,,19.2,,,,2.2,
,36,,0.2400,,,,,202.3,,0.0200,,,19.2,,,,2.0,
,39,,0.2600,,,,,204.1,,0.0200,,,19.2,,,,1.8,
,42,,0.2800,,,,,206.0,,0.0200,,,19.2,,,,1.9,
,45,,0.3000,,,,,207.6,,0.0200,,,19.2,,,,1.6,
,48,,0.3200,,,,,209.2,,0.0200,,,19.2,,,,1.6,
,51,,0.3400,,,,,210.6,,0.0200,,,19.2,,,,1.4,
,54,,0.3600,,,,,212.0,,0.0200,,,19.2,,,,1.4,
,58,,0.3800,,,,,213.2,,0.0200,,,19.2,,,,1.2,
,60,,0.4000,,,,,214.3,,0.0200,,,19.2,,,,1.1,
,64,,0.4200,,,,,215.5,,0.0200,,,19.2,,,,1.2,
,66,,0.4400,,,,,216.6,,0.0200,,,19.2,,,,1.1,
,70,,0.4600,,,,,217.7,,0.0200,,,19.2,,,,1.1,
,72,,0.4800,,,,,218.8,,0.0200,,,19.2,,,,1.1,
,76,,0.5000,,,,,219.8,,0.0200,,,19.2,,,,1.0,
,78,,0.5200,,,,,220.8,,0.0200,,,19.2,,,,1.0,
