Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.9,,,,,,21.3,,,,,,,
,2,,,,-76.9,,,,,,21.3,,,,0.0,,,
,3,,,,-76.9,,,,,,21.3,,,,0.0,,,
,4,,,,-76.9,,,,,,21.3,,,,0.0,,,
,5,,,,-77.0,,,,,,21.3,,,,-0.1,,,
,6,,,,-77.0,,,,,,21.3,,,,0.0,,,
,7,,,,-77.0,,,,,,21.3,,,,0.0,,,
,8,,,,-77.1,,,,,,21.3,,,,-0.1,,,
,9,,,,-77.1,,,,,,21.3,,,,0.0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-77.2,,,,,,21.3,,,,,,
,1,0.0010,,,,-77.4,,,0.0010,,,21.3,,-0.2,,,,
,2,0.0050,,,,-77.3,,,0.0040,,,21.3,,0.1,,,,
,3,0.0110,,,,-77.1,,,0.0060,,,21.3,,0.2,,,,
,4,0.0195,,,,-76.4,,,0.0085,,,21.3,,0.7,,,,
,5,0.0335,,,,-75.0,,,0.0140,,,21.3,,1.4,,,,
,6,0.0540,,,,-72.8,,,0.0205,,,21.3,,2.2,,,,
,7,0.0780,,,,-68.9,,,0.0240,,,21.3,,3.9,,,,
,8,0.1120,,,,-63.4,,,0.0340,,,21.3,,5.5,,,,
,9,0.1535,,,,-55.7,,,0.0415,,,21.4,,7.7,,,,
,10,0.2040,,,,-45.9,,,0.0505,,,21.3,,9.8,,,,
,11,0.2665,,,,-34.1,,,0.0625,,,21.4,,11.8,,,,
,12,0.3410,,,,-22.5,,,0.0745,,,21.4,,11.6,,,,
,13,0.4175,,,,-9.2,,,0.0765,,,21.4,,13.3,,,,
,14,0.5160,,,,6.4,,,0.0985,,,21.4,,15.6,,,,
,15,0.6275,,,,26.7,,,0.1115,,,21.4,,20.3,,,,
,16,0.7525,,,,52.0,,,0.1250,,,21.4,,25.3,,,,
,17,0.8895,,,,89.8,,,0.1370,,,21.4,,37.8,,,,
,18,0.9165,,,,127.5,,,0.0270,,,21.4,,37.7,,,,
,19,0.9165,,,,139.4,,,0.0000,,,21.4,,11.9,,,,
,20,0.9175,,,,144.3,,,0.0010,,,21.4,,4.9,,,,
,21,0.9205,,,,146.4,,,0.0030,,,21.4,,2.1,,,,
,22,0.9245,,,,148.6,,,0.0040,,,21.4,,2.2,,,,
,23,0.9300,,,,151.2,,,0.0055,,,21.4,,2.6,,,,
,24,0.9375,,,,153.9,,,0.0075,,,21.4,,2.7,,,,
,25,0.9445,,,,157.2,,,0.0070,,,21.4,,3.3,,,,
,26,0.9530,,,,160.6,,,0.0085,,,21.4,,3.4,,,,
,27,0.9590,,,,163.5,,,0.0060,,,21.4,,2.9,,,,
,28,0.9630,,,,165.7,,,0.0040,,,21.4,,2.2,,,,
,29,0.9670,,,,167.2,,,0.0040,,,21.4,,1.5,,,,
,30,0.9715,,,,168.4,,,0.0045,,,21.4,,1.2,,,,
,31,0.9770,,,,170.0,,,0.0055,,,21.4,,1.6,,,,
,32,0.9830,,,,171.6,,,0.0060,,,21.4,,1.6,,,,
,33,0.9890,,,,173.5,,,0.0060,,,21.4,,1.9,,,,
,34,0.9920,,,,174.8,,,0.0030,,,21.4,,1.3,,,,
,35,0.9945,,,,175.7,,,0.0025,,,21.4,,0.9,,,,
,36,0.9970,,,,176.2,,,0.0025,,,21.4,,0.5,,,,
,37,1.0005,,,,176.9,,,0.0035,,,21.4,,0.7,,,,
,38,1.0045,,,,177.7,,,0.0040,,,21.4,,0.8,,,,
,39,1.0085,,,,178.8,,,0.0040,,,21.4,,1.1,,,,
,40,1.0100,,,,179.7,,,0.0015,,,21.4,,0.9,,,,
,41,1.0125,,,,180.2,,,0.0025,,,21.4,,0.5,,,,
,42,1.0145,,,,180.8,,,0.0020,,,21.4,,0.6,,,,
,43,1.0170,,,,181.2,,,0.0025,,,21.4,,0.4,,,,
,44,1.0195,,,,181.8,,,0.0025,,,21.4,,0.6,,,,
,45,1.0200,,,,182.2,,,0.0005,,,21.4,,0.4,,,,
,46,1.0220,,,,182.3,,,0.0020,,,21.4,,0.1,,,,
,47,1.0245,,,,182.8,,,0.0025,,,21.4,,0.5,,,,
,48,1.0245,,,,183.0,,,0.0000,,,21.4,,0.2,,,,
,49,1.0250,,,,183.2,,,0.0005,,,21.4,,0.2,,,,
,50,1.0280,,,,183.3,,,0.0030,,,21.4,,0.1,,,,
,51,1.0300,,,,183.7,,,0.0020,,,21.4,,0.4,,,,
,52,1.0300,,,,184.0,,,0.0000,,,21.4,,0.3,,,,
,,1.0300,,,,184.0,,,,,,,,,,,,EP
,53,1.0305,,,,184.1,,,0.0005,,,21.4,,0.1,,,,
,54,1.0305,,,,184.2,,,0.0000,,,21.4,,0.1,,,,
,55,1.0305,,,,184.1,,,0.0000,,,21.4,,-0.1,,,,
,55,1.0305,,,,184.1,,,0.0000,,,21.4,,0.0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,154.3,,,,,21.8,,,,,
,3,,0.0200,,,,,162.8,,0.0200,,,21.8,,,,8.5,
,6,,0.0400,,,,,170.6,,0.0200,,,21.9,,,,7.8,
,9,,0.0600,,,,,177.0,,0.0200,,,21.9,,,,6.4,
,12,,0.0800,,,,,182.3,,0.0200,,,21.9,,,,5.3,
,15,,0.1000,,,,,186.8,,0.0200,,,21.9,,,,4.5,
,18,,0.1200,,,,,190.4,,0.0200,,,21.9,,,,3.6,
,21,,0.1400,,,,,193.7,,0.0200,,,21.9,,,,3.3,
,24,,0.1600,,,,,196.2,,0.0200,,,21.9,,,,2.5,
,27,,0.1800,,,,,198.8,,0.0200,,,21.9,,,,2.6,
,30,,0.2000,,,,,201.1,,0.0200,,,21.9,,,,2.3,
,33,,0.2200,,,,,203.2,,0.0200,,,21.9,,,,2.1,
,36,,0.2400,,,,,205.1,,0.0200,,,21.9,,,,1.9,
,39,,0.2600,,,,,207.0,,0.0200,,,21.9,,,,1.9,
,42,,0.2800,,,,,208.7,,0.0200,,,21.9,,,,1.7,
,45,,0.3000,,,,,210.4,,0.0200,,,21.9,,,,1.7,
,48,,0.3200,,,,,211.9,,0.0200,,,21.9,,,,1.5,
,51,,0.3400,,,,,213.3,,0.0200,,,21.9,,,,1.4,
,54,,0.3600,,,,,214.6,,0.0200,,,21.9,,,,1.3,
,58,,0.3800,,,,,215.7,,0.0200,,,21.9,,,,1.1,
,60,,0.4000,,,,,216.9,,0.0200,,,21.9,,,,1.2,
,64,,0.4200,,,,,218.0,,0.0200,,,21.9,,,,1.1,
,66,,0.4400,,,,,219.1,,0.0200,,,21.9,,,,1.1,
