Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.4,,,,,,21.1,,,,,,,
,2,,,,-76.5,,,,,,21.1,,,,-0.1,,,
,3,,,,-76.5,,,,,,21.1,,,,0,,,
,4,,,,-76.5,,,,,,21.1,,,,0,,,
,5,,,,-76.5,,,,,,21.1,,,,0,,,
,6,,,,-76.6,,,,,,21.1,,,,-0.1,,,
,7,,,,-76.6,,,,,,21.1,,,,0,,,
,8,,,,-76.7,,,,,,21.1,,,,-0.1,,,
,9,,,,-76.7,,,,,,21.1,,,,0,,,
,10,,,,-76.7,,,,,,21.1,,,,0,,,
,11,,,,-76.8,,,,,,21.1,,,,-0.1,,,
,12,,,,-76.8,,,,,,21.1,,,,0,,,
,13,,,,-76.8,,,,,,21.1,,,,0,,,
,14,,,,-76.8,,,,,,21.1,,,,0,,,
,15,,,,-76.9,,,,,,21.1,,,,-0.1,,,
,16,,,,-76.9,,,,,,21.1,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-77.1,,,,,,21.1,,,,,,
,1,0.001,,,,-77.2,,,0.001,,,21.1,,-0.1,,,,
,2,0.005,,,,-77.2,,,0.004,,,21.1,,0,,,,
,3,0.011,,,,-77,,,0.006,,,21.1,,0.2,,,,
,4,0.02,,,,-76.4,,,0.009,,,21.1,,0.6,,,,
,5,0.034,,,,-75,,,0.014,,,21.1,,1.4,,,,
,6,0.0555,,,,-72.6,,,0.0215,,,21.1,,2.4,,,,
,7,0.08,,,,-69,,,0.0245,,,21.1,,3.6,,,,
,8,0.1145,,,,-63.3,,,0.0345,,,21.1,,5.7,,,,
,9,0.157,,,,-54.6,,,0.0425,,,21.1,,8.7,,,,
,10,0.2075,,,,-43.9,,,0.0505,,,21.1,,10.7,,,,
,11,0.27,,,,-31.3,,,0.0625,,,21.1,,12.6,,,,
,12,0.344,,,,-18.9,,,0.074,,,21.1,,12.4,,,,
,13,0.4205,,,,-6.3,,,0.0765,,,21.1,,12.6,,,,
,14,0.5195,,,,10.7,,,0.099,,,21.1,,17,,,,
,15,0.631,,,,32.8,,,0.1115,,,21.1,,22.1,,,,
,16,0.755,,,,61.8,,,0.124,,,21.1,,29,,,,
,17,0.874,,,,99.7,,,0.119,,,21.1,,37.9,,,,
,18,0.876,,,,117,,,0.002,,,21.1,,17.3,,,,
,19,0.8775,,,,116.9,,,0.0015,,,21.1,,-0.1,,,,
,20,0.8815,,,,117.3,,,0.004,,,21.1,,0.4,,,,
,21,0.887,,,,119.6,,,0.0055,,,21.1,,2.3,,,,
,22,0.8955,,,,123.3,,,0.0085,,,21.1,,3.7,,,,
,23,0.906,,,,128.3,,,0.0105,,,21.1,,5,,,,
,24,0.918,,,,134.3,,,0.012,,,21.1,,6,,,,
,25,0.9275,,,,140,,,0.0095,,,21.1,,5.7,,,,
,26,0.9365,,,,144.8,,,0.009,,,21.1,,4.8,,,,
,27,0.945,,,,149,,,0.0085,,,21.1,,4.2,,,,
,28,0.9535,,,,153.6,,,0.0085,,,21.1,,4.6,,,,
,29,0.9595,,,,157,,,0.006,,,21.1,,3.4,,,,
,30,0.9645,,,,159.6,,,0.005,,,21.1,,2.6,,,,
,31,0.969,,,,161.5,,,0.0045,,,21.1,,1.9,,,,
,32,0.975,,,,163.4,,,0.006,,,21.1,,1.9,,,,
,33,0.9825,,,,165.6,,,0.0075,,,21.1,,2.2,,,,
,34,0.99,,,,168.1,,,0.0075,,,21.1,,2.5,,,,
,35,0.995,,,,169.9,,,0.005,,,21.1,,1.8,,,,
,36,0.9985,,,,171.5,,,0.0035,,,21.1,,1.6,,,,
,37,1.0015,,,,172.8,,,0.003,,,21.1,,1.3,,,,
,38,1.005,,,,173.7,,,0.0035,,,21.1,,0.9,,,,
,39,1.009,,,,174.6,,,0.004,,,21.1,,0.9,,,,
,40,1.0135,,,,175.7,,,0.0045,,,21.1,,1.1,,,,
,41,1.0185,,,,177,,,0.005,,,21.1,,1.3,,,,
,42,1.021,,,,177.8,,,0.0025,,,21.1,,0.8,,,,
,43,1.023,,,,178.5,,,0.002,,,21.1,,0.7,,,,
,44,1.0255,,,,179.1,,,0.0025,,,21.1,,0.6,,,,
,45,1.0285,,,,179.8,,,0.003,,,21.1,,0.7,,,,
,46,1.0305,,,,180.3,,,0.002,,,21.1,,0.5,,,,
,47,1.033,,,,180.8,,,0.0025,,,21.1,,0.5,,,,
,48,1.0355,,,,181.3,,,0.0025,,,21.1,,0.5,,,,
,49,1.0375,,,,181.8,,,0.002,,,21.1,,0.5,,,,
,50,1.039,,,,182.2,,,0.0015,,,21.1,,0.4,,,,
,51,1.0405,,,,182.4,,,0.0015,,,21.1,,0.2,,,,
,52,1.0425,,,,182.8,,,0.002,,,21.1,,0.4,,,,
,53,1.043,,,,183.1,,,0.0005,,,21.1,,0.3,,,,
,54,1.044,,,,183.2,,,0.001,,,21.1,,0.1,,,,
,55,1.0465,,,,183.4,,,0.0025,,,21.1,,0.2,,,,
,56,1.047,,,,183.7,,,0.0005,,,21.2,,0.3,,,,
,57,1.0475,,,,183.7,,,0.0005,,,21.2,,0,,,,
,58,1.051,,,,183.9,,,0.0035,,,21.1,,0.2,,,,
,,1.0513,,,,184,,,,,,,,,,,,EP
,59,1.0525,,,,184.4,,,0.0015,,,21.1,,0.5,,,,
,60,1.0525,,,,184.7,,,0,,,21.2,,0.3,,,,
,61,1.0525,,,,184.7,,,0,,,21.1,,0,,,,
,61,1.0525,,,,184.7,,,0,,,21.1,,0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,147.6,,,,,,21.5,,,,,,
,3,0.02,,,,156.5,,0.02,,,,21.5,,,,8.9,,
,6,0.04,,,,165.8,,0.02,,,,21.5,,,,9.3,,
,9,0.06,,,,173.2,,0.02,,,,21.5,,,,7.4,,
,12,0.08,,,,179.1,,0.02,,,,21.5,,,,5.9,,
,15,0.1,,,,183.8,,0.02,,,,21.5,,,,4.7,,
,18,0.12,,,,187.9,,0.02,,,,21.5,,,,4.1,,
,21,0.14,,,,191.3,,0.02,,,,21.5,,,,3.4,,
,24,0.16,,,,194.2,,0.02,,,,21.5,,,,2.9,,
,27,0.18,,,,196.6,,0.02,,,,21.5,,,,2.4,,
,30,0.2,,,,199.2,,0.02,,,,21.5,,,,2.6,,
,33,0.22,,,,201.4,,0.02,,,,21.5,,,,2.2,,
,36,0.24,,,,203.4,,0.02,,,,21.5,,,,2,,
,39,0.26,,,,205.3,,0.02,,,,21.5,,,,1.9,,
,42,0.28,,,,207.1,,0.02,,,,21.5,,,,1.8,,
