Titration Samples Only,,,,,,,,,
Method,,,,,,,,,
Method ID,,Alk EQPoint 12MAY2021,,,"Release state
",,Released,,
Name,,Alk EQPoint 12MAY2021,,,Modified by,,SystemInternal,,
Version,,42,,,,,,,
Modified on,,5/12/2021 12:27:03 PM,,,,,,,
Comment,,,,,,,,,
Summary,,,,,,,,,
Samples,,,,,,,,,
,Sample ID,,,Name,,Result,,,State
1,SAC-1,,,Sample size,,51.534 g,,,
,,,,pH Start R1,,-72.800 pH,,,OK
,,,,Total HCl R2,,1.021 mL,,,OK
2,BaySTD2-1,,,Sample size,,50.166 g,,,
,,,,pH Start R1,,-61.800 pH,,,OK
,,,,Total HCl R2,,1.188 mL,,,OK
3,BaySTD2-2,,,Sample size,,50.598 g,,,
,,,,pH Start R1,,-62.300 pH,,,OK
,,,,Total HCl R2,,1.183 mL,,,OK
4,SAC-2,,,Sample size,,51.373 g,,,
,,,,pH Start R1,,-74.300 pH,,,OK
,,,,Total HCl R2,,0.958 mL,,,OK
5,T16-719-1,,,Sample size,,50.331 g,,,
,,,,pH Start R1,,-57.800 pH,,,OK
,,,,Total HCl R2,,1.205 mL,,,OK
6,T16-719-2,,,Sample size,,49.996 g,,,
,,,,pH Start R1,,-58.100 pH,,,OK
,,,,Total HCl R2,,1.190 mL,,,OK
7,T12-708-1,,,Sample size,,50.596 g,,,
,,,,pH Start R1,,-79.300 pH,,,OK
,,,,Total HCl R2,,1.192 mL,,,OK
8,T12-708-2,,,Sample size,,50.612 g,,,
,,,,pH Start R1,,-79.300 pH,,,OK
,,,,Total HCl R2,,1.192 mL,,,OK
9,SAC-3,,,Sample size,,51.261 g,,,
,,,,pH Start R1,,-75.800 pH,,,OK
,,,,Total HCl R2,,0.862 mL,,,OK
10,T6-708-1,,,Sample size,,50.878 g,,,
,,,,pH Start R1,,-71.800 pH,,,OK
,,,,Total HCl R2,,1.196 mL,,,OK
11,T6-708-2,,,Sample size,,50.678 g,,,
,,,,pH Start R1,,-71.700 pH,,,OK
,,,,Total HCl R2,,1.192 mL,,,OK
12,T20-708-1,,,Sample size,,50.616 g,,,
,,,,pH Start R1,,-63.400 pH,,,OK
,,,,Total HCl R2,,1.188 mL,,,OK
13,T20-708-2,,,Sample size,,50.830 g,,,
,,,,pH Start R1,,-63.600 pH,,,OK
,,,,Total HCl R2,,1.194 mL,,,OK
5/12/2021 3:37:30 PM,,,SystemInternal,,,,,1/1,
