sample id,sample mass,salinity,in situ temperature,ETris,pHTris,EHigh,ELow
SAC-1,51.415,30,25,-4.7,7,194.975,223.5
BaySTD2-1,50.832,30.34,14.11,-4.7,7,194.975,223.5
BaySTD2-2,50.576,30.34,14.11,-4.7,7,194.975,223.5
SAC-2,51.389,27.5,25,-4.7,7,194.975,223.5
T8-714-1,50.282,27.06,15.22,-4.7,7,194.975,223.5
T8-714-2,49.953,27.06,15.25,-4.7,7,194.975,223.5
T14-714-1,50.724,28.27,15.71,-4.7,7,194.975,223.5
T14-714-2,50.396,28.26,15.72,-4.7,7,194.975,223.5
T38-714-1,50.872,27.06,15.26,-4.7,7,194.975,223.5
T38-714-2,50.806,27.06,15.28,-4.7,7,194.975,223.5
SAC-3,51.263,25,25,-4.7,7,194.975,223.5
T21-708-1,50.507,25.12,18.36,-4.7,7,194.975,223.5
T21-708-2,50.762,25.16,18.31,-4.7,7,194.975,223.5
