Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
CTETTELBACH, Blank, no dye,0, Blank,0.0001,0,0,0,NA,NA
CTETTELBACH, BAYSTD1, no dye,0, Measurement 1,0.0605,0.0477,0.1211,0,27.53,11.92
CTETTELBACH, BAYSTD1, m-cresol added,0, Measurement 2,0.6265,0.689,0.1178,80,27.53,11.92
CTETTELBACH, H2-702-1, no dye,0, Measurement 1,0.0503,0.0407,0.1152,0,26.41,18.31
CTETTELBACH, H2-702-1, m-cresol added,0, Measurement 2,0.7439,0.4179,0.1132,80,26.41,18.31
CTETTELBACH, H2-702-2, no dye,0, Measurement 1,0.0471,0.039,0.1141,0,26.41,18.31
CTETTELBACH, H2-702-2, m-cresol added,0, Measurement 2,0.7607,0.4227,0.1127,80,26.41,18.31
CTETTELBACH, H2-702-3, no dye,0, Measurement 1,0.0482,0.0398,0.1147,0,26.42,18.31
CTETTELBACH, H2-702-3, m-cresol added,0, Measurement 2,0.7851,0.3723,0.1132,80,26.42,18.31
CTETTELBACH, H3-702-1, no dye,0, Measurement 1,0.0476,0.0395,0.1147,0,26.86,17.44
CTETTELBACH, H3-702-1, m-cresol added,0, Measurement 2,0.6752,0.6429,0.1123,80,26.86,17.44
CTETTELBACH, H3-702-2, no dye,0, Measurement 1,0.0473,0.0389,0.1142,0,26.87,17.49
CTETTELBACH, H3-702-2, m-cresol added,0, Measurement 2,0.6768,0.6472,0.1121,80,26.87,17.49
CTETTELBACH, H3-702-3, no dye,0, Measurement 1,0.048,0.0397,0.1147,0,26.87,17.5
CTETTELBACH, H3-702-3, m-cresol added,0, Measurement 2,0.6775,0.6481,0.1129,80,26.87,17.5
CTETTELBACH, H2-719-1, no dye,0, Measurement 1,0.0505,0.0408,0.1154,0,27.33,15.94
CTETTELBACH, H2-719-1, m-cresol added,0, Measurement 2,0.6906,0.602,0.113,80,27.33,15.94
CTETTELBACH, H2-719-2, no dye,0, Measurement 1,0.0478,0.0389,0.1138,0,27.32,15.94
CTETTELBACH, H2-719-2, m-cresol added,0, Measurement 2,0.7023,0.5713,0.1123,80,27.32,15.94
