"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SAC-1",2910.64420850565,2928.07851576342,2910.64420850565
"BAYSTD1",2184.38709131153,2198.06624883035,2217.72322691925
"H2-702-1",2280.50817321438,2293.1861431077,2296.9311178731
"H2-702-2",2251.65460991209,2264.91690929678,2269.27830404704
"H2-702-3",2332.18478361088,2343.89138725597,2349.88381521312
"H3-702-1",2299.0641468152,2308.46269712435,2314.92021964742
"H3-702-2",2306.15212693567,2317.25480700201,2325.61400586868
"H3-702-3",2284.04521702488,2296.75046681446,2310.08240135907
"H2-719-1",2289.47979501486,2300.67647329394,2313.35517254499
"H2-719-2",2295.85714516345,2303.97612802729,2318.64133753666
