Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-76.9,,,,,,21.3,,,,,,,
,2,,,,-76.9,,,,,,21.3,,,,0,,,
,3,,,,-76.9,,,,,,21.3,,,,0,,,
,4,,,,-76.9,,,,,,21.3,,,,0,,,
,5,,,,-77,,,,,,21.3,,,,-0.1,,,
,6,,,,-77,,,,,,21.3,,,,0,,,
,7,,,,-77,,,,,,21.3,,,,0,,,
,8,,,,-77.1,,,,,,21.3,,,,-0.1,,,
,9,,,,-77.1,,,,,,21.3,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-77.2,,,,,,21.3,,,,,,
,1,0.001,,,,-77.4,,,0.001,,,21.3,,-0.2,,,,
,2,0.005,,,,-77.3,,,0.004,,,21.3,,0.1,,,,
,3,0.011,,,,-77.1,,,0.006,,,21.3,,0.2,,,,
,4,0.0195,,,,-76.4,,,0.0085,,,21.3,,0.7,,,,
,5,0.0335,,,,-75,,,0.014,,,21.3,,1.4,,,,
,6,0.054,,,,-72.8,,,0.0205,,,21.3,,2.2,,,,
,7,0.078,,,,-68.9,,,0.024,,,21.3,,3.9,,,,
,8,0.112,,,,-63.4,,,0.034,,,21.3,,5.5,,,,
,9,0.1535,,,,-55.7,,,0.0415,,,21.4,,7.7,,,,
,10,0.204,,,,-45.9,,,0.0505,,,21.3,,9.8,,,,
,11,0.2665,,,,-34.1,,,0.0625,,,21.4,,11.8,,,,
,12,0.341,,,,-22.5,,,0.0745,,,21.4,,11.6,,,,
,13,0.4175,,,,-9.2,,,0.0765,,,21.4,,13.3,,,,
,14,0.516,,,,6.4,,,0.0985,,,21.4,,15.6,,,,
,15,0.6275,,,,26.7,,,0.1115,,,21.4,,20.3,,,,
,16,0.7525,,,,52,,,0.125,,,21.4,,25.3,,,,
,17,0.8895,,,,89.8,,,0.137,,,21.4,,37.8,,,,
,18,0.9165,,,,127.5,,,0.027,,,21.4,,37.7,,,,
,19,0.9165,,,,139.4,,,0,,,21.4,,11.9,,,,
,20,0.9175,,,,144.3,,,0.001,,,21.4,,4.9,,,,
,21,0.9205,,,,146.4,,,0.003,,,21.4,,2.1,,,,
,22,0.9245,,,,148.6,,,0.004,,,21.4,,2.2,,,,
,23,0.93,,,,151.2,,,0.0055,,,21.4,,2.6,,,,
,24,0.9375,,,,153.9,,,0.0075,,,21.4,,2.7,,,,
,25,0.9445,,,,157.2,,,0.007,,,21.4,,3.3,,,,
,26,0.953,,,,160.6,,,0.0085,,,21.4,,3.4,,,,
,27,0.959,,,,163.5,,,0.006,,,21.4,,2.9,,,,
,28,0.963,,,,165.7,,,0.004,,,21.4,,2.2,,,,
,29,0.967,,,,167.2,,,0.004,,,21.4,,1.5,,,,
,30,0.9715,,,,168.4,,,0.0045,,,21.4,,1.2,,,,
,31,0.977,,,,170,,,0.0055,,,21.4,,1.6,,,,
,32,0.983,,,,171.6,,,0.006,,,21.4,,1.6,,,,
,33,0.989,,,,173.5,,,0.006,,,21.4,,1.9,,,,
,34,0.992,,,,174.8,,,0.003,,,21.4,,1.3,,,,
,35,0.9945,,,,175.7,,,0.0025,,,21.4,,0.9,,,,
,36,0.997,,,,176.2,,,0.0025,,,21.4,,0.5,,,,
,37,1.0005,,,,176.9,,,0.0035,,,21.4,,0.7,,,,
,38,1.0045,,,,177.7,,,0.004,,,21.4,,0.8,,,,
,39,1.0085,,,,178.8,,,0.004,,,21.4,,1.1,,,,
,40,1.01,,,,179.7,,,0.0015,,,21.4,,0.9,,,,
,41,1.0125,,,,180.2,,,0.0025,,,21.4,,0.5,,,,
,42,1.0145,,,,180.8,,,0.002,,,21.4,,0.6,,,,
,43,1.017,,,,181.2,,,0.0025,,,21.4,,0.4,,,,
,44,1.0195,,,,181.8,,,0.0025,,,21.4,,0.6,,,,
,45,1.02,,,,182.2,,,0.0005,,,21.4,,0.4,,,,
,46,1.022,,,,182.3,,,0.002,,,21.4,,0.1,,,,
,47,1.0245,,,,182.8,,,0.0025,,,21.4,,0.5,,,,
,48,1.0245,,,,183,,,0,,,21.4,,0.2,,,,
,49,1.025,,,,183.2,,,0.0005,,,21.4,,0.2,,,,
,50,1.028,,,,183.3,,,0.003,,,21.4,,0.1,,,,
,51,1.03,,,,183.7,,,0.002,,,21.4,,0.4,,,,
,52,1.03,,,,184,,,0,,,21.4,,0.3,,,,
,,1.03,,,,184,,,,,,,,,,,,EP
,53,1.0305,,,,184.1,,,0.0005,,,21.4,,0.1,,,,
,54,1.0305,,,,184.2,,,0,,,21.4,,0.1,,,,
,55,1.0305,,,,184.1,,,0,,,21.4,,-0.1,,,,
,55,1.0305,,,,184.1,,,0,,,21.4,,0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/12",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,154.3,,,,,,21.8,,,,,,
,3,0.02,,,,162.8,,0.02,,,,21.8,,,,8.5,,
,6,0.04,,,,170.6,,0.02,,,,21.9,,,,7.8,,
,9,0.06,,,,177,,0.02,,,,21.9,,,,6.4,,
,12,0.08,,,,182.3,,0.02,,,,21.9,,,,5.3,,
,15,0.1,,,,186.8,,0.02,,,,21.9,,,,4.5,,
,18,0.12,,,,190.4,,0.02,,,,21.9,,,,3.6,,
,21,0.14,,,,193.7,,0.02,,,,21.9,,,,3.3,,
,24,0.16,,,,196.2,,0.02,,,,21.9,,,,2.5,,
,27,0.18,,,,198.8,,0.02,,,,21.9,,,,2.6,,
,30,0.2,,,,201.1,,0.02,,,,21.9,,,,2.3,,
,33,0.22,,,,203.2,,0.02,,,,21.9,,,,2.1,,
,36,0.24,,,,205.1,,0.02,,,,21.9,,,,1.9,,
,39,0.26,,,,207,,0.02,,,,21.9,,,,1.9,,
,42,0.28,,,,208.7,,0.02,,,,21.9,,,,1.7,,
,45,0.3,,,,210.4,,0.02,,,,21.9,,,,1.7,,
,48,0.32,,,,211.9,,0.02,,,,21.9,,,,1.5,,
,51,0.34,,,,213.3,,0.02,,,,21.9,,,,1.4,,
,54,0.36,,,,214.6,,0.02,,,,21.9,,,,1.3,,
,58,0.38,,,,215.7,,0.02,,,,21.9,,,,1.1,,
,60,0.4,,,,216.9,,0.02,,,,21.9,,,,1.2,,
,64,0.42,,,,218,,0.02,,,,21.9,,,,1.1,,
,66,0.44,,,,219.1,,0.02,,,,21.9,,,,1.1,,
,70,0.46,,,,220.2,,0.02,,,,21.9,,,,1.1,,
,72,0.48,,,,221.2,,0.02,,,,21.9,,,,1,,
,76,0.5,,,,222.2,,0.02,,,,21.9,,,,1,,
,78,0.52,,,,223.2,,0.02,,,,21.9,,,,1,,
