"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.283,197.4,21.9,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.303,200,21.9,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.323,202.4,21.9,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.343,204.6,21.9,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.363,206.5,21.9,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.383,208.2,21.9,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.403,209.9,21.9,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.423,211.5,21.9,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.443,213.1,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.463,214.5,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.483,215.9,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.503,217.2,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.523,218.5,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.543,219.7,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.563,220.7,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.583,221.7,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.603,222.7,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.623,223.7,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
1.643,224.7,22,"BAYSTD2-1",50.853,30.34,14.11,-5,7,196.39,225.16
