"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.3425,197.5,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.3625,200.1,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.3825,202.6,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.4025,204.7,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.4225,206.6,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.4425,208.4,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.4625,210,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.4825,211.7,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.5025,213.2,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.5225,214.6,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.5425,216,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.5625,217.4,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.5825,218.6,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.6025,219.8,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.6225,220.8,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.6425,221.8,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.6625,222.8,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.6825,223.9,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
1.7025,224.8,21.6,"T6-702-1",50.513,26.89,16.77,-5,7,196.39,225.16
