"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.033,196.2,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.053,198.5,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.073,200.6,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.093,202.7,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.113,204.7,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.133,206.5,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.153,208.2,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.173,209.8,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.193,211.3,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.213,212.7,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.233,213.9,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.253,215,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.273,216.2,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.293,217.3,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.313,218.4,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.333,219.4,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.353,220.4,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.373,221.3,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.393,222.3,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
1.413,223.2,18.9,"SAC-1",51.415,30,25,-4.7,7,194.975,223.5
