Titration Samples Only,,,,,,,,,
Method,,,,,,,,,
Method ID,,Alk EQPoint 19MAY2021,,,"Release state
",,Released,,
Name,,Alk EQPoint 19MAY2021,,,Modified by,,SystemInternal,,
Version,,44,,,,,,,
Modified on,,5/19/2021 12:11:20 PM,,,,,,,
Comment,,,,,,,,,
Summary,,,,,,,,,
Samples,,,,,,,,,
,Sample ID,,,Name,,Result,,,State
1,SAC-1,,,Sample size,,51.415 g,,,
,,,,pH Start R1,,-75.800 pH,,,OK
,,,,Total HCl R2,,0.873 mL,,,OK
2,BaySTD2-1,,,Sample size,,50.832 g,,,
,,,,pH Start R1,,-62.400 pH,,,OK
,,,,Total HCl R2,,1.202 mL,,,OK
3,BaySTD2-2,,,Sample size,,50.576 g,,,
,,,,pH Start R1,,-62.900 pH,,,OK
,,,,Total HCl R2,,1.183 mL,,,OK
4,SAC-2,,,Sample size,,51.389 g,,,
,,,,pH Start R1,,-81.600 pH,,,OK
,,,,Total HCl R2,,0.834 mL,,,OK
5,T8-714-1,,,Sample size,,50.282 g,,,
,,,,pH Start R1,,-66.000 pH,,,OK
,,,,Total HCl R2,,1.246 mL,,,OK
6,T8-714-2,,,Sample size,,49.953 g,,,
,,,,pH Start R1,,-66.200 pH,,,OK
,,,,Total HCl R2,,1.200 mL,,,OK
7,T14-714-1,,,Sample size,,50.724 g,,,
,,,,pH Start R1,,-59.800 pH,,,OK
,,,,Total HCl R2,,1.213 mL,,,OK
8,T14-714-2,,,Sample size,,50.396 g,,,
,,,,pH Start R1,,-59.600 pH,,,OK
,,,,Total HCl R2,,1.202 mL,,,OK
9,T38-714-1,,,Sample size,,50.872 g,,,
,,,,pH Start R1,,-69.000 pH,,,OK
,,,,Total HCl R2,,1.208 mL,,,OK
10,T38-714-2,,,Sample size,,50.806 g,,,
,,,,pH Start R1,,-68.900 pH,,,OK
,,,,Total HCl R2,,1.204 mL,,,OK
11,SAC-3,,,Sample size,,51.263 g,,,
,,,,pH Start R1,,-78.600 pH,,,OK
,,,,Total HCl R2,,0.778 mL,,,OK
12,T21-708-1,,,Sample size,,50.507 g,,,
,,,,pH Start R1,,-59.200 pH,,,OK
,,,,Total HCl R2,,1.178 mL,,,OK
13,T21-708-2,,,Sample size,,50.762 g,,,
,,,,pH Start R1,,-58.800 pH,,,OK
,,,,Total HCl R2,,1.183 mL,,,OK
5/19/2021 3:23:26 PM,,,SystemInternal,,,,,1/1,
