sample id,sample mass,salinity,in situ temperature,ETris,pHTris,EHigh,ELow
SAC-1,51.744,30,25,-4.4,7,195.66,224.24
BaySTD2-1,50.823,30.34,14.11,-4.4,7,195.66,224.24
BaySTD2-2,50.555,30.34,14.11,-4.4,7,195.66,224.24
SAC-2,51.330,27.5,25,-4.4,7,195.66,224.24
T16-719-1,50.873,27.34,16,-4.4,7,195.66,224.24
T16-719-2,50.790,27.33,16,-4.4,7,195.66,224.24
T16-719-3,50.117,27.34,16,-4.4,7,195.66,224.24
T8-714-1,50.929,27.06,15.22,-4.4,7,195.66,224.24
T8-714-2,50.407,27.06,15.25,-4.4,7,195.66,224.24
T8-714-3,49.997,27.06,15.24,-4.4,7,195.66,224.24
T21-714-1,50.730,27.05,15.25,-4.4,7,195.66,224.24
T21-714-2,50.150,27.04,15.26,-4.4,7,195.66,224.24
T21-714-3,50.459,27.04,15.26,-4.4,7,195.66,224.24
T6-702-1,50.752,26.89,16.77,-4.4,7,195.66,224.24
T6-702-2,50.661,26.87,16.81,-4.4,7,195.66,224.24
T6-702-3,50.169,26.87,16.81,-4.4,7,195.66,224.24
H2-702-1,50.321,26.41,18.31,-4.4,7,195.66,224.24
H2-702-2,50.461,26.41,18.31,-4.4,7,195.66,224.24
H2-702-3,51.182,26.42,18.31,-4.4,7,195.66,224.24
