"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2805,197.4,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.3005,200.1,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.3205,202.4,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.3405,204.6,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.3605,206.5,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.3805,208.3,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.4005,210.1,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.4205,211.7,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.4405,213.2,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.4605,214.7,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.4805,216.1,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.5005,217.4,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.5205,218.6,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.5405,219.8,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.5605,220.9,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.5805,221.9,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.6005,223,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
1.6205,223.9,21.9,"BaySTD2-1",50.823,30.34,14.11,-4.4,7,195.66,224.24
