"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.305,197.9,21.2,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.325,200.5,21.2,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.345,202.8,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.365,205,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.385,206.9,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.405,208.6,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.425,210.3,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.445,212,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.465,213.4,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.485,214.9,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.505,216.2,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.525,217.6,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.545,218.8,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.565,219.9,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.585,221.1,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.605,222.1,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.625,223.1,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
1.645,224.1,21.3,"H2-702-2",50.461,26.41,18.31,-4.4,7,195.66,224.24
