Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-79.0,,,,,,20.9,,,,,,,
,2,,,,-79.0,,,,,,20.9,,,,0.0,,,
,3,,,,-79.0,,,,,,20.9,,,,0.0,,,
,4,,,,-79.1,,,,,,20.9,,,,-0.1,,,
,5,,,,-79.1,,,,,,20.9,,,,0.0,,,
,6,,,,-79.2,,,,,,20.9,,,,-0.1,,,
,7,,,,-79.2,,,,,,20.9,,,,0.0,,,
,8,,,,-79.2,,,,,,20.9,,,,0.0,,,
,9,,,,-79.3,,,,,,20.9,,,,-0.1,,,
,10,,,,-79.3,,,,,,20.9,,,,0.0,,,
,11,,,,-79.3,,,,,,20.9,,,,0.0,,,
,12,,,,-79.4,,,,,,20.9,,,,-0.1,,,
,13,,,,-79.4,,,,,,20.9,,,,0.0,,,
,14,,,,-79.4,,,,,,20.9,,,,0.0,,,
,15,,,,-79.5,,,,,,20.9,,,,-0.1,,,
,16,,,,-79.5,,,,,,20.9,,,,0.0,,,
,17,,,,-79.5,,,,,,20.9,,,,0.0,,,
,18,,,,-79.6,,,,,,20.9,,,,-0.1,,,
,19,,,,-79.6,,,,,,20.9,,,,0.0,,,
,20,,,,-79.6,,,,,,20.9,,,,0.0,,,
,21,,,,-79.7,,,,,,20.9,,,,-0.1,,,
,22,,,,-79.7,,,,,,20.9,,,,0.0,,,
,23,,,,-79.7,,,,,,20.9,,,,0.0,,,
,24,,,,-79.7,,,,,,20.9,,,,0.0,,,
,25,,,,-79.8,,,,,,20.9,,,,-0.1,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0.0000,,,,-80.0,,,,,,20.9,,,,,,
,1,0.0010,,,,-80.2,,,0.0010,,,20.9,,-0.2,,,,
,2,0.0050,,,,-80.2,,,0.0040,,,20.9,,0.0,,,,
,3,0.0110,,,,-80.0,,,0.0060,,,20.9,,0.2,,,,
,4,0.0200,,,,-79.4,,,0.0090,,,20.9,,0.6,,,,
,5,0.0345,,,,-77.7,,,0.0145,,,20.9,,1.7,,,,
,6,0.0555,,,,-75.1,,,0.0210,,,20.9,,2.6,,,,
,7,0.0805,,,,-70.3,,,0.0250,,,20.9,,4.8,,,,
,8,0.1145,,,,-63.3,,,0.0340,,,20.9,,7.0,,,,
,9,0.1570,,,,-52.6,,,0.0425,,,20.9,,10.7,,,,
,10,0.2100,,,,-39.2,,,0.0530,,,20.9,,13.4,,,,
,11,0.2725,,,,-20.9,,,0.0625,,,20.9,,18.3,,,,
,12,0.3405,,,,-2.3,,,0.0680,,,20.9,,18.6,,,,
,13,0.4265,,,,27.2,,,0.0860,,,20.9,,29.5,,,,
,14,0.5260,,,,65.6,,,0.0995,,,20.9,,38.4,,,,
,15,0.6120,,,,117.0,,,0.0860,,,20.9,,51.4,,,,
,16,0.6120,,,,148.4,,,0.0000,,,20.9,,31.4,,,,
,17,0.6120,,,,160.5,,,0.0000,,,20.9,,12.1,,,,
,18,0.6120,,,,163.7,,,0.0000,,,20.9,,3.2,,,,
,19,0.6145,,,,164.8,,,0.0025,,,20.9,,1.1,,,,
,20,0.6180,,,,165.6,,,0.0035,,,20.9,,0.8,,,,
,21,0.6230,,,,166.9,,,0.0050,,,20.9,,1.3,,,,
,22,0.6300,,,,169.1,,,0.0070,,,20.9,,2.2,,,,
,23,0.6355,,,,171.5,,,0.0055,,,20.9,,2.4,,,,
,24,0.6380,,,,172.8,,,0.0025,,,20.9,,1.3,,,,
,25,0.6405,,,,173.7,,,0.0025,,,20.9,,0.9,,,,
,26,0.6440,,,,174.6,,,0.0035,,,20.9,,0.9,,,,
,27,0.6480,,,,175.4,,,0.0040,,,21.0,,0.8,,,,
,28,0.6525,,,,176.5,,,0.0045,,,21.0,,1.1,,,,
,29,0.6560,,,,177.7,,,0.0035,,,20.9,,1.2,,,,
,30,0.6580,,,,178.5,,,0.0020,,,21.0,,0.8,,,,
,31,0.6605,,,,179.0,,,0.0025,,,21.0,,0.5,,,,
,32,0.6630,,,,179.7,,,0.0025,,,21.0,,0.7,,,,
,33,0.6655,,,,180.2,,,0.0025,,,21.0,,0.5,,,,
,34,0.6680,,,,180.8,,,0.0025,,,21.0,,0.6,,,,
,35,0.6705,,,,181.2,,,0.0025,,,21.0,,0.4,,,,
,36,0.6725,,,,181.7,,,0.0020,,,21.0,,0.5,,,,
,37,0.6740,,,,182.2,,,0.0015,,,21.0,,0.5,,,,
,38,0.6750,,,,182.5,,,0.0010,,,21.0,,0.3,,,,
,39,0.6770,,,,182.7,,,0.0020,,,21.0,,0.2,,,,
,40,0.6795,,,,183.1,,,0.0025,,,21.0,,0.4,,,,
,41,0.6795,,,,183.5,,,0.0000,,,21.0,,0.4,,,,
,42,0.6810,,,,183.5,,,0.0015,,,21.0,,0.0,,,,
,43,0.6835,,,,183.8,,,0.0025,,,21.0,,0.3,,,,
,44,0.6840,,,,184.0,,,0.0005,,,21.0,,0.2,,,,
,45,0.6840,,,,184.3,,,0.0000,,,21.0,,0.3,,,,
,46,0.6840,,,,184.3,,,0.0000,,,21.0,,0.0,,,,
,47,0.6840,,,,184.3,,,0.0000,,,21.0,,0.0,,,,
,,0.6840,,,,184.0,,,,,,,,,,,,EP
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,,,,
,Time,,V,,,,,Meas. value,,dV,,,Temp.,,,,dE,
,[s],,[mL],,,,,[mV],,[mL],,,[°C],,,,[mV],
,0,,0.0000,,,,,161.3,,,,,21.3,,,,,
,3,,0.0200,,,,,167.9,,0.0200,,,21.3,,,,6.6,
,6,,0.0400,,,,,174.8,,0.0200,,,21.3,,,,6.9,
,9,,0.0600,,,,,180.6,,0.0200,,,21.3,,,,5.8,
,12,,0.0800,,,,,185.2,,0.0200,,,21.3,,,,4.6,
,15,,0.1000,,,,,189.3,,0.0200,,,21.3,,,,4.1,
,18,,0.1200,,,,,192.6,,0.0200,,,21.3,,,,3.3,
,21,,0.1400,,,,,195.7,,0.0200,,,21.3,,,,3.1,
,24,,0.1600,,,,,198.2,,0.0200,,,21.3,,,,2.5,
,27,,0.1800,,,,,200.6,,0.0200,,,21.3,,,,2.4,
,30,,0.2000,,,,,202.7,,0.0200,,,21.3,,,,2.1,
,33,,0.2200,,,,,204.8,,0.0200,,,21.3,,,,2.1,
,36,,0.2400,,,,,206.6,,0.0200,,,21.3,,,,1.8,
,39,,0.2600,,,,,208.4,,0.0200,,,21.3,,,,1.8,
,42,,0.2800,,,,,210.0,,0.0200,,,21.3,,,,1.6,
,45,,0.3000,,,,,211.6,,0.0200,,,21.3,,,,1.6,
,48,,0.3200,,,,,213.0,,0.0200,,,21.3,,,,1.4,
,51,,0.3400,,,,,214.4,,0.0200,,,21.3,,,,1.4,
,54,,0.3600,,,,,215.6,,0.0200,,,21.4,,,,1.2,
