Titration Samples Only,,,,,,,,,
Method,,,,,,,,,
Method ID,,Alk EQPoint 09JUN2021,,,"Release state
",,Released,,
Name,,Alk EQPoint 09JUN2021,,,Modified by,,SystemInternal,,
Version,,45,,,,,,,
Modified on,,6/9/2021 12:51:49 PM,,,,,,,
Comment,,,,,,,,,
Summary,,,,,,,,,
Samples,,,,,,,,,
,Sample ID,,,Name,,Result,,,State
1,SAC-1,,,Sample size,,51.744 g,,,
,,,,pH Start R1,,-79.600 pH,,,OK
,,,,Total HCl R2,,0.684 mL,,,OK
2,BaySTD2-1,,,Sample size,,50.823 g,,,
,,,,pH Start R1,,-60.800 pH,,,OK
,,,,Total HCl R2,,1.200 mL,,,OK
3,BaySTD2-2,,,Sample size,,50.555 g,,,
,,,,pH Start R1,,-61.400 pH,,,OK
,,,,Total HCl R2,,1.178 mL,,,OK
4,SAC-2,,,Sample size,,51.330 g,,,
,,,,pH Start R1,,-86.700 pH,,,OK
,,,,Total HCl R2,,0.680 mL,,,OK
5,T16-719-1,,,Sample size,,50.873 g,,,
,,,,pH Start R1,,-59.000 pH,,,OK
,,,,Total HCl R2,,1.288 mL,,,OK
6,T16-719-2,,,Sample size,,50.790 g,,,
,,,,pH Start R1,,-59.800 pH,,,OK
,,,,Total HCl R2,,1.235 mL,,,OK
7,T16-719-3,,,Sample size,,50.117 g,,,
,,,,pH Start R1,,-58.900 pH,,,OK
,,,,Total HCl R2,,1.192 mL,,,OK
8,T8-714-1,,,Sample size,,50.929 g,,,
,,,,pH Start R1,,-66.100 pH,,,OK
,,,,Total HCl R2,,1.224 mL,,,OK
9,T8-714-2,,,Sample size,,50.407 g,,,
,,,,pH Start R1,,-66.200 pH,,,OK
,,,,Total HCl R2,,1.213 mL,,,OK
10,T8-714-3,,,Sample size,,49.997 g,,,
,,,,pH Start R1,,-66.400 pH,,,OK
,,,,Total HCl R2,,1.202 mL,,,OK
11,T21-714-1,,,Sample size,,50.730 g,,,
,,,,pH Start R1,,-58.300 pH,,,OK
,,,,Total HCl R2,,1.212 mL,,,OK
12,T21-714-2,,,Sample size,,50.150 g,,,
,,,,pH Start R1,,-58.200 pH,,,OK
,,,,Total HCl R2,,1.198 mL,,,OK
13,T21-714-3,,,Sample size,,50.459 g,,,
,,,,pH Start R1,,-58.100 pH,,,OK
,,,,Total HCl R2,,1.206 mL,,,OK
14,T6-702-1,,,Sample size,,50.752 g,,,
,,,,pH Start R1,,-70.600 pH,,,OK
,,,,Total HCl R2,,1.216 mL,,,OK
15,T6-702-2,,,Sample size,,50.661 g,,,
,,,,pH Start R1,,-70.800 pH,,,OK
,,,,Total HCl R2,,1.218 mL,,,OK
16,T6-702-3,,,Sample size,,50.169 g,,,
,,,,pH Start R1,,-71.000 pH,,,OK
,,,,Total HCl R2,,1.204 mL,,,OK
17,H2-702-1,,,Sample size,,50.321 g,,,
,,,,pH Start R1,,-49.800 pH,,,OK
,,,,Total HCl R2,,1.220 mL,,,OK
18,H2-702-2,,,Sample size,,50.461 g,,,
,,,,pH Start R1,,-50.200 pH,,,OK
,,,,Total HCl R2,,1.225 mL,,,OK
19,H2-702-3,,,Sample size,,51.182 g,,,
,,,,pH Start R1,,-48.700 pH,,,OK
,,,,Total HCl R2,,1.236 mL,,,OK
6/9/2021 4:44:03 PM,,,SystemInternal,,,,,1/1,
