Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm
ctettelbach, Blank, no dye, 0.0000, Blank, 0.0000, 0.0000, 0.0000
ctettelbach, BaySTD2, no dye, 0.0000, Measurement 1, 0.0711, 0.0513, 0.1233
ctettelbach, T6-702-1, no dye, 0.0000, Measurement 1, 0.0491, 0.0392, 0.1152
ctettelbach, T6-702-2, no dye, 0.0000, Measurement 1, 0.0492, 0.0391, 0.1151
ctettelbach, T27-719-1, no dye, 0.0000, Measurement 1, 0.0525, 0.0399, 0.1156
ctettelbach, T27-719-2, no dye, 0.0000, Measurement 1, 0.0539, 0.0409, 0.1160
ctettelbach, T10-719-1, no dye, 0.0000, Measurement 1, 0.0540, 0.0414, 0.1166
ctettelbach, T10-719-2, no dye, 0.0000, Measurement 1, 0.0540, 0.0406, 0.1159
ctettelbach, T36-719-1, no dye, 0.0000, Measurement 1, 0.0523, 0.0403, 0.1156
ctettelbach, T36-719-2, no dye, 0.0000, Measurement 1, 0.0537, 0.0411, 0.1162
ctettelbach, BaySTD2, m-cresol added, 0.0000, Measurement 2, 0.6366, 0.8446, 0.1230
ctettelbach, T6-702-1, m-cresol added, 0.0000, Measurement 2, 0.5508, 0.9784, 0.1135
ctettelbach, T6-702-2, m-cresol added, 0.0000, Measurement 2, 0.5531, 0.9882, 0.1138
ctettelbach, T27-719-1, m-cresol added, 0.0000, Measurement 2, 0.6123, 0.8384, 0.1140
ctettelbach, T27-719-2, m-cresol added, 0.0000, Measurement 2, 0.6223, 0.8503, 0.1143
ctettelbach, T10-719-1, m-cresol added, 0.0000, Measurement 2, 0.6117, 0.8429, 0.1145
ctettelbach, T10-719-2, m-cresol added, 0.0000, Measurement 2, 0.6083, 0.8371, 0.1146
ctettelbach, T36-719-1, m-cresol added, 0.0000, Measurement 2, 0.7011, 0.5791, 0.1135
ctettelbach, T36-719-2, m-cresol added, 0.0000, Measurement 2, 0.7174, 0.5848, 0.1138
