Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
ctettelbach, Blank, no dye,0, Blank,0.0001,0.0001,0,0,NA,NA
ctettelbach, BaySTD2, no dye,0, Measurement 1,0.0595,0.0427,0.1156,0,30.34,14.11
ctettelbach, BaySTD2, m-cresol added,0, Measurement 2,0.6351,0.8251,0.1177,80,30.34,14.11
ctettelbach, T8-714-1, no dye,0, Measurement 1,0.0504,0.0396,0.1145,0,27.06,15.22
ctettelbach, T8-714-1, m-cresol added,0, Measurement 2,0.6024,0.906,0.1156,80,27.06,15.22
ctettelbach, T8-714-2, no dye,0, Measurement 1,0.0506,0.0398,0.1143,0,27.06,15.25
ctettelbach, T8-714-2, m-cresol added,0, Measurement 2,0.5965,0.884,0.1157,80,27.06,15.25
ctettelbach, T14-714-1, no dye,0, Measurement 1,0.0511,0.0398,0.1145,0,28.27,15.71
ctettelbach, T14-714-1, m-cresol added,0, Measurement 2,0.6444,0.7425,0.1158,80,28.27,15.71
ctettelbach, T14-714-2, no dye,0, Measurement 1,0.0511,0.0401,0.1147,0,28.26,15.72
ctettelbach, T14-714-2, m-cresol added,0, Measurement 2,0.6432,0.7346,0.1157,80,28.26,15.72
ctettelbach, T38-714-1, no dye,0, Measurement 1,0.0541,0.0417,0.1155,0,27.06,15.26
ctettelbach, T38-714-1, m-cresol added,0, Measurement 2,0.5669,0.9298,0.1159,80,27.06,15.26
ctettelbach, T38-714-2, no dye,0, Measurement 1,0.0518,0.0399,0.1145,0,27.06,15.28
ctettelbach, T38-714-2, m-cresol added,0, Measurement 2,0.5644,0.931,0.1154,80,27.06,15.28
ctettelbach, T21-708-1, no dye,0, Measurement 1,0.0553,0.0405,0.1144,0,25.12,18.36
ctettelbach, T21-708-1, m-cresol added,0, Measurement 2,0.6627,0.7345,0.1159,80,25.12,18.36
ctettelbach, T21-708-2, no dye,0, Measurement 1,0.0567,0.0418,0.1156,0,25.16,18.31
ctettelbach, T21-708-2, m-cresol added,0, Measurement 2,0.6681,0.7191,0.1172,80,25.16,18.31
