"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"ctettelbach"," Blank"," no dye",0," Blank",1e-04,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"ctettelbach"," BaySTD2"," no dye",0," Measurement 1",0.0595,0.0427,0.1156,0,30.34,14.11,1.36059285091543,1.3665934228422,7.99548149760866,7.83709145048371,7.99757236078251,7.83918231365757
"ctettelbach"," BaySTD2"," m-cresol added",0," Measurement 2",0.6351,0.8251,0.1177,80,30.34,14.11,NA,NA,NA,NA,NA,NA
"ctettelbach"," T8-714-1"," no dye",0," Measurement 1",0.0504,0.0396,0.1145,0,27.06,15.22,1.57070248683972,1.57917394808495,8.05436460507276,7.91266653285992,8.05695427796424,7.9152562057514
"ctettelbach"," T8-714-1"," m-cresol added",0," Measurement 2",0.6024,0.906,0.1156,80,27.06,15.22,NA,NA,NA,NA,NA,NA
"ctettelbach"," T8-714-2"," no dye",0," Measurement 1",0.0506,0.0398,0.1143,0,27.06,15.25,1.54784205693297,1.5560446795225,8.04686364568381,7.90561492466424,8.04940459074914,7.90815586972957
"ctettelbach"," T8-714-2"," m-cresol added",0," Measurement 2",0.5965,0.884,0.1157,80,27.06,15.25,NA,NA,NA,NA,NA,NA
"ctettelbach"," T14-714-1"," no dye",0," Measurement 1",0.0511,0.0398,0.1145,0,28.27,15.71,1.1847972972973,1.18873051351351,7.91046558326099,7.77609522611536,7.91202352084932,7.77765316370369
"ctettelbach"," T14-714-1"," m-cresol added",0," Measurement 2",0.6444,0.7425,0.1158,80,28.27,15.71,NA,NA,NA,NA,NA,NA
"ctettelbach"," T14-714-2"," no dye",0," Measurement 1",0.0511,0.0401,0.1147,0,28.26,15.72,1.17323633902893,1.17703359837591,7.90573013283832,7.77150906205298,7.90724805210645,7.77302698132111
"ctettelbach"," T14-714-2"," m-cresol added",0," Measurement 2",0.6432,0.7346,0.1157,80,28.26,15.72,NA,NA,NA,NA,NA,NA
"ctettelbach"," T38-714-1"," no dye",0," Measurement 1",0.0541,0.0417,0.1155,0,27.06,15.26,1.7324355971897,1.74280903981265,8.10117719769376,7.96007823963156,8.10408146803897,7.96298250997678
"ctettelbach"," T38-714-1"," m-cresol added",0," Measurement 2",0.5669,0.9298,0.1159,80,27.06,15.26,NA,NA,NA,NA,NA,NA
"ctettelbach"," T38-714-2"," no dye",0," Measurement 1",0.0518,0.0399,0.1145,0,27.06,15.28,1.73969122532734,1.75014999413719,8.1029106901504,7.96211122684884,8.1058279770166,7.96502851371505
"ctettelbach"," T38-714-2"," m-cresol added",0," Measurement 2",0.5644,0.931,0.1154,80,27.06,15.28,NA,NA,NA,NA,NA,NA
"ctettelbach"," T21-708-1"," no dye",0," Measurement 1",0.0553,0.0405,0.1144,0,25.12,18.36,1.14292787588711,1.14636870770754,7.86102005260387,7.76585230596083,7.86242958026464,7.76726183362159
"ctettelbach"," T21-708-1"," m-cresol added",0," Measurement 2",0.6627,0.7345,0.1159,80,25.12,18.36,NA,NA,NA,NA,NA,NA
"ctettelbach"," T21-708-2"," no dye",0," Measurement 1",0.0567,0.0418,0.1156,0,25.16,18.31,1.10806821908823,1.1110991013447,7.84716086359897,7.75126004338165,7.84843905620823,7.75253823599091
"ctettelbach"," T21-708-2"," m-cresol added",0," Measurement 2",0.6681,0.7191,0.1172,80,25.16,18.31,NA,NA,NA,NA,NA,NA
