Analyst,Sample.ID,Sample.Tag,Notes1,Type,X434.nm,X578.nm,X730.nm,dyeV,salinity,temperature,a1a2,a1a2crct,pH_is,pH_a,pH_is_crct,pH_a_crct
RHartnett, Blank with air, N/A,0, Blank,0,0,1.00E-04,0,NA,NA,NA,NA,NA,NA,NA,NA
RHartnett, SPHX-0001-pH-1, no dye,0, Measurement 1,0.4871,0.3412,0.3353,0,28.1489,14.5587,1.342082086,1.347864971,7.986838094,7.835211024,7.988878667,7.837251596
RHartnett, SPHX-0001-pH-1, m-cresol added,0, Measurement 2,1.083,1.1313,0.3635,80,28.1489,14.5587,NA,NA,NA,NA,NA,NA
RHartnett, SPHX-0001-pH-2, no dye,0, Measurement 1,0.4762,0.3331,0.3292,0,28.1489,14.5587,1.314385353,1.319842525,7.976951558,7.825324487,7.97891458,7.82728751
RHartnett, SPHX-0001-pH-2, m-cresol added,0, Measurement 2,1.0867,1.1239,0.3662,80,28.1489,14.5587,NA,NA,NA,NA,NA,NA
RHartnett, SPHX-0002-pH-3, no dye,0, Measurement 1,0.4876,0.3433,0.3381,0,28.159,14.6434,1.300326442,1.305618281,7.970564036,7.82021123,7.972486588,7.822133782
RHartnett, SPHX-0002-pH-3, m-cresol added,0, Measurement 2,1.0518,1.0731,0.3509,80,28.159,14.6434,NA,NA,NA,NA,NA,NA
RHartnett, SPHX-0002-pH-4, no dye,0, Measurement 1,0.4782,0.3349,0.331,0,28.159,14.6434,1.324070733,1.329641804,7.979134828,7.828782022,7.981125292,7.830772486
RHartnett, SPHX-0002-pH-4, m-cresol added,0, Measurement 2,1.0373,1.0736,0.3359,80,28.159,14.6434,NA,NA,NA,NA,NA,NA
RHartnett, SPHX-0003-pH-B, no dye,0, Measurement 1,0.48,0.3375,0.3325,0,28.1644,14.7143,1.317299283,1.322790722,7.975627626,7.826340895,7.977598942,7.828312211
RHartnett, SPHX-0003-pH-B, m-cresol added,0, Measurement 2,1.0877,1.1266,0.3685,80,28.1644,14.7143,NA,NA,NA,NA,NA,NA
RHartnett, SPHX-0003-pH-C, no dye,0, Measurement 1,0.4706,0.3292,0.3267,0,28.1644,14.7143,1.308137496,1.313521193,7.972321844,7.823035112,7.974266975,7.824980244
RHartnett, SPHX-0003-pH-C, m-cresol added,0, Measurement 2,1.0711,1.1054,0.357,80,28.1644,14.7143,NA,NA,NA,NA,NA,NA
RHartnett, DIC-SPHX-0001-0003-pH-D, no dye,0, Measurement 1,0.0349,0.0354,0.1112,0,35,16.0377,2.380698243,2.398695255,8.230565922,8.101082305,8.234392533,8.104908915
RHartnett, DIC-SPHX-0001-0003-pH-D, m-cresol added,0, Measurement 2,0.4854,1.1068,0.112,80,35,16.0377,NA,NA,NA,NA,NA,NA
