"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"RH;EM;CW"," Blank"," no dye",0," Blank",0,0,-1e-04,0,NA,NA,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," B0024-C1-P1-B"," no dye",0," Measurement 1",0.0498,0.0393,0.1141,0,NA,NA,1.08156575395295,1.08428496721944,NA,NA,NA,NA
"RH;EM;CW"," B0024-C1-P1-B"," m-cresol added",0," Measurement 2",0.5687,0.6005,0.1144,80,NA,NA,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," B0024-C1-P2-C"," no dye",0," Measurement 1",0.056,0.0433,0.117,0,NA,NA,1.07447019211725,1.07710596157655,NA,NA,NA,NA
"RH;EM;CW"," B0024-C1-P2-C"," m-cresol added",0," Measurement 2",0.5916,0.6165,0.1477,80,NA,NA,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," M0025-C1-P1-4"," no dye",0," Measurement 1",0.0478,0.0387,0.1134,0,NA,NA,1.08855640921957,1.09135783259199,NA,NA,NA,NA
"RH;EM;CW"," M0025-C1-P1-4"," m-cresol added",0," Measurement 2",0.5424,0.5771,0.1134,80,NA,NA,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," M0025-C1-P2-G"," no dye",0," Measurement 1",0.0556,0.0455,0.1185,0,NA,NA,1.09225395520855,1.0950988617218,NA,NA,NA,NA
"RH;EM;CW"," M0025-C1-P2-G"," m-cresol added",0," Measurement 2",0.5519,0.5867,0.1281,80,NA,NA,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," M0026-C1-P1-E"," no dye",0," Measurement 1",0.0501,0.0388,0.1132,0,NA,NA,1.01859827721222,1.02057699295223,NA,NA,NA,NA
"RH;EM;CW"," M0026-C1-P1-E"," m-cresol added",0," Measurement 2",0.561,0.5592,0.1133,80,NA,NA,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," M0026-C1-P2-D"," no dye",0," Measurement 1",0.0653,0.0494,0.1206,0,NA,NA,1.02835353930387,1.03044697692609,NA,NA,NA,NA
"RH;EM;CW"," M0026-C1-P2-D"," m-cresol added",0," Measurement 2",0.5796,0.5782,0.1235,80,NA,NA,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," M0059-C1-P1-1"," no dye",0," Measurement 1",0.1539,0.1156,0.1721,0,26.78482563,13.84987198,1.21686996071945,1.22118035145752,7.95411571190045,7.79179523307229,7.9557810703072,7.79346059147904
"RH;EM;CW"," M0059-C1-P1-1"," m-cresol added",0," Measurement 2",0.6459,0.7125,0.1804,80,26.78482563,13.84987198,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," M-0059-C1-P2-2"," no dye",0," Measurement 1",0.1573,0.117,0.1774,0,26.78482563,13.84987198,1.23081510934394,1.23528949502982,7.95948393799121,7.79716345916305,7.96119443119443,7.79887395236627
"RH;EM;CW"," M-0059-C1-P2-2"," m-cresol added",0," Measurement 2",0.6634,0.7392,0.1805,80,26.78482563,13.84987198,NA,NA,NA,NA,NA,NA
"RH;EM;CW"," M0059-C1-P3-3"," no dye",0," Measurement 1",0.167,0.1298,0.183,0,26.78482563,13.84987198,1.21583178726036,1.22012996907854,7.95371378711339,7.79139330828523,7.95537574826889,7.79305526944073
"RH;EM;CW"," M0059-C1-P3-3"," m-cresol added",0," Measurement 2",0.6597,0.7272,0.1906,80,26.78482563,13.84987198,NA,NA,NA,NA,NA,NA
