"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","sphx.pH.int","sphx.pH.ext","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"RH"," Blank"," no dye",0," Blank",1e-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RH"," M-0063-C1-P1-1"," no dye",0," Measurement 1",0.3988,0.3125,0.3415,0,19.23293203,15.4274346,NA,NA,0.968796711509716,0.97018976083707,7.83976986234316,7.701176912576,7.84043684696058,7.70184389719342
"RH"," M-0063-C1-P1-1"," m-cresol added",0," Measurement 2",0.9231,0.8201,0.3306,80,19.23293203,15.4274346,NA,NA,NA,NA,NA,NA,NA,NA
"RH"," M-0063-C1-P2-2"," no dye",0," Measurement 1",0.3693,0.2897,0.331,0,19.23293203,15.4274346,NA,NA,0.94803798602401,0.949186912739653,7.82972170238538,7.69112875261822,7.83028325429615,7.69169030452899
"RH"," M-0063-C1-P2-2"," m-cresol added",0," Measurement 2",0.9281,0.8195,0.3317,80,19.23293203,15.4274346,NA,NA,NA,NA,NA,NA,NA,NA
"RH"," M-0063-C1-P3-3"," no dye",0," Measurement 1",0.3341,0.2696,0.3016,0,19.23293203,15.4274346,NA,NA,0.950357277171869,0.95153347875141,7.83085462268336,7.6922616729162,7.83142816982979,7.69283522006263
"RH"," M-0063-C1-P3-3"," m-cresol added",0," Measurement 2",0.8748,0.7839,0.3105,80,19.23293203,15.4274346,NA,NA,NA,NA,NA,NA,NA,NA
"RH"," SPHX-05212019-C1-P1-4"," no dye",0," Measurement 1",0.4877,0.3354,0.3352,0,19.5376,15.8318,7.75,7.6189,0.809601634320735,0.809122549540347,7.75013718544997,7.61758443271376,7.74986480207879,7.61731204934259
"RH"," SPHX-05212019-C1-P1-4"," m-cresol added",0," Measurement 2",0.9665,0.721,0.3245,80,19.5376,15.8318,7.75,7.6189,NA,NA,NA,NA,NA,NA
"RH"," SPHX-05212019-C1-P2-E"," no dye",0," Measurement 1",0.4558,0.3431,0.3503,0,19.5189,15.9082,7.7487,7.6201,0.815415821501014,0.815005111561866,7.75233072452284,7.62091729658653,7.75209881977783,7.62068539184151
"RH"," SPHX-05212019-C1-P2-E"," m-cresol added",0," Measurement 2",0.9903,0.7775,0.3425,80,19.5189,15.9082,7.7487,7.6201,NA,NA,NA,NA,NA,NA
"RH"," SPHX-05212019-C1-P3-G"," no dye",0," Measurement 1",0.3705,0.2501,0.2726,0,19.4992,15.9962,7.7454,7.6189,0.734833483348335,0.733475125112512,7.70326490460217,7.57316304181221,7.70241675963555,7.57231489684558
"RH"," SPHX-05212019-C1-P3-G"," m-cresol added",0," Measurement 2",0.9197,0.652,0.2663,80,19.4992,15.9962,7.7454,7.6189,NA,NA,NA,NA,NA,NA
