"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"RH"," Blank"," no dye",0," Blank",1e-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"RH"," B-0064-C1-P1-1"," no dye",0," Measurement 1",0.1343,0.0968,0.1569,0,20.68750929,18.201387,1.07801006581494,1.08068746418893,7.84533469574605,7.74784058220221,7.84649340092927,7.74899928738543
"RH"," B-0064-C1-P1-1"," m-cresol added",0," Measurement 2",0.6528,0.6556,0.1588,80,20.68750929,18.201387,NA,NA,NA,NA,NA,NA
"RH"," B-0064-C1-P2-2"," no dye",0," Measurement 1",0.1316,0.0933,0.1541,0,20.68750929,18.201387,1.06560867040836,1.06814022837236,7.83993226526142,7.74243815171759,7.84103986337773,7.7435457498339
"RH"," B-0064-C1-P2-2"," m-cresol added",0," Measurement 2",0.6519,0.6475,0.1577,80,20.68750929,18.201387,NA,NA,NA,NA,NA,NA
"RH"," B-0064-C1-P3-3"," no dye",0," Measurement 1",0.1304,0.0943,0.155,0,20.68750929,18.201387,1.06336597081101,1.06587115462775,7.83894898293623,7.74145486939239,7.84004722106705,7.74255310752321
"RH"," B-0064-C1-P3-3"," m-cresol added",0," Measurement 2",0.6781,0.6763,0.1614,80,20.68750929,18.201387,NA,NA,NA,NA,NA,NA
"RH"," M-0065-C1-P1-E"," no dye",0," Measurement 1",0.09,0.0739,0.1411,0,30.93857265,15.11646461,1.39869138495093,1.40513999563795,7.99221254921078,7.84896296691402,7.99440327799478,7.85115369569803
"RH"," M-0065-C1-P1-E"," m-cresol added",0," Measurement 2",0.5464,0.7131,0.139,80,30.93857265,15.11646461,NA,NA,NA,NA,NA,NA
"RH"," M-0065-C1-P2-G"," no dye",0," Measurement 1",0.092,0.0743,0.1418,0,30.93857265,15.11646461,1.40437618346308,1.4108916473806,7.99414427483328,7.85089469253652,7.99634950370243,7.85309992140568
"RH"," M-0065-C1-P2-G"," m-cresol added",0," Measurement 2",0.573,0.7475,0.1475,80,30.93857265,15.11646461,NA,NA,NA,NA,NA,NA
"RH"," M-0065-C1-P3-4"," no dye",0," Measurement 1",0.0899,0.0737,0.1413,0,30.93857265,15.11646461,1.39857574449719,1.40502299525248,7.99217317958096,7.84892359728421,7.99436361235247,7.85111403005571
"RH"," M-0065-C1-P3-4"," m-cresol added",0," Measurement 2",0.5543,0.7228,0.1423,80,30.93857265,15.11646461,NA,NA,NA,NA,NA,NA
