Analyst,Sample.ID,Sample.Tag,Notes1,Type,X434.nm,X578.nm,X730.nm,dyeV,salinity,temperature,a1a2,a1a2crct,pH_is,pH_a,pH_is_crct,pH_a_crct
BRiggins, Blank, no dye,0, Blank,1.00E-04,-1.00E-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BRiggins,ACID-1-1-1, no dye,0, Measurement 1,0.1609,0.1201,0.187,0,29.4,13.2,0.32885212,0.322719421,7.359225833,7.18705484,7.350710399,7.178539406
BRiggins,ACID-1-1-1, m-cresol added,0, Measurement 2,0.9354,0.3754,0.1879,80,29.4,13.2,NA,NA,NA,NA,NA,NA
BRiggins,ACID-1-2-2, no dye,0, Measurement 1,0.0515,0.032,0.1158,0,29.4,13.2,0.331728727,0.325629857,7.363165438,7.190994445,7.354771653,7.18260066
BRiggins,ACID-1-2-2, m-cresol added,0, Measurement 2,0.7578,0.2663,0.1158,80,29.4,13.2,NA,NA,NA,NA,NA,NA
BRiggins,ACID-1-3-3, no dye,0, Measurement 1,0.1431,0.1043,0.1755,0,29.4,13.2,0.346780552,0.340858691,7.383237606,7.211066613,7.37544652,7.203275527
BRiggins,ACID-1-3-3, m-cresol added,0, Measurement 2,0.9065,0.3706,0.1779,80,29.4,13.2,NA,NA,NA,NA,NA,NA
RHBR, Blank, no dye,0, Blank,3.00E-04,0,-1.00E-04,0,NA,NA,NA,NA,NA,NA,NA,NA
RHBR, AMB-3-1-1, no dye,0, Measurement 1,0.0502,0.0424,0.1172,0,29.8,13.2,0.913423831,0.914165695,7.823775335,7.651604342,7.824151021,7.651980028
RHBR, AMB-3-1-1, m-cresol added,0, Measurement 2,0.7136,0.6484,0.1176,80,29.8,13.2,NA,NA,NA,NA,NA,NA
RHBR, AMB-3-2-2, no dye,0, Measurement 1,0.0477,0.0408,0.1161,0,29.8,13.2,0.930356279,0.931297269,7.832278775,7.660107782,7.83274702,7.660576027
RHBR, AMB-3-2-2, m-cresol added,0, Measurement 2,0.6665,0.6164,0.1146,80,29.8,13.2,NA,NA,NA,NA,NA,NA
RHBR, AMB-3-3-3, no dye,0, Measurement 1,0.0498,0.0423,0.117,0,29.8,13.2,0.92287761,0.923730651,7.828541268,7.656370275,7.828969029,7.656798036
RHBR, AMB-3-3-3, m-cresol added,0, Measurement 2,0.7049,0.6468,0.116,80,29.8,13.2,NA,NA,NA,NA,NA,NA
