s,Analyst,Sample.ID,Sample.Tag,Notes1,Type,X434.nm,X578.nm,X730.nm,dyeV,salinity,temperature,a1a2,a1a2crct,pH_is,pH_a,pH_is_crct,pH_a_crct
1,CWRH, Blank, no dye,0, Blank,-2.00E-04,0,-1.00E-04,0,NA,NA,NA,NA,NA,NA,NA,NA
2,CWRH, R3T3-1-1, no dye,0, Measurement 1,0.0619,0.0507,0.1231,0,30.8,14.7,1.26634164,1.271233817,7.951618923,7.802117215,7.953440379,7.803938671
3,CWRH, R3T3-1-1, m-cresol added,0, Measurement 2,0.6153,0.7516,0.1227,80,30.8,14.7,NA,NA,NA,NA,NA,NA
4,CWRH, R3T3-2-2, no dye,0, Measurement 1,0.0674,0.0551,0.1271,0,30.8,14.7,1.260643242,1.265468407,7.949489085,7.799987376,7.951293118,7.801791409
5,CWRH, R3T3-2-2, m-cresol added,0, Measurement 2,0.6076,0.7355,0.1294,80,30.8,14.7,NA,NA,NA,NA,NA,NA
6,CWRH, R3T3-3-3, no dye,0, Measurement 1,0.0749,0.0613,0.1312,0,30.8,14.7,1.287564273,1.292706029,7.959474055,7.809972347,7.961359196,7.811857488
7,CWRH, R3T3-3-3, m-cresol added,0, Measurement 2,0.6024,0.7398,0.1336,80,30.8,14.7,NA,NA,NA,NA,NA,NA
8,CWRH, R3T4-1-4, no dye,0, Measurement 1,0.1334,0.1059,0.1692,0,30.8,14.9,1.189174107,1.193158795,7.918987245,7.772490269,7.920560149,7.774063174
9,CWRH, R3T4-1-4, m-cresol added,0, Measurement 2,0.6726,0.7468,0.1708,80,30.8,14.9,NA,NA,NA,NA,NA,NA
10,CWRH, R3T4-2-E, no dye,0, Measurement 1,0.0615,0.0516,0.1226,0,30.8,14.9,1.195560075,1.199619861,7.921505669,7.775008694,7.923100233,7.776603257
11,CWRH, R3T4-2-E, m-cresol added,0, Measurement 2,0.6513,0.7568,0.1223,80,30.8,14.9,NA,NA,NA,NA,NA,NA
12,CWRH, R3T4-3-G, no dye,0, Measurement 1,0.1307,0.1068,0.1684,0,30.8,14.9,1.229415001,1.233872921,7.934651993,7.788155017,7.936357996,7.78986102
13,CWRH, R3T4-3-G, m-cresol added,0, Measurement 2,0.6743,0.7755,0.1667,80,30.8,14.9,NA,NA,NA,NA,NA,NA
14,CWRH, R2T4-1-B, no dye,0, Measurement 1,0.0897,0.0733,0.1417,0,30.9,14.8,1.247245179,1.251912782,7.942732264,7.794733444,7.944494775,7.796495955
15,CWRH, R2T4-1-B, m-cresol added,0, Measurement 2,0.671,0.7982,0.1422,80,30.9,14.8,NA,NA,NA,NA,NA,NA
16,CWRH, R2T4-2-C, no dye,0, Measurement 1,0.1138,0.0927,0.1587,0,30.9,14.8,1.234964574,1.239487757,7.938065735,7.790066915,7.939789482,7.791790662
17,CWRH, R2T4-2-C, m-cresol added,0, Measurement 2,0.7243,0.8458,0.1623,80,30.9,14.8,NA,NA,NA,NA,NA,NA
18,CWRH, R2T4-3-D, no dye,0, Measurement 1,0.0674,0.0547,0.1266,0,30.9,14.8,1.226820325,1.231247732,7.93494724,7.78694842,7.936644898,7.788646078
19,CWRH, R2T4-3-D, m-cresol added,0, Measurement 2,0.6449,0.7621,0.1314,80,30.9,14.8,NA,NA,NA,NA,NA,NA
20,CWRH, DickStan-01-31-2020, no dye,0, Measurement 1,0.0388,0.0387,0.1124,0,35,25,2.512268519,2.531812796,8.128520721,8.128520721,8.13249442,8.13249442
21,CWRH, DickStan-01-31-2020, m-cresol added,0, Measurement 2,0.4667,1.1199,0.1083,80,35,25,NA,NA,NA,NA,NA,NA
1,CWRH, Blank, no dye,0, Blank,0,0,1.00E-04,0,NA,NA,NA,NA,NA,NA,NA,NA
2,CWRH, R1T1-2-1, no dye,0, Measurement 1,0.5164,0.4114,0.4294,0,26.8,15.5,1.097428721,1.100334483,7.880794445,7.743286685,7.882031032,7.744523272
3,CWRH, R1T1-2-1, m-cresol added,0, Measurement 2,1.0914,1.0421,0.4327,80,26.8,15.5,NA,NA,NA,NA,NA,NA
4,CWRH, R1T1-3-2, no dye,0, Measurement 1,0.2541,0.205,0.2518,0,26.8,15.5,1.08466899,1.087424697,7.875327822,7.737820062,7.876513524,7.739005764
5,CWRH, R1T1-3-2, m-cresol added,0, Measurement 2,0.8285,0.828,0.2522,80,26.8,15.5,NA,NA,NA,NA,NA,NA
