Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm
RHartnett, Blank, no dye, 0.0000, Blank, -0.0002, 0.0000, 0.0000
RHartnett, BAYSTD1-07APR2021-D, no dye, 0.0000, Measurement 1, 0.0509, 0.0400, 0.1149
RHartnett, P-0084-C1-R1-1, no dye, 0.0000, Measurement 1, 0.0626, 0.0471, 0.1191
RHartnett, P-0084-C1-R2-2, no dye, 0.0000, Measurement 1, 0.0614, 0.0465, 0.1188
RHartnett, P-0084-C1-R5-3, no dye, 0.0000, Measurement 1, 0.0676, 0.0512, 0.1223
RHartnett, P-0084-C1-R6-B, no dye, 0.0000, Measurement 1, 0.0618, 0.0472, 0.1195
RHartnett, BAYSTD1-07APR2021-D, m-cresol added, 0.0000, Measurement 2, 0.6814, 0.7075, 0.1137
RHartnett, P-0084-C1-R1-1, m-cresol added, 0.0000, Measurement 2, 0.7015, 0.6867, 0.1168
RHartnett, P-0084-C1-R2-2, m-cresol added, 0.0000, Measurement 2, 0.6838, 0.6722, 0.1164
RHartnett, P-0084-C1-R5-3, m-cresol added, 0.0000, Measurement 2, 0.6760, 0.6714, 0.1198
RHartnett, P-0084-C1-R6-B, m-cresol added, 0.0000, Measurement 2, 0.6781, 0.6751, 0.1173
