Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
RHartnett, Blank, no dye,0, Blank,-0.0002,0,0,0,NA,NA
RHartnett, BAYSTD1-07APR2021-D, no dye,0, Measurement 1,0.0509,0.04,0.1149,0,27.53,11.92
RHartnett, BAYSTD1-07APR2021-D, m-cresol added,0, Measurement 2,0.6814,0.7075,0.1137,80,27.53,11.92
RHartnett, P-0084-C1-R1-1, no dye,0, Measurement 1,0.0626,0.0471,0.1191,0,29.8,12
RHartnett, P-0084-C1-R1-1, m-cresol added,0, Measurement 2,0.7015,0.6867,0.1168,80,29.8,12
RHartnett, P-0084-C1-R2-2, no dye,0, Measurement 1,0.0614,0.0465,0.1188,0,29.8,12
RHartnett, P-0084-C1-R2-2, m-cresol added,0, Measurement 2,0.6838,0.6722,0.1164,80,29.8,12
RHartnett, P-0084-C1-R5-3, no dye,0, Measurement 1,0.0676,0.0512,0.1223,0,29.8,12
RHartnett, P-0084-C1-R5-3, m-cresol added,0, Measurement 2,0.676,0.6714,0.1198,80,29.8,12
RHartnett, P-0084-C1-R6-B, no dye,0, Measurement 1,0.0618,0.0472,0.1195,0,29.8,12
RHartnett, P-0084-C1-R6-B, m-cresol added,0, Measurement 2,0.6781,0.6751,0.1173,80,29.8,12
