"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"RHartnett"," Blank"," no dye",0," Blank",-2e-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"RHartnett"," BAYSTD1-07APR2021-D"," no dye",0," Measurement 1",0.0509,0.04,0.1149,0,27.53,11.92,1.05857210701282,1.06102091499129,7.91661295969184,7.72490886350029,7.91769106736231,7.72598697117076
"RHartnett"," BAYSTD1-07APR2021-D"," m-cresol added",0," Measurement 2",0.6814,0.7075,0.1137,80,27.53,11.92,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0084-C1-R1-1"," no dye",0," Measurement 1",0.0626,0.0471,0.1191,0,29.8,12,1.00109170305677,1.00286454148472,7.88459319933573,7.69411505968038,7.88541601416731,7.69493787451196
"RHartnett"," P-0084-C1-R1-1"," m-cresol added",0," Measurement 2",0.7015,0.6867,0.1168,80,29.8,12,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0084-C1-R2-2"," no dye",0," Measurement 1",0.0614,0.0465,0.1188,0,29.8,12,1.00528169014085,1.0071038028169,7.88653566085348,7.69605752119813,7.88737800443731,7.69689986478196
"RHartnett"," P-0084-C1-R2-2"," m-cresol added",0," Measurement 2",0.6838,0.6722,0.1164,80,29.8,12,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0084-C1-R5-3"," no dye",0," Measurement 1",0.0676,0.0512,0.1223,0,29.8,12,1.01931576362744,1.02130291700769,7.89298667134702,7.70250853169167,7.89389333079211,7.70341519113676
"RHartnett"," P-0084-C1-R5-3"," m-cresol added",0," Measurement 2",0.676,0.6714,0.1198,80,29.8,12,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0084-C1-R6-B"," no dye",0," Measurement 1",0.0618,0.0472,0.1195,0,29.8,12,1.01875505254648,1.02073561196443,7.89273053995376,7.70225240029841,7.89363466150705,7.7031565218517
"RHartnett"," P-0084-C1-R6-B"," m-cresol added",0," Measurement 2",0.6781,0.6751,0.1173,80,29.8,12,NA,NA,NA,NA,NA,NA
