Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm
RHartnett, Blank, no dye, 0.0000, Blank, -0.0001, 0.0000, 0.0001
RHartnett, BTH-CHK-10DEC2020-1-B, no dye, 0.0000, Replicate 1, 0.0895, 0.0562, 0.0442
RHartnett, BTH-CHK-10DEC2020-2-D, no dye, 0.0000, Replicate 1, 0.0898, 0.0569, 0.0447
RHartnett, BTH-CHK-10DEC2020-3-E, no dye, 0.0000, Replicate 1, 0.0894, 0.0566, 0.0446
RHartnett, BTH-CHK-10DEC2020-1-B, m-cresol added, 0.0000, Replicate 2, 0.3647, 0.3690, 0.0446
RHartnett, BTH-CHK-10DEC2020-2-D, m-cresol added, 0.0000, Replicate 2, 0.3681, 0.3703, 0.0447
RHartnett, BTH-CHK-10DEC2020-3-E, m-cresol added, 0.0000, Replicate 2, 0.3746, 0.3729, 0.0449
RHartnett, BTH-CHK-10DEC2020-1-B, m-cresol added, 0.0000, Replicate 3, 0.6384, 0.6753, 0.0447
RHartnett, BTH-CHK-10DEC2020-2-D, m-cresol added, 0.0000, Replicate 3, 0.6469, 0.6802, 0.0454
RHartnett, BTH-CHK-10DEC2020-3-E, m-cresol added, 0.0000, Replicate 3, 0.6543, 0.6859, 0.0451
