"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"RHARTNETT"," Blank"," no dye",0," Blank",-1e-04,-1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-07282020-1-1"," no dye",0," Measurement 1",0.0705,0.0503,0.1275,0,26.2378,17.474,1.69713740458015,1.70709574045802,8.06000860017355,7.95181342297922,8.06284830602909,7.95465312883476
"RHARTNETT"," PH-BATH-07282020-1-1"," m-cresol added",0," Measurement 2",0.5947,0.9398,0.1277,80,26.2378,17.474,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-07282020-2-2"," no dye",0," Measurement 1",0.0692,0.0488,0.1256,0,26.2378,17.474,1.69457659372027,1.70450481446242,8.05927596400271,7.95108078680838,8.06211090359413,7.9539157263998
"RHARTNETT"," PH-BATH-07282020-2-2"," m-cresol added",0," Measurement 2",0.5954,0.94,0.1263,80,26.2378,17.474,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-07282020-3-3"," no dye",0," Measurement 1",0.0672,0.0479,0.1247,0,26.2378,17.474,1.70664100096246,1.71671109913378,8.06271895492046,7.95452377772613,8.06557625038626,7.95738107319193
"RHARTNETT"," PH-BATH-07282020-3-3"," m-cresol added",0," Measurement 2",0.5878,0.9356,0.1258,80,26.2378,17.474,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-08202020-1-B"," no dye",0," Measurement 1",0.0553,0.0426,0.1209,0,28.9002,21.9836,1.96110665597434,1.9741692702486,8.05963286905866,8.01693114191148,8.06291142714877,8.02020970000159
"RHARTNETT"," PH-BATH-08202020-1-B"," m-cresol added",0," Measurement 2",0.555,1.0217,0.1218,80,28.9002,21.9836,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-08202020-2-E"," no dye",0," Measurement 1",0.0548,0.0424,0.1201,0,28.9002,21.9836,1.98480116593796,1.99814242764939,8.06556601002132,8.02286428287414,8.06887965414841,8.02617792700123
"RHARTNETT"," PH-BATH-08202020-2-E"," m-cresol added",0," Measurement 2",0.5365,0.9971,0.1215,80,28.9002,21.9836,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-08202020-3-4"," no dye",0," Measurement 1",0.056,0.0432,0.1215,0,28.9002,21.9836,1.96392286958325,1.97701860252955,8.06034130765721,8.01763958051003,8.0636240677453,8.02092234059812
"RHARTNETT"," PH-BATH-08202020-3-4"," m-cresol added",0," Measurement 2",0.5392,0.9913,0.1224,80,28.9002,21.9836,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-09232020-1-G"," no dye",0," Measurement 1",0.073,0.0467,0.1202,0,31.7654,19.4811,2.03428215250364,2.04820531061708,8.10780973380019,8.02901318260556,8.11119475867847,8.03239820748384
"RHARTNETT"," PH-BATH-09232020-1-G"," m-cresol added",0," Measurement 2",0.5548,1.0263,0.1207,80,31.7654,19.4811,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-09232020-2-C"," no dye",0," Measurement 1",0.1366,0.0727,0.1388,0,31.7654,19.4811,2.07440414507772,2.08879913782383,8.11751077233503,8.03871422114041,8.12095190998596,8.04215535879133
"RHARTNETT"," PH-BATH-09232020-2-C"," m-cresol added",0," Measurement 2",0.6195,1.074,0.1392,80,31.7654,19.4811,NA,NA,NA,NA,NA,NA
"RHARTNETT"," PH-BATH-09232020-3-D"," no dye",0," Measurement 1",0.0732,0.0467,0.121,0,31.7654,19.4811,2.04825015531166,2.06233757713812,8.11120562924868,8.03240907805406,8.11461036274017,8.03581381154554
"RHARTNETT"," PH-BATH-09232020-3-D"," m-cresol added",0," Measurement 2",0.5558,1.0355,0.1207,80,31.7654,19.4811,NA,NA,NA,NA,NA,NA
"RHARTNETT"," BAY-STD-BATCH-1"," no dye",0," Measurement 1",0.0504,0.0393,0.1136,0,27.53,11.92,0.940234134319162,0.941291287738755,7.86149465915654,7.66979056296499,7.86201543934224,7.67031134315069
"RHARTNETT"," BAY-STD-BATCH-1"," m-cresol added",0," Measurement 2",0.7005,0.6506,0.1145,80,27.53,11.92,NA,NA,NA,NA,NA,NA
"RHARTNETT"," DIC-09232020-1"," no dye",0," Measurement 1",0.0372,0.037,0.112,0,35,25,2.24274973147154,2.25912446831364,8.07091546670431,8.07091546670431,8.07457691287859,8.07457691287859
"RHARTNETT"," DIC-09232020-1"," m-cresol added",0," Measurement 2",0.5036,1.0819,0.1129,80,25,25,NA,NA,NA,NA,NA,NA
