Date,Time,Temp,SpCond,Cond,Resist,Sal,Press,Depth,pH,pH,Turbid+,Chl,Chl,TDS,ODOsat,ODO,Battery
Y/M/D,HH:MM:SS,C,uS,uS,Ohm*cm,ppt,psir,meters,,mV,NTU,ug/L,RFU,g/L,%,mg/L,volts
11/14/2020,2:37:47,14.38,33538,26733,37.407,21.05,2.478,1.719,7.73,-58.6,19.5,17.06,3.55,21.8,90.9,8.16,14.3
11/14/2020,2:43:29,14.38,33267,26520,37.7073,20.87,2.487,1.725,7.74,-59.3,20.6,156.79,32.68,21.62,91,8.18,14.3
11/14/2020,2:49:29,14.38,33082,26375,37.9153,20.74,2.501,1.735,7.75,-59.8,19.9,182.63,38.06,21.5,91,8.18,14.3
11/14/2020,2:55:29,14.39,32803,26155,38.2339,20.55,2.519,1.748,7.75,-60.1,19.5,213.8,44.56,21.32,90.9,8.19,14.3
11/14/2020,3:01:29,14.39,32650,26034,38.4117,20.44,2.55,1.77,7.76,-60.3,19.2,264.98,55.22,21.22,91,8.2,14.3
11/14/2020,3:07:29,14.39,32495,25911,38.5941,20.34,2.586,1.795,7.76,-60.5,19.1,287.42,59.9,21.12,91.4,8.24,14.4
11/14/2020,3:13:29,14.39,32316,25769,38.8062,20.21,2.617,1.817,7.76,-60.7,19.8,188.59,39.3,21,91.1,8.22,14.4
11/14/2020,3:19:29,14.4,32081,25585,39.0854,20.05,2.648,1.839,7.76,-60.7,18.5,210.57,43.88,20.85,91.1,8.22,14.3
11/14/2020,3:25:29,14.4,31947,25479,39.2487,19.96,2.708,1.88,7.76,-60.8,16.9,197.42,41.14,20.76,91,8.22,14.3
11/14/2020,3:31:29,14.4,31810,25369,39.4187,19.87,2.747,1.907,7.77,-60.9,17.8,205.34,42.79,20.67,91.1,8.23,14.4
11/14/2020,3:37:29,14.4,31595,25198,39.686,19.72,2.805,1.948,7.77,-60.9,17.5,197.96,41.26,20.53,91.1,8.24,14.4
11/14/2020,3:43:29,14.39,31502,25120,39.8087,19.65,2.861,1.987,7.77,-61,18.4,229.93,47.92,20.47,91,8.24,14.5
11/14/2020,3:49:28,14.4,31317,24975,40.0398,19.53,2.919,2.027,7.77,-61,17.9,129.22,26.93,20.35,90.9,8.24,14.2
11/14/2020,3:55:29,14.4,31196,24878,40.1962,19.44,2.989,2.076,7.77,-61.1,18.8,193.55,40.34,20.27,91.3,8.28,14.4
11/14/2020,4:01:28,14.4,31163,24852,40.2389,19.42,3.051,2.119,7.77,-61.1,18.4,126.96,26.46,20.25,91,8.25,14.4
11/14/2020,4:07:29,14.39,31065,24772,40.3674,19.36,3.106,2.157,7.77,-61.1,18.1,230.45,48.03,20.19,91.2,8.27,14.2
11/14/2020,4:13:29,14.39,30864,24609,40.6349,19.22,3.161,2.196,7.77,-61.2,18.1,319.12,66.5,20.06,91.1,8.27,14.4
11/14/2020,4:19:29,14.39,30886,24625,40.6091,19.23,3.223,2.239,7.77,-61.2,18.4,340.4,70.94,20.07,91.3,8.29,14.2
11/14/2020,4:25:28,14.38,30731,24499,40.8187,19.13,3.278,2.278,7.77,-61.2,16,355.22,74.03,19.97,91.1,8.28,14.4
11/14/2020,4:31:29,14.38,30703,24476,40.857,19.11,3.335,2.317,7.77,-61.2,16.1,342.23,71.32,19.95,91.2,8.29,14.5
11/14/2020,4:37:29,14.37,30432,24255,41.2288,18.92,3.385,2.352,7.77,-61.3,15,259.21,54.02,19.78,91.5,8.32,14.5
11/14/2020,4:43:29,14.37,30448,24269,41.2055,18.93,3.437,2.388,7.77,-61.3,15.3,197.22,41.1,19.79,91.5,8.32,14.5
11/14/2020,4:49:29,14.35,31134,24798,40.3252,19.4,3.487,2.422,7.77,-61.2,17.8,178.75,37.25,20.23,91.2,8.27,14.3
11/14/2020,4:55:28,14.34,31243,24884,40.1868,19.48,3.536,2.456,7.77,-61.2,17,175.65,36.61,20.3,91.2,8.27,14.4
11/14/2020,5:01:28,14.34,31333,24956,40.0704,19.54,3.59,2.493,7.77,-61.3,15.6,166.45,34.69,20.36,90.9,8.25,14.3
11/14/2020,5:07:29,14.33,31313,24933,40.1073,19.52,3.641,2.528,7.77,-61.4,14.4,179.11,37.33,20.35,91.2,8.27,14.3
11/14/2020,5:13:29,14.33,31340,24952,40.0767,19.54,3.686,2.56,7.78,-61.5,13.3,157.02,32.73,20.37,91.3,8.28,14.4
11/14/2020,5:19:28,14.33,31176,24824,40.2832,19.43,3.725,2.587,7.78,-61.6,13.4,139.1,28.99,20.26,91.4,8.29,14.3
11/14/2020,5:25:28,14.32,30997,24676,40.5255,19.31,3.764,2.615,7.78,-61.6,12,123.82,25.81,20.14,91.5,8.32,14.4
11/14/2020,5:31:29,14.32,30928,24617,40.6228,19.26,3.801,2.64,7.78,-61.6,11.1,122.29,25.49,20.1,91.6,8.32,14.3
11/14/2020,5:37:28,14.3,30734,24455,40.8921,19.13,3.842,2.669,7.78,-61.7,10.3,109.49,22.82,19.97,91.7,8.34,14.2
