"Date","Time","Temp","SpCond","Cond","Resist","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","TDS","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","ppt","psir","meters","","mV","NTU","ug/L","RFU","g/L","%","mg/L","volts"
"2020/12/16","00:31:29",11.64,37196,27702,36.0989,23.53,3.336,2.309,7.78,-61.7,13.6,1.91,0.40,24.17,92.4,8.66,14.4
"2020/12/16","00:37:29",11.64,37146,27665,36.1473,23.49,3.279,2.270,7.79,-61.8,14.4,2.01,0.42,24.14,91.8,8.61,14.3
"2020/12/16","00:43:29",11.64,36680,27317,36.6067,23.17,3.230,2.236,7.79,-62.0,13.0,1.67,0.35,23.84,92.4,8.68,14.3
"2020/12/16","00:49:29",11.63,36675,27310,36.6165,23.17,3.183,2.203,7.79,-62.0,12.0,1.14,0.24,23.83,92.3,8.67,14.3
"2020/12/16","00:55:29",11.63,36494,27174,36.8001,23.04,3.131,2.168,7.79,-62.1,11.6,1.55,0.32,23.72,92.2,8.67,14.3
"2020/12/16","01:01:29",11.62,36479,27159,36.8206,23.03,3.085,2.136,7.79,-62.1,11.1,2.04,0.42,23.71,91.7,8.62,14.3
"2020/12/16","01:07:29",11.62,36492,27166,36.8113,23.04,3.016,2.088,7.79,-62.1,10.1,1.12,0.23,23.72,91.8,8.63,14.2
"2020/12/16","01:13:29",11.61,36643,27273,36.6657,23.14,2.983,2.065,7.79,-62.1,11.9,1.48,0.31,23.81,92.1,8.65,14.3
"2020/12/16","01:19:29",11.61,36648,27275,36.6630,23.15,2.927,2.026,7.79,-62.1,9.2,1.97,0.41,23.82,91.7,8.62,14.3
"2020/12/16","01:25:29",11.60,36832,27407,36.4867,23.27,2.877,1.992,7.79,-62.1,13.8,1.40,0.29,23.94,92.1,8.64,14.3
"2020/12/16","01:31:29",11.60,36786,27373,36.5329,23.24,2.830,1.959,7.79,-62.1,13.4,1.26,0.26,23.91,91.8,8.62,14.2
"2020/12/16","01:37:29",11.60,36754,27349,36.5649,23.22,2.783,1.927,7.79,-62.1,11.4,1.03,0.21,23.89,91.3,8.58,14.2
"2020/12/16","01:43:29",11.60,36813,27389,36.5114,23.26,2.745,1.900,7.79,-62.1,9.0,1.34,0.28,23.92,91.5,8.59,14.2
"2020/12/16","01:49:29",11.60,36727,27328,36.5923,23.20,2.698,1.868,7.79,-62.2,8.6,1.66,0.35,23.87,91.4,8.58,14.2
"2020/12/16","01:55:29",11.60,36799,27384,36.5179,23.25,2.655,1.838,7.79,-62.1,11.1,1.50,0.31,23.91,91.6,8.61,14.2
"2020/12/16","02:01:29",11.58,36930,27463,36.4127,23.34,2.602,1.801,7.79,-62.2,10.9,1.53,0.32,24.00,91.6,8.61,14.2
"2020/12/16","02:07:29",11.58,36613,27226,36.7301,23.12,2.552,1.767,7.79,-62.3,12.8,1.57,0.33,23.79,92.0,8.65,14.2
"2020/12/16","02:13:29",11.58,36566,27191,36.7763,23.09,2.507,1.736,7.79,-62.3,14.6,2.18,0.45,23.76,91.8,8.64,14.2
"2020/12/16","02:19:29",11.58,36568,27193,36.7743,23.09,2.465,1.706,7.79,-62.2,15.0,1.84,0.38,23.76,91.6,8.61,14.2
"2020/12/16","02:25:29",11.58,36546,27176,36.7974,23.08,2.421,1.676,7.79,-62.2,15.6,2.18,0.45,23.75,91.4,8.60,14.2
"2020/12/16","02:31:29",11.58,36455,27107,36.8902,23.01,2.390,1.655,7.79,-62.2,16.7,1.78,0.37,23.69,92.0,8.66,14.1
"2020/12/16","02:37:29",11.56,36426,27072,36.9388,22.99,2.346,1.625,7.79,-62.2,15.0,1.41,0.29,23.67,92.0,8.66,14.2
"2020/12/16","02:43:29",11.56,36364,27032,36.9928,22.95,2.302,1.594,7.79,-62.2,16.7,1.72,0.36,23.63,91.5,8.62,14.2
"2020/12/16","02:49:29",11.56,36145,26864,37.2241,22.80,2.259,1.565,7.79,-62.2,17.7,2.10,0.43,23.49,91.7,8.65,14.2
"2020/12/16","02:55:29",11.56,35940,26711,37.4378,22.65,2.224,1.540,7.79,-62.1,18.8,1.45,0.30,23.36,92.0,8.68,14.1
"2020/12/16","03:01:29",11.56,35690,26525,37.7004,22.48,2.188,1.516,7.79,-62.1,19.9,1.69,0.35,23.19,92.2,8.71,14.3
"2020/12/16","03:07:29",11.55,35664,26499,37.7372,22.46,2.149,1.488,7.79,-62.1,19.2,2.00,0.42,23.18,91.8,8.68,14.4
"2020/12/16","03:13:29",11.56,35170,26141,38.2546,22.12,2.114,1.465,7.79,-62.1,24.4,1.81,0.38,22.86,91.8,8.69,14.3
"2020/12/16","03:19:29",11.55,34814,25871,38.6531,21.88,2.077,1.439,7.79,-62.1,21.0,1.71,0.35,22.62,92.1,8.73,14.3
"2020/12/16","03:25:29",11.55,34724,25801,38.7577,21.81,2.054,1.423,7.79,-62.0,22.2,1.71,0.35,22.57,92.0,8.73,14.3
"2020/12/16","03:31:29",11.55,34379,25545,39.1467,21.58,2.001,1.387,7.79,-62.0,22.5,1.56,0.32,22.34,92.1,8.75,14.3
"2020/12/16","03:37:29",11.54,34290,25472,39.2592,21.51,1.955,1.355,7.79,-62.0,22.0,1.27,0.26,22.28,92.0,8.75,14.3
"2020/12/16","03:43:29",11.54,33749,25071,39.8862,21.14,1.955,1.355,7.79,-62.0,51.2,2.53,0.53,21.93,91.9,8.76,14.4
"2020/12/16","03:49:29",11.53,33297,24733,40.4319,20.83,1.930,1.339,7.79,-62.0,42.3,2.42,0.50,21.64,92.2,8.81,14.3
"2020/12/16","03:55:29",11.52,33010,24514,40.7927,20.63,1.913,1.327,7.79,-62.0,31.7,2.21,0.46,21.45,92.1,8.81,14.3
"2020/12/16","04:01:29",11.52,32869,24403,40.9780,20.54,1.896,1.315,7.79,-62.0,32.2,2.03,0.42,21.36,92.1,8.82,14.3
"2020/12/16","04:07:29",11.51,32558,24169,41.3745,20.32,1.873,1.299,7.79,-62.0,31.8,1.97,0.41,21.16,92.0,8.82,14.3
"2020/12/16","04:13:29",11.50,32228,23919,41.8078,20.10,1.857,1.288,7.79,-61.9,31.4,2.09,0.43,20.94,92.6,8.89,14.2
"2020/12/16","04:19:29",11.50,31980,23731,42.1381,19.93,1.846,1.281,7.79,-62.0,30.2,1.99,0.42,20.78,92.2,8.86,14.3
"2020/12/16","04:25:29",11.48,31685,23505,42.5443,19.73,1.829,1.269,7.79,-62.0,29.9,1.92,0.40,20.59,92.2,8.87,14.3
