"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Chl","Chl","Turbid+","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","g/L","ppt","psir","meters","","mV","ug/L","RFU","NTU","%","mg/L","volts"
"2020/12/19","20:37:29",11.21,30608,22544,44.3568,19.89,18.99,3.654,2.538,7.79,-62.1,1.07,0.22,6.4,93.8,9.13,14.3
"2020/12/19","20:43:30",11.21,30789,22678,44.0951,20.01,19.11,3.693,2.564,7.79,-62.1,1.10,0.23,6.4,93.3,9.07,14.5
"2020/12/19","20:49:30",11.21,30629,22562,44.3232,19.90,19.00,3.726,2.588,7.79,-62.1,1.62,0.33,5.4,93.6,9.11,14.4
"2020/12/19","20:55:30",11.20,30881,22744,43.9683,20.07,19.17,3.762,2.612,7.79,-61.9,1.76,0.37,5.5,92.8,9.03,14.4
"2020/12/19","21:01:30",11.20,31169,22952,43.5689,20.26,19.37,3.795,2.634,7.79,-61.8,1.13,0.24,6.2,93.2,9.05,14.4
"2020/12/19","21:07:29",11.19,31410,23126,43.2414,20.41,19.53,3.824,2.655,7.79,-61.8,1.34,0.28,7.5,92.8,9.00,14.4
"2020/12/19","21:13:29",11.20,31310,23057,43.3705,20.35,19.46,3.860,2.680,7.79,-61.9,1.03,0.21,6.6,92.9,9.02,14.4
"2020/12/19","21:19:30",11.20,31327,23072,43.3420,20.36,19.48,3.887,2.699,7.79,-61.8,0.71,0.15,6.5,92.9,9.01,14.5
"2020/12/19","21:25:29",11.22,30966,22813,43.8337,20.12,19.23,3.909,2.714,7.79,-62.1,1.38,0.29,5.4,93.2,9.05,14.4
"2020/12/19","21:31:30",11.20,31337,23080,43.3283,20.36,19.48,3.943,2.737,7.79,-61.8,1.28,0.27,5.1,92.5,8.97,14.5
"2020/12/19","21:37:30",11.21,31394,23125,43.2441,20.40,19.52,3.969,2.755,7.79,-61.8,1.36,0.28,4.5,92.6,8.98,14.2
"2020/12/19","21:43:29",11.21,31411,23140,43.2149,20.41,19.53,4.002,2.778,7.79,-61.9,0.87,0.18,5.6,92.4,8.96,14.5
"2020/12/19","21:49:29",11.22,31408,23140,43.2158,20.41,19.53,4.029,2.797,7.79,-61.9,1.29,0.27,6.1,93.1,9.03,14.4
"2020/12/19","21:55:30",11.22,31461,23179,43.1430,20.44,19.57,4.058,2.817,7.79,-61.8,1.12,0.23,6.8,92.3,8.95,14.5
"2020/12/19","22:01:29",11.22,31440,23162,43.1739,20.43,19.55,4.088,2.838,7.79,-62.0,0.81,0.17,6.4,92.6,8.98,14.4
"2020/12/19","22:07:29",11.21,31412,23139,43.2176,20.41,19.53,4.121,2.860,7.79,-62.0,0.87,0.18,6.6,93.0,9.02,14.5
"2020/12/19","22:13:30",11.21,31389,23120,43.2532,20.40,19.52,4.152,2.882,7.79,-62.0,1.50,0.31,6.0,93.3,9.05,14.5
"2020/12/19","22:19:30",11.24,31362,23123,43.2478,20.38,19.50,4.183,2.904,7.79,-62.2,1.05,0.22,6.8,93.7,9.09,14.5
"2020/12/19","22:25:30",11.24,31317,23086,43.3154,20.35,19.47,4.211,2.924,7.79,-62.2,1.13,0.23,6.4,93.5,9.07,14.5
"2020/12/19","22:31:30",11.25,31284,23067,43.3521,20.33,19.45,4.240,2.943,7.79,-62.3,1.29,0.27,6.7,94.0,9.11,14.4
"2020/12/19","22:37:30",11.27,31209,23027,43.4275,20.28,19.40,4.266,2.962,7.80,-62.4,1.35,0.28,6.6,94.1,9.12,14.4
"2020/12/19","22:43:30",11.28,31175,23004,43.4699,20.26,19.37,4.287,2.976,7.80,-62.6,1.41,0.29,5.8,94.4,9.16,14.4
"2020/12/19","22:49:29",11.30,31228,23059,43.3677,20.29,19.41,4.308,2.991,7.80,-62.6,1.09,0.23,5.9,94.9,9.20,14.5
"2020/12/19","22:55:30",11.32,31254,23088,43.3127,20.31,19.43,4.326,3.003,7.80,-62.7,1.39,0.29,6.2,95.2,9.21,14.5
"2020/12/19","23:01:30",11.33,31221,23069,43.3485,20.29,19.41,4.343,3.015,7.80,-62.8,1.22,0.25,5.8,95.4,9.24,14.5
"2020/12/19","23:07:30",11.36,31235,23096,43.2981,20.30,19.42,4.358,3.026,7.81,-63.0,2.01,0.42,6.1,95.4,9.23,14.5
"2020/12/19","23:13:30",11.36,31251,23109,43.2724,20.31,19.43,4.381,3.041,7.81,-63.0,1.18,0.24,5.7,95.2,9.21,14.5
"2020/12/19","23:19:30",11.34,31536,23307,42.9062,20.49,19.62,4.381,3.041,7.80,-62.7,1.29,0.27,6.5,94.9,9.17,14.4
"2020/12/19","23:25:30",11.35,31629,23382,42.7682,20.55,19.69,4.388,3.046,7.80,-62.7,1.42,0.30,6.2,94.6,9.14,14.4
"2020/12/19","23:31:29",11.35,31973,23637,42.3061,20.78,19.92,4.406,3.058,7.80,-62.8,0.92,0.19,6.4,94.7,9.14,14.4
"2020/12/19","23:37:30",11.37,32183,23806,42.0068,20.91,20.06,4.411,3.061,7.81,-63.1,1.47,0.30,5.7,95.6,9.21,14.4
"2020/12/19","23:43:30",11.38,32211,23829,41.9663,20.93,20.08,4.408,3.059,7.81,-63.2,1.48,0.31,5.4,95.4,9.19,14.4
"2020/12/19","23:49:29",11.37,32276,23872,41.8908,20.97,20.13,4.414,3.063,7.81,-63.0,1.03,0.21,6.0,95.4,9.18,14.4
"2020/12/19","23:55:30",11.37,32969,24386,41.0067,21.43,20.60,4.416,3.063,7.81,-62.9,1.08,0.22,5.0,94.7,9.09,14.4
"2020/12/20","00:01:30",11.36,33191,24545,40.7408,21.57,20.75,4.411,3.059,7.80,-62.8,1.17,0.24,4.2,94.5,9.06,14.4
"2020/12/20","00:07:30",11.35,33316,24633,40.5962,21.65,20.84,4.411,3.059,7.80,-62.7,1.44,0.30,4.6,94.2,9.03,14.5
"2020/12/20","00:13:29",11.35,33345,24651,40.5657,21.67,20.86,4.413,3.061,7.80,-62.7,1.39,0.29,4.5,94.3,9.04,14.4
"2020/12/20","00:19:30",11.35,33707,24917,40.1340,21.91,21.11,4.404,3.054,7.80,-62.6,0.87,0.18,4.3,94.2,9.02,14.4
"2020/12/20","00:25:30",11.35,33991,25126,39.7994,22.09,21.30,4.402,3.052,7.80,-62.5,1.21,0.25,5.0,93.6,8.95,14.4
"2020/12/20","00:31:30",11.34,34487,25490,39.2307,22.41,21.64,4.388,3.041,7.80,-62.5,1.48,0.31,5.7,93.2,8.90,14.3
"2020/12/20","00:37:30",11.34,34293,25343,39.4582,22.29,21.51,4.373,3.031,7.80,-62.6,0.57,0.12,5.0,93.7,8.95,14.4
"2020/12/20","00:43:30",11.32,33930,25063,39.8986,22.05,21.26,4.356,3.020,7.80,-62.7,1.58,0.33,4.2,93.9,8.98,14.2
"2020/12/20","00:49:30",11.32,33953,25078,39.8753,22.06,21.28,4.332,3.003,7.80,-62.6,1.60,0.33,3.7,93.8,8.98,14.2
"2020/12/20","00:55:30",11.30,33823,24974,40.0414,21.98,21.19,4.310,2.988,7.80,-62.5,1.41,0.29,4.7,94.0,9.00,14.4
"2020/12/20","01:01:30",11.29,33803,24953,40.0751,21.97,21.17,4.280,2.967,7.80,-62.4,1.18,0.25,3.3,93.8,8.98,14.4
"2020/12/20","01:07:30",11.31,34199,25258,39.5917,22.22,21.44,4.251,2.947,7.80,-62.4,1.18,0.25,5.1,93.6,8.95,14.3
"2020/12/20","01:13:30",11.33,35066,25911,38.5934,22.79,22.04,4.216,2.921,7.79,-61.9,1.18,0.25,5.6,92.3,8.78,14.2
"2020/12/20","01:19:30",11.35,36074,26670,37.4954,23.44,22.74,4.167,2.885,7.79,-62.0,1.76,0.37,6.4,91.9,8.70,14.3
"2020/12/20","01:25:29",11.36,36390,26906,37.1660,23.65,22.96,4.139,2.866,7.80,-62.3,0.59,0.12,5.3,91.8,8.68,14.3
"2020/12/20","01:31:30",11.36,36474,26969,37.0792,23.70,23.02,4.094,2.835,7.79,-62.1,1.05,0.22,5.7,91.3,8.63,14.1
