"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","mS","Ohm*cm","g/L","ppt","psir","meters","","mV","NTU","ug/L","RFU","%","mg/L","volts"
"2021/03/22","23:43:28",12.86,20657,15.86,63.0173,13.42,12.39,2.203,1.538,7.92,-76.9,16.7,1.75,0.36,99.5,9.73,14.5
"2021/03/22","23:49:28",12.86,20585,15.81,63.2508,13.38,12.34,2.226,1.554,7.92,-77.0,29.3,1.66,0.35,99.3,9.72,14.4
"2021/03/22","23:55:28",12.88,20432,15.70,63.6885,13.28,12.24,2.261,1.579,7.93,-77.3,15.6,1.76,0.37,99.3,9.72,14.4
"2021/03/23","00:01:29",12.87,20167,15.49,64.5445,13.10,12.07,2.297,1.604,7.92,-77.3,16.5,1.76,0.37,99.5,9.75,14.4
"2021/03/23","00:07:29",12.87,20080,15.42,64.8121,13.05,12.02,2.327,1.625,7.93,-77.5,15.8,1.74,0.36,99.4,9.74,14.4
"2021/03/23","00:13:28",12.87,19737,15.16,65.9496,12.82,11.79,2.359,1.648,7.93,-77.4,15.9,1.96,0.41,99.5,9.77,14.4
"2021/03/23","00:19:29",12.87,19823,15.23,65.6599,12.88,11.85,2.392,1.671,7.93,-77.4,16.9,1.82,0.38,99.5,9.77,14.4
"2021/03/23","00:25:29",12.87,19553,15.02,66.5583,12.70,11.67,2.426,1.694,7.93,-77.6,16.5,1.41,0.29,99.5,9.77,14.4
"2021/03/23","00:31:29",12.87,19458,14.95,66.8887,12.64,11.61,2.457,1.716,7.93,-77.6,16.3,1.75,0.36,99.4,9.77,14.4
"2021/03/23","00:37:29",12.87,19375,14.88,67.1728,12.59,11.56,2.496,1.744,7.93,-77.6,16.0,1.72,0.36,99.9,9.82,14.1
"2021/03/23","00:43:29",12.87,19310,14.83,67.4016,12.55,11.52,2.531,1.768,7.93,-77.5,15.9,1.94,0.40,99.4,9.78,14.5
"2021/03/23","00:49:29",12.86,19531,15.00,66.6482,12.69,11.66,2.575,1.798,7.93,-77.5,16.1,1.85,0.38,99.6,9.79,14.5
