"Date","Time","Temp","SpCond","Cond","Resist","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","TDS","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","ppt","psir","meters","","mV","NTU","ug/L","RFU","g/L","%","mg/L","volts"
"2020/11/24","02:37:17",13.40,46991,36583,27.3350,30.53,2.849,1.962,7.82,-57.6,2.2,2.50,0.57,30.54,89.6,7.74,12.5
"2020/11/24","02:43:16",13.40,47046,36618,27.3088,30.57,2.844,1.958,7.82,-57.5,1.7,2.29,0.53,30.58,88.6,7.65,12.5
"2020/11/24","02:49:15",13.40,46974,36570,27.3445,30.52,2.846,1.960,7.81,-57.4,1.3,1.48,0.34,30.53,87.6,7.56,12.5
"2020/11/24","02:55:15",13.42,46916,36543,27.3650,30.48,2.845,1.959,7.83,-58.2,1.8,2.34,0.54,30.49,89.0,7.68,12.3
"2020/11/24","03:01:15",13.41,47242,36786,27.1841,30.71,2.854,1.965,7.84,-58.7,2.6,3.82,0.88,30.70,89.6,7.73,12.3
"2020/11/24","03:07:15",13.36,47705,37095,26.9580,31.05,2.864,1.972,7.84,-58.7,1.8,2.25,0.52,31.00,89.8,7.74,12.5
"2020/11/24","03:13:15",13.38,47519,36976,27.0448,30.91,2.860,1.969,7.83,-58.6,1.4,2.25,0.51,30.88,89.0,7.67,12.6
"2020/11/24","03:19:15",13.40,47346,36857,27.1315,30.79,2.870,1.976,7.84,-58.8,1.6,1.64,0.38,30.77,89.5,7.72,12.3
"2020/11/24","03:25:15",13.39,47487,36955,27.0598,30.89,2.858,1.967,7.84,-59.1,2.0,3.15,0.72,30.86,90.2,7.78,12.4
"2020/11/24","03:31:15",13.36,47691,37092,26.9601,31.04,2.851,1.962,7.84,-59.1,1.7,2.15,0.49,30.99,89.6,7.72,12.5
"2020/11/24","03:37:15",13.34,47922,37248,26.8470,31.20,2.850,1.961,7.84,-59.0,1.6,2.34,0.54,31.14,89.3,7.69,12.5
"2020/11/24","03:43:15",13.34,47951,37269,26.8322,31.22,2.847,1.959,7.85,-59.3,1.6,2.26,0.52,31.16,89.3,7.69,12.4
"2020/11/24","03:49:15",13.33,48024,37316,26.7978,31.28,2.838,1.953,7.84,-59.2,1.4,2.10,0.48,31.21,89.3,7.69,12.5
"2020/11/24","03:55:15",13.29,48377,37560,26.6243,31.53,2.835,1.951,7.84,-59.1,1.5,3.23,0.74,31.44,88.6,7.63,12.4
"2020/11/24","04:01:15",13.28,48469,37619,26.5822,31.60,2.818,1.939,7.85,-59.3,1.6,2.38,0.54,31.50,88.7,7.63,12.5
"2020/11/24","04:07:15",13.28,48494,37635,26.5711,31.61,2.789,1.919,7.85,-59.3,1.4,2.02,0.46,31.52,88.7,7.63,12.4
"2020/11/24","04:13:16",13.27,48513,37646,26.5629,31.63,2.766,1.903,7.85,-59.3,1.2,2.43,0.56,31.53,88.6,7.62,12.4
"2020/11/24","04:19:15",13.26,48597,37703,26.5230,31.69,2.737,1.884,7.85,-59.4,1.2,2.82,0.65,31.58,88.4,7.61,12.5
"2020/11/24","04:25:15",13.27,48580,37691,26.5312,31.68,2.715,1.868,7.85,-59.4,1.2,1.96,0.45,31.57,88.4,7.60,12.4
"2020/11/24","04:31:15",13.26,48629,37726,26.5072,31.71,2.689,1.850,7.85,-59.3,1.1,2.75,0.63,31.60,87.9,7.56,12.5
"2020/11/24","04:37:15",13.26,48598,37703,26.5230,31.69,2.653,1.826,7.85,-59.4,1.2,1.84,0.42,31.58,87.9,7.56,12.5
"2020/11/24","04:43:15",13.26,48609,37712,26.5168,31.70,2.614,1.799,7.85,-59.4,2.3,2.08,0.48,31.59,87.9,7.56,12.5
"2020/11/24","04:49:16",13.27,48577,37689,26.5326,31.67,2.591,1.783,7.85,-59.4,1.7,2.32,0.53,31.57,88.3,7.60,12.4
"2020/11/24","04:55:15",13.28,48447,37599,26.5967,31.58,2.553,1.757,7.85,-59.3,1.2,2.04,0.47,31.49,88.3,7.60,12.3
"2020/11/24","05:01:15",13.27,48403,37563,26.6223,31.55,2.523,1.736,7.85,-59.3,1.5,1.65,0.38,31.46,88.2,7.59,12.5
"2020/11/24","05:07:16",13.29,48106,37343,26.7789,31.33,2.503,1.723,7.85,-59.3,3.9,2.44,0.56,31.26,88.3,7.61,12.4
"2020/11/24","05:13:15",13.27,48436,37582,26.6084,31.57,2.460,1.693,7.85,-59.3,2.0,1.96,0.45,31.48,88.0,7.57,12.4
"2020/11/24","05:19:15",13.26,48493,37623,26.5794,31.61,2.429,1.672,7.85,-59.3,1.8,2.53,0.58,31.52,87.8,7.55,12.5
"2020/11/24","05:25:15",13.26,48506,37634,26.5718,31.62,2.395,1.648,7.85,-59.4,1.7,2.06,0.47,31.52,87.4,7.52,12.4
"2020/11/24","05:31:15",13.26,48500,37627,26.5766,31.62,2.353,1.619,7.85,-59.4,1.8,1.88,0.43,31.52,87.7,7.55,12.5
"2020/11/24","05:37:15",13.27,48381,37537,26.6403,31.53,2.300,1.583,7.85,-59.4,2.5,2.02,0.46,31.44,87.9,7.57,12.5
"2020/11/24","05:43:16",13.27,48346,37515,26.6562,31.51,2.253,1.550,7.85,-59.4,2.6,2.60,0.59,31.42,88.1,7.59,12.4
"2020/11/24","05:49:16",13.30,47204,36652,27.2833,30.68,2.208,1.521,7.85,-59.3,3.4,2.14,0.49,30.68,88.0,7.61,12.5
"2020/11/24","05:55:16",13.31,46824,36372,27.4936,30.41,2.172,1.496,7.85,-59.4,3.9,3.12,0.72,30.43,88.3,7.65,12.3
"2020/11/24","06:01:15",13.31,45620,35434,28.2218,29.54,2.126,1.465,7.85,-59.8,3.0,1.47,0.33,29.65,89.8,7.82,12.5
"2020/11/24","06:07:15",13.26,45667,35429,28.2257,29.57,2.085,1.437,7.85,-59.7,2.6,1.98,0.46,29.68,89.7,7.82,12.5
"2020/11/24","06:13:15",13.28,44256,34350,29.1124,28.56,2.044,1.410,7.86,-59.9,2.3,2.69,0.62,28.76,90.4,7.93,12.5
"2020/11/24","06:19:16",13.30,43891,34086,29.3376,28.30,2.004,1.383,7.86,-59.8,2.1,2.70,0.62,28.52,90.7,7.96,12.5
"2020/11/24","06:25:16",13.28,43769,33973,29.4354,28.21,1.968,1.357,7.86,-59.9,2.3,1.85,0.42,28.45,90.8,7.98,12.4
"2020/11/24","06:31:15",13.29,43757,33973,29.4354,28.21,1.925,1.328,7.85,-59.7,2.6,2.24,0.51,28.44,90.5,7.95,12.4
"2020/11/24","06:37:15",13.30,43876,34069,29.3519,28.29,1.886,1.301,7.85,-59.7,2.6,2.21,0.51,28.51,90.4,7.94,12.5
"2020/11/24","06:43:16",13.32,43511,33801,29.5851,28.03,1.856,1.281,7.85,-59.6,2.5,2.41,0.55,28.28,90.4,7.95,12.4
"2020/11/24","06:49:15",13.28,43560,33810,29.5774,28.06,1.821,1.256,7.85,-59.6,3.2,1.76,0.40,28.31,90.5,7.96,12.3
"2020/11/24","06:55:16",13.29,43542,33801,29.5851,28.05,1.782,1.229,7.85,-59.6,2.8,2.79,0.64,28.30,90.2,7.93,12.4
"2020/11/24","07:01:15",13.32,43634,33899,29.4990,28.12,1.746,1.205,7.85,-59.4,2.6,2.86,0.66,28.36,89.7,7.88,12.4
"2020/11/24","07:07:15",13.32,43817,34043,29.3746,28.25,1.715,1.183,7.85,-59.3,3.3,2.91,0.67,28.48,89.5,7.85,12.4
"2020/11/24","07:13:15",13.30,44020,34183,29.2546,28.39,1.685,1.162,7.85,-59.3,3.4,2.44,0.56,28.61,89.6,7.86,12.3
"2020/11/24","07:19:16",13.29,44127,34255,29.1929,28.47,1.658,1.143,7.84,-59.2,3.6,2.12,0.49,28.68,89.0,7.81,12.4
"2020/11/24","07:25:15",13.34,44179,34341,29.1198,28.51,1.620,1.118,7.84,-59.0,4.0,2.54,0.58,28.71,88.8,7.78,12.4
"2020/11/24","07:31:15",13.34,44279,34416,29.0562,28.58,1.596,1.101,7.84,-59.0,4.3,2.15,0.50,28.78,88.8,7.77,12.4
"2020/11/24","07:37:15",13.35,44367,34493,28.9912,28.64,1.562,1.077,7.84,-59.0,3.9,3.01,0.69,28.83,88.7,7.76,12.3
"2020/11/24","07:43:16",13.37,44228,34405,29.0653,28.54,1.535,1.059,7.84,-59.1,4.4,2.11,0.48,28.74,88.7,7.77,12.5
"2020/11/24","07:49:15",13.39,44148,34354,29.1082,28.49,1.511,1.043,7.84,-59.1,4.8,2.98,0.68,28.69,89.1,7.80,12.4
"2020/11/24","07:55:15",13.42,44201,34428,29.0463,28.53,1.500,1.035,7.84,-59.0,6.2,4.02,0.92,28.73,88.7,7.76,12.4
"2020/11/24","08:01:16",13.44,44227,34462,29.0175,28.55,1.472,1.016,7.84,-59.0,5.1,3.03,0.70,28.74,88.7,7.75,12.5
"2020/11/24","08:07:16",13.45,44199,34446,29.0307,28.53,1.450,1.000,7.84,-58.9,5.0,2.64,0.61,28.72,88.5,7.73,12.5
"2020/11/24","08:13:15",13.41,44015,34269,29.1812,28.39,1.432,0.988,7.84,-58.9,4.7,2.72,0.62,28.61,88.6,7.75,12.5
