"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Chl","Chl","Turbid+","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","g/L","ppt","psir","meters","","mV","ug/L","RFU","NTU","%","mg/L","volts"
"2020/12/19","18:13:14",11.32,44951,33205,30.1158,29.21,28.99,2.400,1.654,7.81,-58.6,16.15,3.71,841.6,88.7,8.08,12.4
"2020/12/19","18:19:14",11.34,45071,33308,30.0231,29.29,29.07,2.411,1.662,7.81,-58.6,0.73,0.17,4.5,88.4,8.05,12.5
"2020/12/19","18:25:13",11.36,45146,33383,29.9555,29.34,29.13,2.415,1.664,7.81,-58.5,2.16,0.50,5.4,88.4,8.04,12.5
"2020/12/19","18:31:14",11.36,45106,33354,29.9818,29.31,29.10,2.428,1.674,7.81,-58.6,1.41,0.32,5.4,88.5,8.05,12.5
"2020/12/19","18:37:14",11.36,45137,33381,29.9572,29.33,29.12,2.440,1.682,7.81,-58.6,1.60,0.37,5.1,88.4,8.04,12.4
"2020/12/19","18:43:14",11.36,44966,33254,30.0716,29.22,29.00,2.457,1.693,7.82,-58.9,1.71,0.39,5.9,89.3,8.13,12.5
"2020/12/19","18:49:14",11.36,44983,33265,30.0619,29.23,29.01,2.464,1.698,7.82,-58.8,1.83,0.42,4.4,88.7,8.07,12.5
"2020/12/19","18:55:13",11.36,44958,33241,30.0831,29.22,28.99,2.474,1.705,7.81,-58.7,0.82,0.19,4.3,88.6,8.07,12.4
"2020/12/19","19:01:14",11.36,44844,33159,30.1575,29.14,28.91,2.501,1.724,7.81,-58.7,1.87,0.43,4.3,89.0,8.11,12.5
"2020/12/19","19:07:14",11.36,44874,33183,30.1362,29.16,28.93,2.504,1.726,7.82,-58.8,2.75,0.63,4.8,89.0,8.11,12.5
"2020/12/19","19:13:14",11.36,44808,33133,30.1815,29.12,28.88,2.535,1.747,7.82,-59.1,2.71,0.62,3.9,90.1,8.21,12.5
"2020/12/19","19:19:14",11.35,44805,33127,30.1869,29.12,28.88,2.567,1.770,7.82,-59.0,2.33,0.53,4.6,89.7,8.17,12.5
"2020/12/19","19:25:14",11.36,44845,33161,30.1557,29.14,28.91,2.596,1.789,7.82,-59.1,2.30,0.53,5.2,90.2,8.21,12.5
"2020/12/19","19:31:14",11.37,44844,33166,30.1513,29.14,28.91,2.634,1.815,7.82,-59.2,1.57,0.36,4.1,90.2,8.22,12.5
"2020/12/19","19:37:14",11.37,44912,33224,30.0990,29.19,28.96,2.664,1.836,7.82,-59.1,1.80,0.41,4.3,90.1,8.20,12.5
"2020/12/19","19:43:14",11.37,44965,33261,30.0654,29.22,29.00,2.694,1.857,7.82,-59.1,1.44,0.33,5.0,90.0,8.19,12.5
"2020/12/19","19:49:13",11.41,44949,33279,30.0487,29.21,28.99,2.728,1.880,7.83,-59.4,2.07,0.48,4.8,90.8,8.26,12.4
"2020/12/19","19:55:13",11.41,44962,33288,30.0407,29.22,29.00,2.769,1.909,7.82,-59.2,2.03,0.47,4.2,90.4,8.22,12.4
"2020/12/19","20:01:14",11.40,44965,33287,30.0416,29.22,29.00,2.789,1.922,7.82,-59.1,1.35,0.31,4.1,90.2,8.20,12.4
"2020/12/19","20:07:14",11.41,44979,33302,30.0284,29.23,29.01,2.824,1.946,7.82,-59.1,2.01,0.46,3.5,90.1,8.19,12.5
"2020/12/19","20:13:14",11.39,45116,33388,29.9511,29.32,29.11,2.855,1.968,7.81,-58.7,1.18,0.27,5.7,89.0,8.10,12.5
"2020/12/19","20:19:14",11.40,45177,33443,29.9013,29.36,29.15,2.878,1.983,7.82,-58.8,1.10,0.25,5.0,89.2,8.11,12.5
"2020/12/19","20:25:14",11.41,45219,33478,29.8707,29.39,29.18,2.910,2.005,7.82,-59.0,2.02,0.46,5.2,89.5,8.14,12.5
"2020/12/19","20:31:13",11.42,45207,33479,29.8699,29.38,29.17,2.940,2.026,7.82,-59.1,1.86,0.43,4.6,89.7,8.15,12.5
"2020/12/19","20:37:13",11.43,45180,33467,29.8803,29.36,29.15,2.964,2.043,7.82,-59.0,1.81,0.42,4.4,89.9,8.16,12.4
"2020/12/19","20:43:14",11.42,45152,33444,29.9004,29.34,29.13,2.983,2.056,7.82,-59.1,1.97,0.45,4.3,89.7,8.15,12.3
"2020/12/19","20:49:14",11.43,45112,33421,29.9214,29.32,29.11,3.005,2.071,7.82,-59.1,1.98,0.45,3.2,90.1,8.19,12.5
"2020/12/19","20:55:14",11.43,45122,33430,29.9135,29.32,29.11,3.034,2.091,7.82,-59.2,2.02,0.46,3.6,90.2,8.19,12.3
"2020/12/19","21:01:14",11.43,45197,33483,29.8655,29.37,29.17,3.055,2.105,7.82,-59.1,3.10,0.71,4.3,89.9,8.17,12.5
"2020/12/19","21:07:14",11.43,45445,33665,29.7044,29.53,29.34,3.086,2.126,7.82,-58.8,2.23,0.51,3.8,89.4,8.11,12.5
"2020/12/19","21:13:14",11.44,45480,33702,29.6717,29.56,29.37,3.113,2.145,7.82,-59.1,1.62,0.37,4.4,90.0,8.16,12.4
"2020/12/19","21:19:14",11.45,45276,33562,29.7960,29.42,29.22,3.132,2.158,7.83,-59.4,2.54,0.58,4.8,90.6,8.22,12.4
"2020/12/19","21:25:15",11.46,45427,33677,29.6940,29.52,29.33,3.150,2.170,7.82,-59.1,1.21,0.28,96.7,90.2,8.18,12.5
"2020/12/19","21:31:14",11.45,45562,33774,29.6082,29.61,29.43,3.169,2.183,7.82,-59.0,0.92,0.21,112.3,89.9,8.15,12.4
"2020/12/19","21:37:14",11.46,45704,33885,29.5117,29.70,29.53,3.187,2.196,7.82,-59.0,2.27,0.52,125.9,90.0,8.15,12.4
"2020/12/19","21:43:14",11.49,45657,33874,29.5211,29.67,29.50,3.219,2.218,7.82,-59.3,2.06,0.47,96.3,90.8,8.22,12.5
"2020/12/19","21:49:14",11.49,45697,33903,29.4956,29.70,29.53,3.238,2.231,7.82,-59.1,1.63,0.37,95.2,90.4,8.19,12.4
"2020/12/19","21:55:14",11.46,46705,34623,28.8825,30.35,30.25,3.260,2.244,7.81,-58.8,2.07,0.48,112.0,89.1,8.03,12.5
"2020/12/19","22:01:14",11.46,46799,34698,28.8199,30.41,30.32,3.271,2.252,7.82,-59.0,2.27,0.52,123.8,89.8,8.09,12.5
"2020/12/19","22:07:14",11.48,46868,34763,28.7664,30.46,30.37,3.279,2.258,7.82,-59.0,1.91,0.44,109.0,89.9,8.09,12.5
"2020/12/19","22:13:14",11.47,47141,34955,28.6081,30.64,30.56,3.284,2.261,7.81,-58.7,1.53,0.35,108.2,88.6,7.97,12.3
"2020/12/19","22:19:14",11.47,47388,35138,28.4594,30.80,30.74,3.296,2.269,7.81,-58.5,1.71,0.39,103.3,88.1,7.92,12.7
"2020/12/19","22:25:14",11.47,47555,35269,28.3538,30.91,30.86,3.300,2.271,7.81,-58.6,2.09,0.48,109.1,88.4,7.93,12.5
"2020/12/19","22:31:14",11.49,47548,35277,28.3468,30.90,30.86,3.307,2.276,7.81,-58.8,1.50,0.34,150.2,88.7,7.96,12.4
"2020/12/19","22:37:14",11.49,47736,35423,28.2303,31.02,30.99,3.307,2.276,7.81,-58.7,2.12,0.48,5.1,88.4,7.92,12.5
"2020/12/19","22:43:14",11.50,47718,35412,28.2389,31.01,30.98,3.298,2.270,7.81,-58.7,2.42,0.55,14.0,88.3,7.92,12.5
"2020/12/19","22:49:14",11.50,47787,35461,28.2000,31.06,31.03,3.296,2.268,7.81,-58.5,1.06,0.24,20.2,87.8,7.87,12.5
"2020/12/19","22:55:14",11.50,47840,35501,28.1682,31.09,31.07,3.298,2.269,7.81,-58.5,0.77,0.17,44.6,87.7,7.86,12.4
"2020/12/19","23:01:15",11.50,47823,35489,28.1775,31.08,31.05,3.310,2.277,7.81,-58.5,1.91,0.44,3.0,87.7,7.86,12.5
"2020/12/19","23:07:14",11.50,47848,35510,28.1612,31.10,31.07,3.309,2.277,7.81,-58.7,1.14,0.26,24.7,87.9,7.88,12.5
"2020/12/19","23:13:14",11.50,47874,35526,28.1481,31.11,31.09,3.299,2.270,7.81,-58.7,1.29,0.29,30.8,88.0,7.89,12.4
"2020/12/19","23:19:14",11.49,48027,35637,28.0609,31.21,31.20,3.296,2.268,7.81,-58.7,2.02,0.46,3.4,87.6,7.84,12.4
"2020/12/19","23:25:13",11.49,48240,35790,27.9407,31.35,31.35,3.279,2.256,7.81,-58.5,2.28,0.52,69.9,87.3,7.81,12.5
"2020/12/19","23:31:14",11.49,48196,35758,27.9659,31.32,31.32,3.258,2.241,7.81,-58.5,1.33,0.30,3.1,87.3,7.81,12.5
"2020/12/19","23:37:14",11.48,48455,35945,27.8200,31.49,31.51,3.241,2.229,7.81,-58.4,1.70,0.39,4.2,87.1,7.78,12.5
"2020/12/19","23:43:13",11.48,48518,35991,27.7845,31.53,31.56,3.224,2.218,7.81,-58.5,2.26,0.52,4.7,86.9,7.77,12.4
"2020/12/19","23:49:14",11.48,48486,35968,27.8026,31.51,31.53,3.194,2.197,7.81,-58.3,2.10,0.48,4.4,86.8,7.76,12.5
"2020/12/19","23:55:13",11.48,48526,35996,27.7807,31.54,31.56,3.162,2.175,7.81,-58.3,2.92,0.67,3.2,86.6,7.74,12.5
"2020/12/20","00:01:14",11.48,48545,36010,27.7702,31.55,31.57,3.146,2.164,7.81,-58.3,1.32,0.30,2.9,86.5,7.72,12.5
"2020/12/20","00:07:14",11.48,48509,35984,27.7898,31.53,31.55,3.103,2.135,7.81,-58.4,1.42,0.33,2.7,86.5,7.73,12.5
"2020/12/20","00:13:14",11.49,48325,35854,27.8905,31.41,31.42,3.068,2.111,7.81,-58.4,1.71,0.39,5.3,86.9,7.77,12.5
"2020/12/20","00:19:14",11.48,48466,35952,27.8147,31.50,31.52,3.030,2.084,7.81,-58.3,1.29,0.30,3.1,86.6,7.74,12.4
"2020/12/20","00:25:13",11.48,48454,35945,27.8200,31.49,31.51,3.004,2.067,7.81,-58.4,1.75,0.40,3.2,86.7,7.75,12.4
"2020/12/20","00:31:14",11.48,48459,35946,27.8192,31.49,31.51,2.959,2.036,7.81,-58.4,1.76,0.40,3.0,86.6,7.74,12.5
"2020/12/20","00:37:14",11.48,48409,35907,27.8495,31.46,31.48,2.935,2.019,7.81,-58.4,2.47,0.57,3.6,86.8,7.76,12.5
"2020/12/20","00:43:14",11.48,48412,35911,27.8465,31.46,31.48,2.899,1.994,7.81,-58.4,1.49,0.34,4.3,86.7,7.75,12.5
"2020/12/20","00:49:14",11.48,48454,35943,27.8215,31.49,31.51,2.836,1.951,7.81,-58.3,2.43,0.56,5.5,86.6,7.74,12.5
"2020/12/20","00:55:14",11.48,48359,35874,27.8753,31.43,31.44,2.802,1.928,7.81,-58.3,1.62,0.37,4.7,86.7,7.75,12.5
"2020/12/20","01:01:14",11.48,48391,35897,27.8571,31.45,31.46,2.747,1.890,7.81,-58.4,1.33,0.30,4.1,86.6,7.74,12.4
"2020/12/20","01:07:14",11.48,48299,35829,27.9102,31.39,31.40,2.712,1.866,7.81,-58.3,1.58,0.36,5.6,86.7,7.75,12.5
