"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","mS","Ohm*cm","g/L","ppt","psir","meters","","mV","NTU","ug/L","RFU","%","mg/L","volts"
"2021/04/27","00:49:12",14.55,44165,35.35,28.2880,28.70,28.53,1.514,1.044,7.78,-63.3,7.9,3.21,0.74,93.7,8.00,12.4
"2021/04/27","00:55:12",14.57,44007,35.23,28.3774,28.60,28.42,1.510,1.042,7.78,-63.5,9.2,3.46,0.79,94.0,8.03,12.5
"2021/04/27","01:01:12",14.56,44014,35.23,28.3805,28.60,28.42,1.506,1.039,7.78,-63.7,8.1,3.46,0.79,93.7,8.01,12.5
"2021/04/27","01:07:12",14.53,44051,35.23,28.3782,28.63,28.45,1.521,1.049,7.79,-63.8,9.1,2.80,0.64,93.4,7.99,12.5
"2021/04/27","01:13:12",14.52,44080,35.25,28.3664,28.65,28.47,1.515,1.045,7.79,-64.0,8.6,2.59,0.59,93.5,8.00,12.5
"2021/04/27","01:19:12",14.52,44078,35.25,28.3680,28.65,28.47,1.533,1.058,7.79,-64.2,8.4,3.65,0.84,93.5,8.00,12.3
"2021/04/27","01:25:12",14.52,44071,35.24,28.3703,28.64,28.46,1.551,1.070,7.80,-64.3,8.7,2.28,0.52,93.6,8.00,12.4
"2021/04/27","01:31:12",14.49,44151,35.28,28.3413,28.69,28.52,1.581,1.091,7.80,-64.5,10.5,2.64,0.61,93.5,8.00,12.4
"2021/04/27","01:37:12",14.49,44102,35.25,28.3672,28.66,28.48,1.588,1.096,7.80,-64.7,10.7,3.66,0.84,93.8,8.02,12.4
"2021/04/27","01:43:12",14.47,44195,35.30,28.3240,28.72,28.55,1.610,1.111,7.80,-64.6,8.3,3.09,0.71,93.4,7.99,12.5
"2021/04/27","01:49:12",14.47,44170,35.28,28.3397,28.71,28.53,1.652,1.140,7.80,-64.7,7.5,3.24,0.74,93.4,7.99,12.4
"2021/04/27","01:55:12",14.47,44138,35.26,28.3593,28.69,28.51,1.681,1.159,7.81,-64.9,7.5,3.47,0.80,93.6,8.01,12.4
"2021/04/27","02:01:12",14.48,44068,35.21,28.3979,28.64,28.46,1.700,1.173,7.81,-65.1,7.4,2.41,0.55,93.8,8.02,12.5
"2021/04/27","02:07:12",14.49,44052,35.20,28.4034,28.63,28.45,1.731,1.194,7.81,-65.2,8.0,2.66,0.61,93.7,8.02,12.4
"2021/04/27","02:13:12",14.51,44030,35.20,28.4049,28.62,28.43,1.774,1.224,7.81,-65.4,7.4,3.43,0.79,93.9,8.04,12.4
"2021/04/27","02:19:12",14.48,44086,35.23,28.3845,28.65,28.47,1.812,1.250,7.81,-65.3,7.4,2.92,0.67,93.6,8.01,12.4
"2021/04/27","02:25:12",14.48,44021,35.17,28.4318,28.61,28.42,1.843,1.271,7.82,-65.5,7.9,2.93,0.67,93.9,8.04,12.5
"2021/04/27","02:31:12",14.46,44014,35.15,28.4436,28.60,28.42,1.904,1.314,7.82,-65.5,7.2,2.85,0.66,93.7,8.03,12.4
