"","datetime","ctd_temp","ctd_sal","ctd_o2_mg_l","pH_int","pH_ext","abs_pH_diff","pH_int_v","pH_ext_v","abs_v_diff","pH_temp","press_dbar","cond_Sm","RH","pH_int_temp"
"1",2020-12-15 01:40:01,14.844,32.1542,8.44,7.9956,8.0613,0.0656999999999996,-0.909723,-0.858993,0.0507299999999999,15.7499,0.231,3.96365,9.2,16.2
"2",2020-12-15 02:00:01,14.868,32.1526,8.386,8.003,8.0546,0.0516000000000005,-0.909294,-0.85935,0.0499440000000001,15.323,0.234,3.96567,9,15.5
"3",2020-12-15 02:20:01,14.8447,32.1554,8.347,8.0137,8.0542,0.0404999999999998,-0.908688,-0.859396,0.049292,15.076,0.236,3.96385,8.9,15.2
"4",2020-12-15 02:40:01,14.8242,32.1556,8.338,8.022,8.0541,0.0320999999999998,-0.908221,-0.859422,0.0487989999999999,14.914,0.239,3.96202,8.8,15.1
"5",2020-12-15 03:00:01,14.84,32.1569,8.331,8.0272,8.054,0.0267999999999997,-0.907921,-0.859413,0.048508,14.8287,0.241,3.9636,8.8,15
"6",2020-12-15 03:20:01,14.8032,32.1602,8.33,8.0302,8.0541,0.0238999999999994,-0.907759,-0.859443,0.048316,14.7694,0.24,3.9606,8.8,15
"7",2020-12-15 03:40:01,14.7921,32.1604,8.327,8.0322,8.0544,0.0221999999999998,-0.907652,-0.859437,0.048215,14.7237,0.241,3.9596,8.8,15
"8",2020-12-15 04:00:01,14.7989,32.1609,8.331,8.0335,8.0552,0.0216999999999992,-0.907576,-0.859388,0.048188,14.701,0.24,3.96029,8.8,14.9
"9",2020-12-15 04:20:01,14.7604,32.1609,8.341,8.034,8.0554,0.0213999999999999,-0.907559,-0.859406,0.048153,14.673,0.239,3.95677,8.8,14.9
"10",2020-12-15 04:40:01,14.7664,32.1635,8.342,8.0345,8.0562,0.0217000000000009,-0.907528,-0.859363,0.048165,14.6537,0.242,3.9576,8.8,14.9
"11",2020-12-15 05:00:01,14.7581,32.1631,8.344,8.0351,8.0565,0.0213999999999999,-0.9075,-0.859347,0.048153,14.6427,0.241,3.95681,8.8,14.9
"12",2020-12-15 05:20:01,14.7209,32.1677,8.356,8.0354,8.0567,0.0213000000000001,-0.907496,-0.859375,0.048121,14.6211,0.242,3.95392,8.8,14.8
"13",2020-12-15 05:40:01,14.7404,32.1678,8.363,8.0353,8.0573,0.0220000000000002,-0.907495,-0.859324,0.0481710000000001,14.6124,0.243,3.95571,8.8,14.9
"14",2020-12-15 06:00:01,14.7103,32.1688,8.371,8.0362,8.0581,0.0219000000000005,-0.907455,-0.859307,0.048148,14.5996,0.243,3.95308,8.8,14.8
"15",2020-12-15 06:20:01,14.6994,32.1705,8.372,8.0361,8.0584,0.0223000000000013,-0.90746,-0.859298,0.048162,14.5833,0.244,3.95228,8.7,14.8
"16",2020-12-15 06:40:01,14.7071,32.1711,8.376,8.036,8.0585,0.0225000000000009,-0.907467,-0.859291,0.048176,14.5784,0.245,3.95304,8.8,14.8
"17",2020-12-15 07:00:01,14.6714,32.1738,8.381,8.0369,8.0597,0.0228000000000002,-0.907428,-0.859252,0.048176,14.5632,0.246,3.95009,8.8,14.8
"18",2020-12-15 07:20:01,14.6892,32.1738,8.388,8.0362,8.0595,0.0233000000000008,-0.907462,-0.859251,0.048211,14.5561,0.249,3.9517,8.8,14.8
"19",2020-12-15 07:40:01,14.6622,32.1767,8.393,8.037,8.06,0.0229999999999997,-0.907425,-0.859248,0.048177,14.548,0.248,3.94956,8.8,14.8
"20",2020-12-15 08:00:01,14.6524,32.1764,8.394,8.0371,8.0607,0.0236000000000001,-0.907423,-0.859213,0.04821,14.5335,0.248,3.94864,8.8,14.8
"21",2020-12-15 08:20:01,14.6644,32.1775,8.393,8.0368,8.0608,0.0240000000000009,-0.907433,-0.859198,0.048235,14.5305,0.246,3.94985,8.7,14.8
"22",2020-12-15 08:40:01,14.6309,32.1792,8.4,8.0373,8.0612,0.0238999999999994,-0.907421,-0.859207,0.048214,14.5183,0.245,3.94699,8.8,14.8
"23",2020-12-15 09:00:01,14.6471,32.1795,8.395,8.0371,8.0609,0.0237999999999996,-0.907427,-0.859212,0.048215,14.5127,0.248,3.94849,8.7,14.8
"24",2020-12-15 09:20:01,14.6355,32.1795,8.401,8.0373,8.0617,0.0244,-0.907418,-0.859176,0.0482419999999999,14.5092,0.246,3.94743,8.8,14.8
"25",2020-12-15 09:40:01,14.6205,32.1819,8.405,8.0373,8.062,0.0246999999999993,-0.907421,-0.859176,0.048245,14.4982,0.246,3.94633,8.8,14.7
"26",2020-12-15 10:00:01,14.6367,32.1831,8.401,8.0375,8.0622,0.0247000000000011,-0.907407,-0.85915,0.048257,14.4977,0.248,3.94794,8.7,14.8
"27",2020-12-15 10:20:01,14.601,32.1851,8.412,8.037,8.0625,0.0254999999999992,-0.907445,-0.859168,0.0482769999999999,14.4886,0.248,3.9449,8.8,14.8
"28",2020-12-15 10:40:01,14.6115,32.1849,8.407,8.0368,8.0623,0.025500000000001,-0.907455,-0.859166,0.048289,14.4806,0.251,3.94584,8.8,14.7
"29",2020-12-15 11:00:01,14.6097,32.1844,8.41,8.0369,8.0627,0.0258000000000003,-0.907452,-0.859143,0.048309,14.479,0.251,3.94562,8.8,14.7
"30",2020-12-15 11:20:01,14.5849,32.1875,8.417,8.0367,8.0622,0.025500000000001,-0.907474,-0.859198,0.048276,14.4669,0.25,3.9437,8.8,14.7
"31",2020-12-15 11:40:01,14.6079,32.188,8.414,8.0366,8.0627,0.0260999999999996,-0.90747,-0.859152,0.048318,14.4669,0.248,3.94586,8.7,14.7
"32",2020-12-15 12:00:01,14.5816,32.1884,8.419,8.037,8.0633,0.0262999999999991,-0.907457,-0.85914,0.0483169999999999,14.4592,0.248,3.9435,8.8,14.7
"33",2020-12-15 12:20:01,14.5792,32.1904,8.417,8.037,8.0635,0.0264999999999986,-0.907457,-0.85913,0.048327,14.451,0.249,3.9435,8.8,14.7
"34",2020-12-15 12:40:01,14.5829,32.191,8.422,8.0366,8.0634,0.0267999999999997,-0.907475,-0.859133,0.048342,14.4507,0.249,3.94391,8.8,14.7
"35",2020-12-15 13:00:01,14.5536,32.1928,8.426,8.0366,8.0629,0.0263000000000009,-0.907486,-0.859193,0.048293,14.4391,0.248,3.94142,8.8,14.7
"36",2020-12-15 13:20:01,14.5756,32.1931,8.422,8.0367,8.0635,0.0267999999999997,-0.907476,-0.85914,0.0483359999999999,14.4362,0.25,3.94347,8.7,14.7
"37",2020-12-15 13:40:01,14.552,32.1949,8.42,8.0373,8.0643,0.0269999999999992,-0.90745,-0.859114,0.0483359999999999,14.4316,0.249,3.94151,8.7,14.7
"38",2020-12-15 14:00:01,14.5443,32.1955,8.425,8.0365,8.0641,0.0275999999999996,-0.907498,-0.859133,0.048365,14.42,0.251,3.94088,8.7,14.7
"39",2020-12-15 14:20:01,14.5605,32.1958,8.426,8.0363,8.0642,0.0278999999999989,-0.907502,-0.859111,0.0483910000000001,14.4211,0.256,3.94239,8.7,14.7
"40",2020-12-15 14:40:01,14.5287,32.1971,8.427,8.0367,8.0645,0.0278000000000009,-0.907493,-0.859123,0.04837,14.4124,0.258,3.93964,8.7,14.7
"41",2020-12-15 15:00:01,14.5482,32.1978,8.429,8.0359,8.0638,0.0279000000000007,-0.907533,-0.859149,0.048384,14.409,0.259,3.94149,8.7,14.6
"42",2020-12-15 15:20:01,14.5371,32.1991,8.442,8.0364,8.0645,0.0281000000000002,-0.907506,-0.859118,0.048388,14.4081,0.257,3.94062,8.7,14.7
"43",2020-12-15 15:40:01,14.5269,32.2002,8.441,8.036,8.0646,0.0286000000000008,-0.907532,-0.859126,0.0484060000000001,14.4,0.256,3.93981,8.7,14.7
"44",2020-12-15 16:00:01,14.5468,32.2007,8.431,8.0349,8.0636,0.0286999999999988,-0.907586,-0.859164,0.048422,14.4043,0.259,3.94168,8.7,14.6
"45",2020-12-15 16:20:01,14.5182,32.2004,8.439,8.0358,8.0645,0.0287000000000006,-0.907549,-0.859139,0.0484100000000001,14.3971,0.261,3.93903,8.7,14.6
"46",2020-12-15 16:40:01,14.5333,32.2025,8.432,8.0348,8.0638,0.0289999999999999,-0.907598,-0.859164,0.048434,14.3944,0.261,3.94065,8.7,14.6
"47",2020-12-15 17:00:01,14.5367,32.2045,8.438,8.0348,8.0641,0.0292999999999992,-0.9076,-0.859145,0.0484549999999999,14.3994,0.261,3.94118,8.7,14.7
"48",2020-12-15 17:20:01,14.524,32.2048,8.44,8.0342,8.0636,0.029399999999999,-0.907636,-0.85919,0.048446,14.3944,0.264,3.94004,8.7,14.7
"49",2020-12-15 17:40:01,14.5521,32.2054,8.432,8.0343,8.0638,0.0295000000000005,-0.907619,-0.859151,0.048468,14.402,0.268,3.94268,8.7,14.6
"50",2020-12-15 18:00:01,14.5447,32.2082,8.435,8.0336,8.0632,0.0296000000000003,-0.907664,-0.859193,0.048471,14.4075,0.269,3.94231,8.7,14.7
"51",2020-12-15 18:20:01,14.5414,32.2078,8.436,8.0327,8.0628,0.0300999999999991,-0.907714,-0.859217,0.048497,14.4075,0.272,3.94196,8.7,14.7
"52",2020-12-15 18:40:01,14.5712,32.2082,8.434,8.031,8.0616,0.0305999999999997,-0.907798,-0.859264,0.048534,14.4177,0.271,3.94473,8.7,14.7
"53",2020-12-15 19:00:01,14.5717,32.2091,8.436,8.0313,8.0623,0.0310000000000006,-0.907781,-0.859222,0.0485589999999999,14.4267,0.268,3.94487,8.8,14.7
"54",2020-12-15 19:20:01,14.5633,32.2105,8.43,8.0317,8.0621,0.0303999999999984,-0.907763,-0.85924,0.048523,14.4278,0.268,3.94425,8.8,14.7
"55",2020-12-15 19:40:01,14.5928,32.2111,8.433,8.0306,8.0615,0.0309000000000008,-0.907817,-0.859253,0.0485639999999999,14.4387,0.266,3.94703,8.8,14.7
"56",2020-12-15 20:00:01,14.6082,32.212,8.432,8.03,8.0613,0.0312999999999999,-0.907843,-0.859252,0.0485909999999999,14.4539,0.263,3.94852,8.8,14.7
"57",2020-12-15 20:20:01,14.6089,32.2138,8.425,8.0292,8.0609,0.0317000000000007,-0.90789,-0.859271,0.048619,14.4638,0.261,3.94878,8.8,14.8
"58",2020-12-15 20:40:01,14.6066,32.2142,8.424,8.0292,8.0604,0.0312000000000001,-0.907888,-0.859302,0.048586,14.4685,0.259,3.94862,8.8,14.7
"59",2020-12-15 21:00:01,14.6357,32.2149,8.42,8.0282,8.0604,0.0321999999999996,-0.907939,-0.859279,0.04866,14.4806,0.257,3.95135,8.8,14.8
"60",2020-12-15 21:20:01,14.6579,32.2157,8.419,8.0274,8.0593,0.0319000000000003,-0.907974,-0.859324,0.04865,14.4982,0.255,3.95346,8.8,14.8
"61",2020-12-15 21:40:01,14.6676,32.217,8.416,8.0268,8.0592,0.0324000000000009,-0.908004,-0.859319,0.048685,14.5132,0.255,3.95449,8.8,14.8
"62",2020-12-15 22:00:01,14.6736,32.218,8.41,8.0267,8.0594,0.0327000000000002,-0.908011,-0.859303,0.048708,14.5263,0.253,3.95515,8.8,14.8
"63",2020-12-15 22:20:01,14.6782,32.2186,8.405,8.0262,8.0592,0.0330000000000013,-0.908033,-0.859315,0.0487179999999999,14.5344,0.251,3.95563,8.8,14.8
"64",2020-12-15 22:40:01,14.681,32.2195,8.411,8.0257,8.0589,0.033199999999999,-0.908064,-0.859329,0.048735,14.54,0.25,3.95599,8.8,14.8
"65",2020-12-15 23:00:01,14.7149,32.2196,8.398,8.0251,8.0582,0.0330999999999992,-0.908086,-0.859339,0.048747,14.5545,0.251,3.9591,8.8,14.8
"66",2020-12-15 23:20:01,14.7312,32.2207,8.4,8.0235,8.0568,0.0333000000000006,-0.908172,-0.859401,0.048771,14.5728,0.251,3.9607,8.8,14.8
"67",2020-12-15 23:40:01,14.7344,32.2215,8.396,8.0235,8.057,0.0335000000000001,-0.908169,-0.85939,0.048779,14.5858,0.25,3.96109,8.8,14.8
"68",2020-12-16 00:00:01,14.7312,32.2233,8.396,8.0239,8.0576,0.0337000000000014,-0.90815,-0.85936,0.04879,14.5913,0.25,3.961,8.8,14.8
"69",2020-12-16 00:20:01,14.727,32.2242,8.396,8.0233,8.0573,0.0339999999999989,-0.908184,-0.85938,0.048804,14.5927,0.25,3.96071,8.8,14.9
"70",2020-12-16 00:40:01,14.7549,32.2252,8.392,8.0229,8.057,0.0341000000000005,-0.908194,-0.859377,0.048817,14.6025,0.251,3.96337,8.8,14.9
"71",2020-12-16 01:00:01,14.7549,32.226,8.392,8.0216,8.0558,0.0342000000000002,-0.908269,-0.859445,0.048824,14.6124,0.252,3.96346,8.8,14.9
"72",2020-12-16 01:20:01,14.7402,32.2268,8.386,8.0217,8.0563,0.0346000000000011,-0.908269,-0.859429,0.04884,14.6105,0.253,3.96221,8.8,14.9
"73",2020-12-16 01:40:01,14.7366,32.2284,8.381,8.0225,8.0576,0.0350999999999999,-0.908223,-0.859359,0.048864,14.6071,0.256,3.96205,8.8,14.9
"74",2020-12-16 02:00:01,14.7552,32.2287,8.384,8.0215,8.0564,0.0349000000000004,-0.908276,-0.859411,0.0488649999999999,14.6119,0.257,3.96379,8.8,14.9
"75",2020-12-16 02:20:01,14.7394,32.2296,8.387,8.0222,8.0566,0.0343999999999998,-0.90824,-0.859418,0.048822,14.6104,0.257,3.96244,8.8,14.9
"76",2020-12-16 02:40:01,14.721,32.2312,8.39,8.0212,8.0563,0.0350999999999999,-0.908303,-0.859453,0.0488499999999999,14.6009,0.257,3.96094,8.8,14.8
"77",2020-12-16 03:00:01,14.7449,32.2317,8.387,8.0211,8.0562,0.0350999999999999,-0.908305,-0.859435,0.0488700000000001,14.6021,0.26,3.96318,8.8,14.8
"78",2020-12-16 03:20:01,14.7313,32.2336,8.391,8.0208,8.0563,0.0355000000000008,-0.908323,-0.859444,0.048879,14.6018,0.259,3.96214,8.8,14.9
